ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strlen (LI-PaRAD)|64|2.428|2.429|2.44|2.43|0.051|24.534|0.013
strlen (GNU libc 2.34)|64|2.574|2.579|2.73|2.587|1.039|23.045|0.23
strlen (Arm OR 23.01)|64|6.924|7.066|7.251|7.063|0.853|8.439|0.072
strlen (LI-PaRAD)|128|3.64|3.642|3.944|3.651|1.295|32.66|0.394
strlen (GNU libc 2.34)|128|3.205|3.216|3.338|3.233|1.244|36.877|0.448
strlen (Arm OR 23.01)|128|9.331|9.334|9.62|9.359|0.651|12.738|0.081
strlen (LI-PaRAD)|256|6.068|6.07|6.083|6.071|0.039|39.274|0.015
strlen (GNU libc 2.34)|256|4.549|4.551|4.556|4.551|0.03|52.388|0.016
strlen (Arm OR 23.01)|256|15.084|15.456|15.514|15.413|0.68|15.47|0.106
strlen (LI-PaRAD)|512|11.219|11.226|11.247|11.227|0.046|42.472|0.02
strlen (GNU libc 2.34)|512|10.308|10.313|10.364|10.314|0.063|46.232|0.029
strlen (Arm OR 23.01)|512|28.444|28.449|28.469|28.453|0.026|16.759|0.004
strlen (LI-PaRAD)|1024|20.927|20.931|20.981|20.934|0.036|45.557|0.016
strlen (GNU libc 2.34)|1024|15.019|15.042|15.366|15.063|0.5|63.315|0.311
strlen (Arm OR 23.01)|1024|51.262|55.092|55.137|54.399|2.03|17.539|0.367
strlen (LI-PaRAD)|2048|40.333|40.351|40.411|40.352|0.03|47.268|0.014
strlen (GNU libc 2.34)|2048|39.421|39.438|39.498|39.441|0.031|48.36|0.015
strlen (Arm OR 23.01)|2048|106.918|107.188|107.263|107.182|0.042|17.795|0.007
strlen (LI-PaRAD)|4096|86.429|86.458|86.595|86.466|0.043|44.118|0.019
strlen (GNU libc 2.34)|4096|78.221|78.262|78.416|78.268|0.047|48.739|0.023
strlen (Arm OR 23.01)|4096|196.566|214.096|238.835|217.705|4.855|17.562|0.832
