        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
       strncmp (GNU libc 2.34) |          64 |          6.549 |          6.552 |          6.625 |          6.553 |          0.142 |          9.095 |          0.013 |
            strncmp (LI-PaRAD) |          64 |          4.691 |          4.835 |          5.136 |          4.849 |          1.710 |         12.296 |          0.205 |     +35.15%
       strncmp (GNU libc 2.34) |         128 |         12.164 |         12.274 |         12.344 |         12.272 |          0.153 |          9.714 |          0.015 |
            strncmp (LI-PaRAD) |         128 |          8.803 |          8.849 |          9.066 |          8.854 |          0.383 |         13.465 |          0.051 |     +38.61%
       strncmp (GNU libc 2.34) |         256 |         23.698 |         23.709 |         23.776 |         23.711 |          0.049 |         10.055 |          0.005 |
            strncmp (LI-PaRAD) |         256 |         17.407 |         17.470 |         17.546 |         17.471 |          0.165 |         13.647 |          0.022 |     +35.72%
       strncmp (GNU libc 2.34) |         512 |         46.448 |         46.476 |         46.731 |         46.483 |          0.084 |         10.258 |          0.009 |
            strncmp (LI-PaRAD) |         512 |         33.481 |         33.616 |         33.764 |         33.616 |          0.140 |         14.185 |          0.020 |     +38.28%
       strncmp (GNU libc 2.34) |        1024 |         92.057 |         92.093 |         92.385 |         92.101 |          0.044 |         10.355 |          0.005 |
            strncmp (LI-PaRAD) |        1024 |         66.270 |         66.440 |         66.682 |         66.435 |          0.092 |         14.355 |          0.013 |     +38.63%
       strncmp (GNU libc 2.34) |        2048 |        188.692 |        189.295 |        189.660 |        189.266 |          0.067 |         10.078 |          0.007 |
            strncmp (LI-PaRAD) |        2048 |        131.421 |        131.597 |        131.911 |        131.600 |          0.063 |         14.494 |          0.009 |     +43.82%
       strncmp (GNU libc 2.34) |        4096 |        372.432 |        372.806 |        373.568 |        372.817 |          0.054 |         10.232 |          0.006 |
            strncmp (LI-PaRAD) |        4096 |        264.669 |        265.926 |        266.986 |        265.842 |          0.123 |         14.350 |          0.018 |     +40.24%
       strncmp (GNU libc 2.34) |        8192 |        736.771 |        737.302 |        738.858 |        737.386 |          0.048 |         10.347 |          0.005 |
            strncmp (LI-PaRAD) |        8192 |        525.920 |        526.554 |        529.843 |        526.668 |          0.095 |         14.486 |          0.014 |     +40.01%
       strncmp (GNU libc 2.34) |       16384 |       1464.554 |       1465.536 |       1468.445 |       1465.584 |          0.044 |         10.411 |          0.005 |
            strncmp (LI-PaRAD) |       16384 |       1047.763 |       1048.387 |       1235.939 |       1050.270 |          1.777 |         14.532 |          0.220 |     +39.54%
       strncmp (GNU libc 2.34) |       32768 |       2926.304 |       2929.440 |       2947.104 |       2930.070 |          0.095 |         10.415 |          0.010 |
            strncmp (LI-PaRAD) |       32768 |       2093.472 |       2095.072 |       2100.864 |       2095.461 |          0.061 |         14.564 |          0.009 |     +39.83%
       strncmp (GNU libc 2.34) |       65536 |       6334.880 |       6344.224 |       6370.880 |       6344.903 |          0.086 |          9.620 |          0.008 |
            strncmp (LI-PaRAD) |       65536 |       4353.824 |       4358.560 |       4393.536 |       4361.463 |          0.212 |         13.994 |          0.030 |     +45.48%
       strncmp (GNU libc 2.34) |      131072 |      11757.888 |      11765.792 |      11862.016 |      11769.512 |          0.114 |         10.372 |          0.012 |
