ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strncmp (LI-PaRAD)|64|4.691|4.835|5.136|4.849|1.71|12.296|0.205
strncmp (GNU libc 2.34)|64|6.549|6.552|6.625|6.553|0.142|9.095|0.013
strncmp (Arm OR 23.01)|64|7.094|7.133|7.172|7.124|0.313|8.366|0.026
strncmp (LI-PaRAD)|128|8.803|8.849|9.066|8.854|0.383|13.465|0.051
strncmp (GNU libc 2.34)|128|12.164|12.274|12.344|12.272|0.153|9.714|0.015
strncmp (Arm OR 23.01)|128|13.551|13.748|14.041|13.753|0.807|8.669|0.07
strncmp (LI-PaRAD)|256|17.407|17.47|17.546|17.471|0.165|13.647|0.022
strncmp (GNU libc 2.34)|256|23.698|23.709|23.776|23.711|0.049|10.055|0.005
strncmp (Arm OR 23.01)|256|25.604|26.027|26.389|26.025|0.523|9.161|0.048
strncmp (LI-PaRAD)|512|33.481|33.616|33.764|33.616|0.14|14.185|0.02
strncmp (GNU libc 2.34)|512|46.448|46.476|46.731|46.483|0.084|10.258|0.009
strncmp (Arm OR 23.01)|512|49.307|49.621|51.074|49.693|0.57|9.596|0.054
strncmp (LI-PaRAD)|1024|66.27|66.44|66.682|66.435|0.092|14.355|0.013
strncmp (GNU libc 2.34)|1024|92.057|92.093|92.385|92.101|0.044|10.355|0.005
strncmp (Arm OR 23.01)|1024|97.412|98.197|99.188|98.185|0.441|9.713|0.043
strncmp (LI-PaRAD)|2048|131.421|131.597|131.911|131.6|0.063|14.494|0.009
strncmp (GNU libc 2.34)|2048|188.692|189.295|189.66|189.266|0.067|10.078|0.007
strncmp (Arm OR 23.01)|2048|192.668|194.39|196.597|194.394|0.445|9.812|0.044
strncmp (LI-PaRAD)|4096|264.669|265.926|266.986|265.842|0.123|14.35|0.018
strncmp (GNU libc 2.34)|4096|372.432|372.806|373.568|372.817|0.054|10.232|0.006
strncmp (Arm OR 23.01)|4096|394.832|395.51|405.011|398.03|1.001|9.585|0.095
strncmp (LI-PaRAD)|8192|525.92|526.554|529.843|526.668|0.095|14.486|0.014
strncmp (GNU libc 2.34)|8192|736.771|737.302|738.858|737.386|0.048|10.347|0.005
strncmp (Arm OR 23.01)|8192|781.309|786.134|798.989|786.138|0.324|9.705|0.031
strncmp (LI-PaRAD)|16384|1047.763|1048.387|1235.939|1050.27|1.777|14.532|0.22
strncmp (GNU libc 2.34)|16384|1464.554|1465.536|1468.445|1465.584|0.044|10.411|0.005
strncmp (Arm OR 23.01)|16384|1558.538|1564.88|1569.194|1564.793|0.087|9.751|0.008
strncmp (LI-PaRAD)|32768|2093.472|2095.072|2100.864|2095.461|0.061|14.564|0.009
strncmp (GNU libc 2.34)|32768|2926.304|2929.44|2947.104|2930.07|0.095|10.415|0.01
strncmp (Arm OR 23.01)|32768|3107.488|3110.4|3444.96|3123.064|1.704|9.774|0.154
strncmp (LI-PaRAD)|65536|4353.824|4358.56|4393.536|4361.463|0.212|13.994|0.03
strncmp (GNU libc 2.34)|65536|6334.88|6344.224|6370.88|6344.903|0.086|9.62|0.008
strncmp (Arm OR 23.01)|65536|6618.208|6623.2|6629.984|6623.376|0.041|9.215|0.004
strncmp (LI-PaRAD)|131072|8419.008|8429.984|8512.032|8434.684|0.189|14.472|0.027
strncmp (GNU libc 2.34)|131072|11757.888|11765.792|11862.016|11769.512|0.114|10.372|0.012
