        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
       strncpy (GNU libc 2.34) |          64 |          4.570 |          4.590 |          5.024 |          4.597 |          1.253 |         12.969 |          0.150 |
            strncpy (LI-PaRAD) |          64 |          2.851 |          2.858 |          2.865 |          2.858 |          0.048 |         20.857 |          0.010 |     +60.84%
       strncpy (GNU libc 2.34) |         128 |          6.124 |          6.158 |          6.506 |          6.161 |          0.865 |         19.349 |          0.160 |
            strncpy (LI-PaRAD) |         128 |          5.002 |          5.005 |          5.008 |          5.005 |          0.031 |         23.820 |          0.007 |     +23.12%
       strncpy (GNU libc 2.34) |         256 |         10.563 |         10.567 |         10.707 |         10.576 |          0.261 |         22.542 |          0.058 |
            strncpy (LI-PaRAD) |         256 |          9.280 |          9.283 |          9.287 |          9.283 |          0.015 |         25.683 |          0.004 |     +13.93%
       strncpy (GNU libc 2.34) |         512 |         18.992 |         19.001 |         19.174 |         19.012 |          0.201 |         25.081 |          0.050 |
            strncpy (LI-PaRAD) |         512 |         17.366 |         17.373 |         17.391 |         17.375 |          0.029 |         27.444 |          0.008 |      +9.43%
       strncpy (GNU libc 2.34) |        1024 |         42.163 |         42.180 |         42.231 |         42.180 |          0.027 |         22.609 |          0.006 |
            strncpy (LI-PaRAD) |        1024 |         33.493 |         33.510 |         33.594 |         33.511 |          0.032 |         28.458 |          0.009 |     +25.87%
       strncpy (GNU libc 2.34) |        2048 |         78.857 |         79.091 |         79.272 |         79.083 |          0.083 |         24.118 |          0.020 |
            strncpy (LI-PaRAD) |        2048 |         71.123 |         71.252 |         71.885 |         71.255 |          0.114 |         26.768 |          0.030 |     +10.98%
       strncpy (GNU libc 2.34) |        4096 |        154.342 |        154.560 |        154.883 |        154.567 |          0.064 |         24.680 |          0.016 |
            strncpy (LI-PaRAD) |        4096 |        135.706 |        135.923 |        137.430 |        136.377 |          0.512 |         27.972 |          0.143 |     +13.34%
       strncpy (GNU libc 2.34) |        8192 |        304.995 |        305.229 |        305.747 |        305.238 |          0.034 |         24.995 |          0.009 |
            strncpy (LI-PaRAD) |        8192 |        264.240 |        264.918 |        265.459 |        264.901 |          0.062 |         28.801 |          0.018 |     +15.23%
       strncpy (GNU libc 2.34) |       16384 |        611.286 |        612.950 |        616.157 |        612.944 |          0.104 |         24.894 |          0.026 |
            strncpy (LI-PaRAD) |       16384 |        522.813 |        523.488 |        529.245 |        523.655 |          0.180 |         29.139 |          0.052 |     +17.05%
       strncpy (GNU libc 2.34) |       32768 |       1213.792 |       1214.880 |       1218.016 |       1215.030 |          0.055 |         25.117 |          0.014 |
            strncpy (LI-PaRAD) |       32768 |       1040.800 |       1042.080 |       1044.544 |       1042.269 |          0.070 |         29.280 |          0.021 |     +16.58%
