        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
       strncpy (GNU libc 2.34) |          64 |          4.557 |          4.574 |          4.580 |          4.571 |          0.148 |         13.041 |          0.019 |
            strncpy (LI-PaRAD) |          64 |          2.837 |          2.844 |          2.847 |          2.844 |          0.052 |         20.955 |          0.011 |     +60.69%
       strncpy (GNU libc 2.34) |         128 |          6.132 |          6.160 |          6.535 |          6.180 |          1.246 |         19.292 |          0.230 |
            strncpy (LI-PaRAD) |         128 |          5.001 |          5.006 |          5.010 |          5.006 |          0.041 |         23.814 |          0.010 |     +23.46%
       strncpy (GNU libc 2.34) |         256 |         10.579 |         10.584 |         10.804 |         10.596 |          0.337 |         22.501 |          0.075 |
            strncpy (LI-PaRAD) |         256 |          9.287 |          9.297 |          9.301 |          9.297 |          0.019 |         25.645 |          0.005 |     +13.97%
       strncpy (GNU libc 2.34) |         512 |         18.994 |         19.094 |         19.117 |         19.094 |          0.075 |         24.973 |          0.019 |
            strncpy (LI-PaRAD) |         512 |         17.369 |         17.376 |         17.395 |         17.378 |          0.035 |         27.439 |          0.010 |      +9.88%
       strncpy (GNU libc 2.34) |        1024 |         42.180 |         42.296 |         42.335 |         42.282 |          0.096 |         22.555 |          0.022 |
            strncpy (LI-PaRAD) |        1024 |         33.500 |         33.516 |         33.788 |         33.520 |          0.087 |         28.451 |          0.025 |     +26.14%
       strncpy (GNU libc 2.34) |        2048 |         79.057 |         79.738 |         79.993 |         79.557 |          0.366 |         23.975 |          0.088 |
            strncpy (LI-PaRAD) |        2048 |         71.069 |         71.352 |         71.926 |         71.362 |          0.127 |         26.728 |          0.034 |     +11.48%
       strncpy (GNU libc 2.34) |        4096 |        156.746 |        157.472 |        158.464 |        157.476 |          0.125 |         24.224 |          0.030 |
            strncpy (LI-PaRAD) |        4096 |        135.878 |        135.949 |        136.176 |        135.962 |          0.050 |         28.057 |          0.014 |     +15.82%
       strncpy (GNU libc 2.34) |        8192 |        306.694 |        307.114 |        311.274 |        307.493 |          0.384 |         24.812 |          0.094 |
            strncpy (LI-PaRAD) |        8192 |        264.874 |        265.114 |        265.491 |        265.134 |          0.043 |         28.776 |          0.012 |     +15.98%
       strncpy (GNU libc 2.34) |       16384 |        610.688 |        612.966 |        614.733 |        612.913 |          0.096 |         24.896 |          0.024 |
            strncpy (LI-PaRAD) |       16384 |        523.811 |        524.941 |        530.074 |        526.477 |          0.468 |         28.983 |          0.135 |     +16.42%
       strncpy (GNU libc 2.34) |       32768 |       1214.080 |       1214.880 |       1220.000 |       1215.080 |          0.067 |         25.116 |          0.017 |
            strncpy (LI-PaRAD) |       32768 |       1041.024 |       1041.856 |       1044.352 |       1042.160 |          0.085 |         29.283 |          0.025 |     +16.59%
       strncpy (GNU libc 2.34) |       65536 |       2426.240 |       2428.160 |       2430.208 |       2428.072 |          0.041 |         25.137 |          0.010 |
            strncpy (LI-PaRAD) |       65536 |       2086.144 |       2086.784 |       2089.344 |       2087.045 |          0.033 |         29.245 |          0.010 |     +16.34%
       strncpy (GNU libc 2.34) |      131072 |       4881.696 |       4885.536 |       4893.760 |       4885.746 |          0.039 |         24.985 |          0.010 |
            strncpy (LI-PaRAD) |      131072 |       4169.824 |       4171.648 |       4174.080 |       4171.650 |          0.026 |         29.262 |          0.008 |     +17.12%
       strncpy (GNU libc 2.34) |      262144 |      10024.960 |      10080.640 |      10143.680 |      10079.439 |          0.300 |         24.222 |          0.073 |
