ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strncpy (LI-PaRAD)|64|2.837|2.844|2.847|2.844|0.052|20.955|0.011
strncpy (GNU libc 2.34)|64|4.557|4.574|4.58|4.571|0.148|13.041|0.019
strncpy (LI-PaRAD)|128|5.001|5.006|5.01|5.006|0.041|23.814|0.01
strncpy (GNU libc 2.34)|128|6.132|6.16|6.535|6.18|1.246|19.292|0.23
strncpy (LI-PaRAD)|256|9.287|9.297|9.301|9.297|0.019|25.645|0.005
strncpy (GNU libc 2.34)|256|10.579|10.584|10.804|10.596|0.337|22.501|0.075
strncpy (LI-PaRAD)|512|17.369|17.376|17.395|17.378|0.035|27.439|0.01
strncpy (GNU libc 2.34)|512|18.994|19.094|19.117|19.094|0.075|24.973|0.019
strncpy (LI-PaRAD)|1024|33.5|33.516|33.788|33.52|0.087|28.451|0.025
strncpy (GNU libc 2.34)|1024|42.18|42.296|42.335|42.282|0.096|22.555|0.022
strncpy (LI-PaRAD)|2048|71.069|71.352|71.926|71.362|0.127|26.728|0.034
strncpy (GNU libc 2.34)|2048|79.057|79.738|79.993|79.557|0.366|23.975|0.088
strncpy (LI-PaRAD)|4096|135.878|135.949|136.176|135.962|0.05|28.057|0.014
strncpy (GNU libc 2.34)|4096|156.746|157.472|158.464|157.476|0.125|24.224|0.03
strncpy (LI-PaRAD)|8192|264.874|265.114|265.491|265.134|0.043|28.776|0.012
strncpy (GNU libc 2.34)|8192|306.694|307.114|311.274|307.493|0.384|24.812|0.094
strncpy (LI-PaRAD)|16384|523.811|524.941|530.074|526.477|0.468|28.983|0.135
strncpy (GNU libc 2.34)|16384|610.688|612.966|614.733|612.913|0.096|24.896|0.024
strncpy (LI-PaRAD)|32768|1041.024|1041.856|1044.352|1042.16|0.085|29.283|0.025
strncpy (GNU libc 2.34)|32768|1214.08|1214.88|1220.0|1215.08|0.067|25.116|0.017
strncpy (LI-PaRAD)|65536|2086.144|2086.784|2089.344|2087.045|0.033|29.245|0.01
strncpy (GNU libc 2.34)|65536|2426.24|2428.16|2430.208|2428.072|0.041|25.137|0.01
strncpy (LI-PaRAD)|131072|4169.824|4171.648|4174.08|4171.65|0.026|29.262|0.008
strncpy (GNU libc 2.34)|131072|4881.696|4885.536|4893.76|4885.746|0.039|24.985|0.01
strncpy (LI-PaRAD)|262144|8338.88|8351.04|8473.28|8362.899|0.337|29.194|0.098
strncpy (GNU libc 2.34)|262144|10024.96|10080.64|10143.68|10079.439|0.3|24.222|0.073
strncpy (LI-PaRAD)|524288|19926.72|20710.4|21729.6|20737.305|1.921|23.555|0.452
strncpy (GNU libc 2.34)|524288|23646.4|24083.2|24441.28|24063.778|0.683|20.292|0.139
strncpy (LI-PaRAD)|1048576|36904.0|40501.44|47307.2|40857.565|5.999|23.983|1.377
strncpy (GNU libc 2.34)|1048576|50629.76|53323.84|54560.96|53139.054|1.382|18.381|0.257
strncpy (LI-PaRAD)|2097152|84588.8|93251.2|102726.4|92916.246|5.279|21.079|1.118
strncpy (GNU libc 2.34)|2097152|118016.0|143030.4|147593.6|142494.954|2.551|13.717|0.4
strncpy (LI-PaRAD)|4194304|176358.4|186643.2|209590.4|191469.624|5.432|20.46|1.095
strncpy (GNU libc 2.34)|4194304|269737.6|316521.6|328579.2|315299.422|2.537|12.397|0.333
strncpy (LI-PaRAD)|8388608|384899.2|448684.8|460112.0|445965.275|2.416|17.529|0.454
strncpy (GNU libc 2.34)|8388608|559248.0|649001.6|693193.6|650336.063|3.128|12.025|0.385
strncpy (LI-PaRAD)|16777216|794608.0|927072.0|963824.0|916344.713|4.303|17.084|0.77
strncpy (GNU libc 2.34)|16777216|1097968.0|1339456.0|1389744.0|1330522.139|3.745|11.762|0.5
strncpy (LI-PaRAD)|33554432|1629552.0|1979152.0|2014880.0|1939711.683|4.428|16.145|0.777
strncpy (GNU libc 2.34)|33554432|2587072.0|2748288.0|2949696.0|2725443.644|2.079|11.471|0.241
strncpy (LI-PaRAD)|67108864|3155328.0|3628528.0|3755552.0|3557380.436|4.572|17.607|0.837
strncpy (GNU libc 2.34)|67108864|5776592.0|6485328.0|7137952.0|6470653.149|3.538|9.672|0.36
strncpy (LI-PaRAD)|134217728|7927440.0|8501456.0|8708048.0|8433029.069|2.677|14.833|0.405
strncpy (GNU libc 2.34)|134217728|13575152.0|15114016.0|15524992.0|15129836.673|1.326|8.263|0.117
strncpy (LI-PaRAD)|268435456|16810880.0|17977024.0|18032400.0|17778252.99|1.922|14.067|0.279
strncpy (GNU libc 2.34)|268435456|30161744.0|32871376.0|33415536.0|32783365.861|1.684|7.628|0.135
strncpy (LI-PaRAD)|536870912|35612416.0|36533200.0|36657744.0|36495153.901|0.462|13.701|0.064
strncpy (GNU libc 2.34)|536870912|63853200.0|67222832.0|67867280.0|67199720.079|0.835|7.441|0.064
