        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strnlen (Arm OR 23.01) |          64 |          6.139 |          6.207 |          6.391 |          6.212 |          0.977 |          9.596 |          0.093 |
            strnlen (LI-PaRAD) |          64 |          2.695 |          2.698 |          2.711 |          2.699 |          0.165 |         22.080 |          0.036 |    +130.13%
        strnlen (Arm OR 23.01) |         128 |          9.140 |          9.423 |          9.577 |          9.417 |          0.733 |         12.660 |          0.093 |
            strnlen (LI-PaRAD) |         128 |          4.740 |          4.742 |          4.751 |          4.742 |          0.050 |         25.137 |          0.012 |     +98.56%
        strnlen (Arm OR 23.01) |         256 |         17.143 |         17.466 |         17.816 |         17.457 |          0.900 |         13.658 |          0.123 |
            strnlen (LI-PaRAD) |         256 |          9.025 |          9.542 |          9.579 |          9.488 |          1.496 |         25.134 |          0.390 |     +83.99%
        strnlen (Arm OR 23.01) |         512 |         33.083 |         33.988 |         34.702 |         33.958 |          1.308 |         14.044 |          0.184 |
            strnlen (LI-PaRAD) |         512 |         16.885 |         16.892 |         16.930 |         16.894 |          0.045 |         28.225 |          0.013 |    +101.01%
        strnlen (Arm OR 23.01) |        1024 |         66.322 |         68.125 |         70.822 |         68.422 |          1.936 |         13.943 |          0.268 |
            strnlen (LI-PaRAD) |        1024 |         32.544 |         32.554 |         32.577 |         32.556 |          0.023 |         29.293 |          0.007 |    +110.16%
        strnlen (Arm OR 23.01) |        2048 |        133.296 |        139.715 |        143.566 |        139.558 |          1.470 |         13.670 |          0.202 |
            strnlen (LI-PaRAD) |        2048 |         63.742 |         64.367 |         64.400 |         64.245 |          0.375 |         29.689 |          0.112 |    +117.23%
        strnlen (Arm OR 23.01) |        4096 |        262.960 |        299.494 |        302.957 |        297.365 |          2.627 |         12.838 |          0.364 |
            strnlen (LI-PaRAD) |        4096 |        126.096 |        126.618 |        127.584 |        126.783 |          0.508 |         30.089 |          0.153 |    +134.55%
        strnlen (Arm OR 23.01) |        8192 |        562.566 |        597.456 |        604.976 |        594.163 |          1.368 |         12.843 |          0.180 |
            strnlen (LI-PaRAD) |        8192 |        255.990 |        256.080 |        256.595 |        256.150 |          0.054 |         29.785 |          0.016 |    +131.96%
        strnlen (Arm OR 23.01) |       16384 |       1162.406 |       1191.610 |       1196.218 |       1191.222 |          0.302 |         12.809 |          0.039 |
            strnlen (LI-PaRAD) |       16384 |        505.430 |        505.626 |        507.411 |        505.662 |          0.044 |         30.176 |          0.013 |    +135.58%
        strnlen (Arm OR 23.01) |       32768 |       2258.144 |       2378.144 |       2383.360 |       2370.593 |          1.107 |         12.875 |          0.148 |
            strnlen (LI-PaRAD) |       32768 |       1005.312 |       1006.176 |       1008.064 |       1006.348 |          0.068 |         30.325 |          0.021 |    +135.56%
        strnlen (Arm OR 23.01) |       65536 |       4146.944 |       4747.008 |       4773.920 |       4702.117 |          2.888 |         12.992 |          0.409 |
            strnlen (LI-PaRAD) |       65536 |       2014.144 |       2023.584 |       2025.472 |       2023.322 |          0.097 |         30.166 |          0.029 |    +132.40%
        strnlen (Arm OR 23.01) |      131072 |       9388.800 |       9499.072 |       9545.728 |       9495.991 |          0.209 |         12.855 |          0.027 |
            strnlen (LI-PaRAD) |      131072 |       4027.040 |       4029.024 |       4036.256 |       4029.078 |          0.031 |         30.297 |          0.009 |    +135.69%
        strnlen (Arm OR 23.01) |      262144 |      18963.840 |      19035.840 |      19056.320 |      19031.455 |          0.081 |         12.828 |          0.010 |
            strnlen (LI-PaRAD) |      262144 |       8056.640 |       8061.120 |       8092.800 |       8062.397 |          0.061 |         30.281 |          0.018 |    +136.05%
        strnlen (Arm OR 23.01) |      524288 |      38029.440 |      38077.760 |      38155.520 |      38075.057 |          0.046 |         12.824 |          0.006 |
            strnlen (LI-PaRAD) |      524288 |      16640.640 |      16680.320 |      16714.880 |      16679.008 |          0.087 |         29.275 |          0.026 |    +128.28%
        strnlen (Arm OR 23.01) |     1048576 |      76058.880 |      76156.480 |      76675.200 |      76204.778 |          0.183 |         12.815 |          0.023 |
            strnlen (LI-PaRAD) |     1048576 |      33313.920 |      33533.120 |      33745.280 |      33531.758 |          0.318 |         29.124 |          0.093 |    +127.26%
        strnlen (Arm OR 23.01) |     2097152 |     153004.800 |     154732.800 |     174588.800 |     154819.517 |          1.521 |         12.618 |          0.176 |
            strnlen (LI-PaRAD) |     2097152 |      65436.800 |      65692.800 |      67689.600 |      65763.960 |          0.440 |         29.700 |          0.129 |    +135.42%
        strnlen (Arm OR 23.01) |     4194304 |     306752.000 |     319104.000 |     350528.000 |     319070.923 |          1.594 |         12.246 |          0.188 |
            strnlen (LI-PaRAD) |     4194304 |     133804.800 |     134912.000 |     137308.800 |     134892.927 |          0.466 |         28.959 |          0.134 |    +136.54%
        strnlen (Arm OR 23.01) |     8388608 |     606448.000 |     684643.200 |     715059.200 |     681436.578 |          2.719 |         11.474 |          0.339 |
            strnlen (LI-PaRAD) |     8388608 |     281401.600 |     285580.800 |     293593.600 |     285626.487 |          0.730 |         27.354 |          0.199 |    +138.58%
        strnlen (Arm OR 23.01) |    16777216 |    1119712.000 |    1239008.000 |    1573680.000 |    1268124.356 |          7.854 |         12.389 |          0.874 |
            strnlen (LI-PaRAD) |    16777216 |     519808.000 |     523952.000 |     531760.000 |     524199.762 |          0.481 |         29.808 |          0.143 |    +141.92%
        strnlen (Arm OR 23.01) |    33554432 |    2283232.000 |    2500400.000 |    3287536.000 |    2579964.990 |          8.718 |         12.194 |          0.951 |
            strnlen (LI-PaRAD) |    33554432 |    1048512.000 |    1059856.000 |    1104688.000 |    1062285.307 |          0.895 |         29.420 |          0.260 |    +142.87%
        strnlen (Arm OR 23.01) |    67108864 |    4510000.000 |    4897104.000 |    5435248.000 |    4970547.010 |          3.954 |         12.593 |          0.487 |
            strnlen (LI-PaRAD) |    67108864 |    2627040.000 |    3164672.000 |    4161360.000 |    3039961.980 |         10.034 |         20.762 |          2.052 |     +63.51%
        strnlen (Arm OR 23.01) |   134217728 |    9348112.000 |    9780256.000 |    9912032.000 |    9774948.752 |          0.696 |         12.788 |          0.091 |
