        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
       strnlen (GNU libc 2.34) |          64 |          2.494 |          2.504 |          2.550 |          2.504 |          0.249 |         23.805 |          0.059 |
            strnlen (LI-PaRAD) |          64 |          3.150 |          3.200 |          3.213 |          3.199 |          0.185 |         18.632 |          0.035 |     -21.73%
       strnlen (GNU libc 2.34) |         128 |          3.643 |          3.650 |          3.660 |          3.650 |          0.074 |         32.662 |          0.024 |
            strnlen (LI-PaRAD) |         128 |          4.767 |          4.794 |          4.855 |          4.805 |          0.747 |         24.809 |          0.185 |     -24.05%
       strnlen (GNU libc 2.34) |         256 |          6.331 |          6.336 |          6.344 |          6.336 |          0.035 |         37.629 |          0.013 |
            strnlen (LI-PaRAD) |         256 |          9.096 |          9.543 |          9.630 |          9.517 |          1.040 |         25.054 |          0.267 |     -33.43%
       strnlen (GNU libc 2.34) |         512 |         12.167 |         12.172 |         12.285 |         12.176 |          0.138 |         39.162 |          0.054 |
            strnlen (LI-PaRAD) |         512 |         16.972 |         16.978 |         17.108 |         16.990 |          0.185 |         28.066 |          0.052 |     -28.33%
       strnlen (GNU libc 2.34) |        1024 |         24.502 |         24.525 |         24.689 |         24.565 |          0.280 |         38.822 |          0.108 |
            strnlen (LI-PaRAD) |        1024 |         32.712 |         32.747 |         33.046 |         32.827 |          0.368 |         29.052 |          0.107 |     -25.17%
       strnlen (GNU libc 2.34) |        2048 |         49.113 |         49.290 |         49.487 |         49.282 |          0.143 |         38.703 |          0.056 |
            strnlen (LI-PaRAD) |        2048 |         64.092 |         64.727 |         64.826 |         64.701 |          0.203 |         29.480 |          0.060 |     -23.83%
       strnlen (GNU libc 2.34) |        4096 |         98.346 |         98.422 |         99.456 |         98.468 |          0.162 |         38.741 |          0.062 |
            strnlen (LI-PaRAD) |        4096 |        126.790 |        126.842 |        128.371 |        126.894 |          0.158 |         30.062 |          0.047 |     -22.40%
       strnlen (GNU libc 2.34) |        8192 |        196.925 |        197.088 |        197.952 |        197.136 |          0.101 |         38.701 |          0.039 |
            strnlen (LI-PaRAD) |        8192 |        257.357 |        257.478 |        258.349 |        257.556 |          0.088 |         29.622 |          0.026 |     -23.46%
       strnlen (GNU libc 2.34) |       16384 |        400.173 |        400.467 |        401.818 |        400.545 |          0.076 |         38.095 |          0.029 |
            strnlen (LI-PaRAD) |       16384 |        509.117 |        509.453 |        510.653 |        509.563 |          0.072 |         29.945 |          0.021 |     -21.39%
       strnlen (GNU libc 2.34) |       32768 |        794.368 |        795.104 |        805.856 |        795.488 |          0.226 |         38.364 |          0.086 |
            strnlen (LI-PaRAD) |       32768 |       1012.416 |       1013.216 |       1024.192 |       1013.647 |          0.155 |         30.107 |          0.046 |     -21.52%
       strnlen (GNU libc 2.34) |       65536 |       1587.872 |       1588.832 |       1599.360 |       1589.186 |          0.100 |         38.407 |          0.038 |
            strnlen (LI-PaRAD) |       65536 |       2034.240 |       2035.328 |       2042.496 |       2035.622 |          0.056 |         29.984 |          0.017 |     -21.93%
       strnlen (GNU libc 2.34) |      131072 |       3164.192 |       3166.976 |       3173.568 |       3167.224 |          0.053 |         38.542 |          0.020 |
            strnlen (LI-PaRAD) |      131072 |       4050.976 |       4054.208 |       4071.264 |       4055.399 |          0.094 |         30.101 |          0.028 |     -21.90%
       strnlen (GNU libc 2.34) |      262144 |       6320.320 |       6328.320 |       6373.440 |       6329.698 |          0.116 |         38.571 |          0.044 |
            strnlen (LI-PaRAD) |      262144 |       8102.720 |       8112.320 |       8184.960 |       8116.559 |          0.137 |         30.079 |          0.041 |     -22.02%
       strnlen (GNU libc 2.34) |      524288 |      12979.520 |      13043.840 |      13236.160 |      13051.301 |          0.331 |         37.413 |          0.123 |
            strnlen (LI-PaRAD) |      524288 |      16628.160 |      16721.920 |      16970.560 |      16722.845 |          0.334 |         29.199 |          0.097 |     -21.96%
       strnlen (GNU libc 2.34) |     1048576 |      26163.200 |      26901.120 |      27253.440 |      26875.412 |          0.745 |         36.339 |          0.273 |
            strnlen (LI-PaRAD) |     1048576 |      34272.320 |      34597.760 |      35116.800 |      34647.889 |          0.575 |         28.186 |          0.161 |     -22.43%
       strnlen (GNU libc 2.34) |     2097152 |      50704.000 |      50812.800 |      54441.600 |      50885.133 |          0.744 |         38.385 |          0.269 |
            strnlen (LI-PaRAD) |     2097152 |      64899.200 |      65040.000 |      67328.000 |      65080.586 |          0.431 |         30.011 |          0.126 |     -21.81%
       strnlen (GNU libc 2.34) |     4194304 |     101292.800 |     101526.400 |     120540.800 |     101819.945 |          1.948 |         38.377 |          0.641 |
            strnlen (LI-PaRAD) |     4194304 |     129696.000 |     130083.200 |     131088.000 |     130122.392 |          0.217 |         30.020 |          0.065 |     -21.75%
       strnlen (GNU libc 2.34) |     8388608 |     202422.400 |     202697.600 |     289740.800 |     204624.887 |          4.960 |         38.250 |          1.429 |
            strnlen (LI-PaRAD) |     8388608 |     259286.400 |     260771.200 |     274745.600 |     262303.081 |          1.299 |         29.789 |          0.380 |     -21.99%
       strnlen (GNU libc 2.34) |    16777216 |     405792.000 |     410384.000 |     647232.000 |     433003.089 |         12.078 |         36.487 |          3.381 |
            strnlen (LI-PaRAD) |    16777216 |     525360.000 |     568400.000 |     639616.000 |     566837.386 |          4.258 |         27.614 |          1.154 |     -23.61%
       strnlen (GNU libc 2.34) |    33554432 |     812192.000 |     821040.000 |    1350112.000 |     887619.327 |         16.159 |         35.908 |          4.411 |
            strnlen (LI-PaRAD) |    33554432 |    1040608.000 |    1051456.000 |    1251488.000 |    1060047.525 |          3.059 |         29.504 |          0.797 |     -16.27%
       strnlen (GNU libc 2.34) |    67108864 |    2244688.000 |    2319552.000 |    2864496.000 |    2357123.802 |          4.502 |         26.564 |          1.099 |
            strnlen (LI-PaRAD) |    67108864 |    2634800.000 |    2826448.000 |    2915872.000 |    2823764.277 |          1.966 |         22.142 |          0.447 |     -16.53%
       strnlen (GNU libc 2.34) |   134217728 |    5706144.000 |    5766032.000 |    6336624.000 |    5808770.218 |          2.074 |         21.528 |          0.431 |
            strnlen (LI-PaRAD) |   134217728 |    6177920.000 |    6275680.000 |    6302736.000 |    6262078.416 |          0.512 |         19.962 |          0.103 |      -7.24%
       strnlen (GNU libc 2.34) |   268435456 |   12993568.000 |   13525088.000 |   15380016.000 |   13698989.624 |          4.172 |         18.279 |          0.724 |
            strnlen (LI-PaRAD) |   268435456 |   14364944.000 |   14637264.000 |   16375744.000 |   14690393.663 |          2.322 |         17.026 |          0.372 |      -6.75%
       strnlen (GNU libc 2.34) |   536870912 |   26011568.000 |   26881312.000 |   29493792.000 |   27241558.178 |          4.308 |         18.388 |          0.786 |
            strnlen (LI-PaRAD) |   536870912 |   28098224.000 |   28188512.000 |   29517744.000 |   28317356.673 |          1.108 |         17.659 |          0.191 |      -3.80%
