ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strnlen (LI-PaRAD)|64|3.15|3.2|3.213|3.199|0.185|18.632|0.035
strnlen (GNU libc 2.34)|64|2.494|2.504|2.55|2.504|0.249|23.805|0.059
strnlen (Arm OR 23.01)|64|6.139|6.207|6.391|6.212|0.977|9.596|0.093
strnlen (LI-PaRAD)|128|4.767|4.794|4.855|4.805|0.747|24.809|0.185
strnlen (GNU libc 2.34)|128|3.643|3.65|3.66|3.65|0.074|32.662|0.024
strnlen (Arm OR 23.01)|128|9.14|9.423|9.577|9.417|0.733|12.66|0.093
strnlen (LI-PaRAD)|256|9.096|9.543|9.63|9.517|1.04|25.054|0.267
strnlen (GNU libc 2.34)|256|6.331|6.336|6.344|6.336|0.035|37.629|0.013
strnlen (Arm OR 23.01)|256|17.143|17.466|17.816|17.457|0.9|13.658|0.123
strnlen (LI-PaRAD)|512|16.972|16.978|17.108|16.99|0.185|28.066|0.052
strnlen (GNU libc 2.34)|512|12.167|12.172|12.285|12.176|0.138|39.162|0.054
strnlen (Arm OR 23.01)|512|33.083|33.988|34.702|33.958|1.308|14.044|0.184
strnlen (LI-PaRAD)|1024|32.712|32.747|33.046|32.827|0.368|29.052|0.107
strnlen (GNU libc 2.34)|1024|24.502|24.525|24.689|24.565|0.28|38.822|0.108
strnlen (Arm OR 23.01)|1024|66.322|68.125|70.822|68.422|1.936|13.943|0.268
strnlen (LI-PaRAD)|2048|64.092|64.727|64.826|64.701|0.203|29.48|0.06
strnlen (GNU libc 2.34)|2048|49.113|49.29|49.487|49.282|0.143|38.703|0.056
strnlen (Arm OR 23.01)|2048|133.296|139.715|143.566|139.558|1.47|13.67|0.202
strnlen (LI-PaRAD)|4096|126.79|126.842|128.371|126.894|0.158|30.062|0.047
strnlen (GNU libc 2.34)|4096|98.346|98.422|99.456|98.468|0.162|38.741|0.062
strnlen (Arm OR 23.01)|4096|262.96|299.494|302.957|297.365|2.627|12.838|0.364
strnlen (LI-PaRAD)|8192|257.357|257.478|258.349|257.556|0.088|29.622|0.026
strnlen (GNU libc 2.34)|8192|196.925|197.088|197.952|197.136|0.101|38.701|0.039
strnlen (Arm OR 23.01)|8192|562.566|597.456|604.976|594.163|1.368|12.843|0.18
strnlen (LI-PaRAD)|16384|509.117|509.453|510.653|509.563|0.072|29.945|0.021
strnlen (GNU libc 2.34)|16384|400.173|400.467|401.818|400.545|0.076|38.095|0.029
strnlen (Arm OR 23.01)|16384|1162.406|1191.61|1196.218|1191.222|0.302|12.809|0.039
strnlen (LI-PaRAD)|32768|1012.416|1013.216|1024.192|1013.647|0.155|30.107|0.046
strnlen (GNU libc 2.34)|32768|794.368|795.104|805.856|795.488|0.226|38.364|0.086
strnlen (Arm OR 23.01)|32768|2258.144|2378.144|2383.36|2370.593|1.107|12.875|0.148
strnlen (LI-PaRAD)|65536|2034.24|2035.328|2042.496|2035.622|0.056|29.984|0.017
strnlen (GNU libc 2.34)|65536|1587.872|1588.832|1599.36|1589.186|0.1|38.407|0.038
strnlen (Arm OR 23.01)|65536|4146.944|4747.008|4773.92|4702.117|2.888|12.992|0.409
strnlen (LI-PaRAD)|131072|4050.976|4054.208|4071.264|4055.399|0.094|30.101|0.028
