        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
       strrchr (GNU libc 2.34) |          64 |          3.440 |          3.549 |          3.556 |          3.525 |          1.243 |         16.910 |          0.213 |
            strrchr (LI-PaRAD) |          64 |          4.195 |          4.199 |          4.242 |          4.201 |          0.171 |         14.188 |          0.024 |     -16.09%
       strrchr (GNU libc 2.34) |         128 |          5.188 |          5.193 |          5.204 |          5.193 |          0.035 |         22.954 |          0.008 |
            strrchr (LI-PaRAD) |         128 |          6.539 |          6.627 |          6.674 |          6.620 |          0.317 |         18.006 |          0.057 |     -21.55%
       strrchr (GNU libc 2.34) |         256 |          8.529 |          8.542 |          8.551 |          8.542 |          0.028 |         27.912 |          0.008 |
            strrchr (LI-PaRAD) |         256 |         11.219 |         11.766 |         11.791 |         11.668 |          1.427 |         20.439 |          0.297 |     -26.79%
       strrchr (GNU libc 2.34) |         512 |         14.050 |         14.657 |         14.709 |         14.624 |          0.955 |         32.609 |          0.323 |
            strrchr (LI-PaRAD) |         512 |         21.121 |         22.414 |         22.602 |         22.037 |          2.482 |         21.651 |          0.547 |     -33.64%
       strrchr (GNU libc 2.34) |        1024 |         27.520 |         27.549 |         28.162 |         27.731 |          0.972 |         34.394 |          0.332 |
            strrchr (LI-PaRAD) |        1024 |         40.126 |         42.237 |         42.289 |         41.735 |          1.593 |         22.856 |          0.369 |     -33.56%
       strrchr (GNU libc 2.34) |        2048 |         56.444 |         57.887 |         58.177 |         57.865 |          0.310 |         32.962 |          0.104 |
            strrchr (LI-PaRAD) |        2048 |         78.957 |         80.603 |         81.072 |         80.326 |          0.822 |         23.747 |          0.196 |     -27.96%
       strrchr (GNU libc 2.34) |        4096 |        118.867 |        119.152 |        119.437 |        119.145 |          0.085 |         32.017 |          0.027 |
            strrchr (LI-PaRAD) |        4096 |        156.554 |        158.150 |        158.240 |        157.677 |          0.416 |         24.194 |          0.101 |     -24.44%
       strrchr (GNU libc 2.34) |        8192 |        286.656 |        297.139 |        316.102 |        296.657 |          1.475 |         25.723 |          0.377 |
            strrchr (LI-PaRAD) |        8192 |        317.488 |        317.744 |        318.707 |        317.755 |          0.045 |         24.010 |          0.011 |      -6.64%
       strrchr (GNU libc 2.34) |       16384 |        616.112 |        627.706 |        628.480 |        627.513 |          0.213 |         24.316 |          0.053 |
            strrchr (LI-PaRAD) |       16384 |        626.544 |        626.755 |        627.171 |        626.776 |          0.021 |         24.345 |          0.005 |      +0.12%
       strrchr (GNU libc 2.34) |       32768 |       1190.176 |       1231.936 |       1245.376 |       1223.196 |          1.609 |         24.955 |          0.403 |
            strrchr (LI-PaRAD) |       32768 |       1244.480 |       1244.864 |       1249.824 |       1244.998 |          0.051 |         24.512 |          0.012 |      -1.75%
       strrchr (GNU libc 2.34) |       65536 |       2195.488 |       2220.672 |       2304.480 |       2231.330 |          1.170 |         27.357 |          0.316 |
            strrchr (LI-PaRAD) |       65536 |       2485.664 |       2487.328 |       2492.000 |       2487.412 |          0.033 |         24.538 |          0.008 |     -10.30%
       strrchr (GNU libc 2.34) |      131072 |       4540.000 |       4749.440 |       4950.432 |       4776.040 |          2.323 |         25.573 |          0.593 |
            strrchr (LI-PaRAD) |      131072 |       4954.688 |       4957.248 |       4962.304 |       4957.172 |          0.029 |         24.625 |          0.007 |      -3.65%
       strrchr (GNU libc 2.34) |      262144 |       9026.880 |       9275.520 |       9555.840 |       9291.792 |          1.314 |         26.279 |          0.345 |
            strrchr (LI-PaRAD) |      262144 |       9901.760 |       9905.600 |       9949.760 |       9906.861 |          0.059 |         24.644 |          0.015 |      -6.21%
       strrchr (GNU libc 2.34) |      524288 |      16072.000 |      16451.840 |      16784.960 |      16454.070 |          0.794 |         29.677 |          0.236 |
            strrchr (LI-PaRAD) |      524288 |      19930.560 |      19958.080 |      19994.880 |      19957.925 |          0.065 |         24.466 |          0.016 |     -17.56%
       strrchr (GNU libc 2.34) |     1048576 |      37281.600 |      37600.960 |      38767.040 |      37606.276 |          0.544 |         25.969 |          0.140 |
            strrchr (LI-PaRAD) |     1048576 |      40533.440 |      40719.680 |      40920.000 |      40718.872 |          0.196 |         23.983 |          0.047 |      -7.64%
