        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         memcmp (Arm OR 23.01) |           1 |          1.799 |          1.800 |          1.831 |          1.800 |          0.205 |          0.517 |          0.001 |
             memcmp (LI-PaRAD) |           1 |          1.800 |          1.802 |          1.806 |          1.802 |          0.063 |          0.517 |          0.000 |      -0.11%
         memcmp (Arm OR 23.01) |           2 |          1.798 |          1.799 |          1.801 |          1.799 |          0.034 |          1.035 |          0.000 |
             memcmp (LI-PaRAD) |           2 |          1.800 |          1.802 |          1.804 |          1.802 |          0.047 |          1.034 |          0.000 |      -0.14%
         memcmp (Arm OR 23.01) |           3 |          1.799 |          1.800 |          1.801 |          1.800 |          0.029 |          1.552 |          0.000 |
             memcmp (LI-PaRAD) |           3 |          1.799 |          1.802 |          1.804 |          1.801 |          0.064 |          1.551 |          0.001 |      -0.09%
         memcmp (Arm OR 23.01) |           4 |          1.799 |          1.800 |          1.802 |          1.800 |          0.035 |          2.069 |          0.001 |
             memcmp (LI-PaRAD) |           4 |          1.800 |          1.802 |          1.804 |          1.802 |          0.051 |          2.067 |          0.001 |      -0.11%
         memcmp (Arm OR 23.01) |           5 |          1.800 |          1.801 |          1.803 |          1.801 |          0.031 |          2.586 |          0.001 |
             memcmp (LI-PaRAD) |           5 |          1.800 |          1.802 |          1.812 |          1.802 |          0.076 |          2.584 |          0.002 |      -0.08%
         memcmp (Arm OR 23.01) |           6 |          1.799 |          1.799 |          1.806 |          1.799 |          0.053 |          3.105 |          0.002 |
             memcmp (LI-PaRAD) |           6 |          1.799 |          1.802 |          1.804 |          1.802 |          0.057 |          3.102 |          0.002 |      -0.12%
         memcmp (Arm OR 23.01) |           7 |          1.800 |          1.801 |          1.802 |          1.801 |          0.030 |          3.620 |          0.001 |
             memcmp (LI-PaRAD) |           7 |          1.799 |          1.802 |          1.804 |          1.802 |          0.058 |          3.618 |          0.002 |      -0.05%
         memcmp (Arm OR 23.01) |           8 |          1.800 |          1.801 |          1.807 |          1.801 |          0.047 |          4.138 |          0.002 |
             memcmp (LI-PaRAD) |           8 |          1.800 |          1.802 |          1.804 |          1.802 |          0.050 |          4.134 |          0.002 |      -0.07%
         memcmp (Arm OR 23.01) |           9 |          1.800 |          1.800 |          1.807 |          1.800 |          0.048 |          4.656 |          0.002 |
             memcmp (LI-PaRAD) |           9 |          1.800 |          1.802 |          1.804 |          1.802 |          0.053 |          4.652 |          0.002 |      -0.08%
         memcmp (Arm OR 23.01) |          10 |          1.799 |          1.800 |          1.801 |          1.800 |          0.030 |          5.175 |          0.002 |
             memcmp (LI-PaRAD) |          10 |          1.799 |          1.801 |          1.803 |          1.801 |          0.052 |          5.171 |          0.003 |      -0.08%
         memcmp (Arm OR 23.01) |          11 |          1.800 |          1.800 |          1.806 |          1.801 |          0.043 |          5.689 |          0.002 |
             memcmp (LI-PaRAD) |          11 |          1.800 |          1.802 |          1.804 |          1.802 |          0.055 |          5.686 |          0.003 |      -0.07%
