        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        memcmp (GNU libc 2.34) |           1 |          2.114 |          2.114 |          3.211 |          2.137 |          7.107 |          0.437 |          0.021 |
             memcmp (LI-PaRAD) |           1 |          1.815 |          1.817 |          2.869 |          1.838 |          7.903 |          0.509 |          0.026 |     +16.25%
        memcmp (GNU libc 2.34) |           2 |          2.415 |          2.416 |          3.448 |          2.437 |          5.901 |          0.766 |          0.032 |
             memcmp (LI-PaRAD) |           2 |          1.814 |          1.816 |          2.860 |          1.837 |          7.918 |          1.018 |          0.052 |     +32.66%
        memcmp (GNU libc 2.34) |           3 |          2.718 |          2.952 |          4.049 |          2.886 |          7.222 |          0.972 |          0.062 |
             memcmp (LI-PaRAD) |           3 |          1.816 |          1.818 |          2.851 |          1.839 |          7.846 |          1.526 |          0.078 |     +56.98%
        memcmp (GNU libc 2.34) |           4 |          1.812 |          1.813 |          2.832 |          1.823 |          5.558 |          2.047 |          0.074 |
             memcmp (LI-PaRAD) |           4 |          1.817 |          1.818 |          2.866 |          1.838 |          7.881 |          2.035 |          0.104 |      -0.81%
        memcmp (GNU libc 2.34) |           5 |          1.812 |          1.813 |          2.836 |          1.833 |          7.809 |          2.550 |          0.130 |
             memcmp (LI-PaRAD) |           5 |          1.814 |          1.817 |          2.854 |          1.827 |          5.647 |          2.554 |          0.093 |      +0.35%
        memcmp (GNU libc 2.34) |           6 |          1.812 |          1.814 |          2.837 |          1.836 |          7.826 |          3.055 |          0.157 |
             memcmp (LI-PaRAD) |           6 |          1.815 |          1.817 |          2.854 |          1.827 |          5.648 |          3.064 |          0.111 |      +0.51%
        memcmp (GNU libc 2.34) |           7 |          1.812 |          1.813 |          2.832 |          1.834 |          7.777 |          3.569 |          0.181 |
             memcmp (LI-PaRAD) |           7 |          1.816 |          1.818 |          2.867 |          1.828 |          5.711 |          3.573 |          0.131 |      +0.29%
        memcmp (GNU libc 2.34) |           8 |          1.812 |          1.812 |          2.838 |          1.833 |          7.796 |          4.081 |          0.207 |
             memcmp (LI-PaRAD) |           8 |          1.815 |          1.817 |          2.859 |          1.838 |          7.917 |          4.070 |          0.209 |      -0.28%
        memcmp (GNU libc 2.34) |           9 |          1.812 |          1.812 |          2.834 |          1.823 |          5.574 |          4.607 |          0.166 |
             memcmp (LI-PaRAD) |           9 |          1.814 |          1.816 |          2.855 |          1.837 |          7.845 |          4.582 |          0.234 |      -0.75%
        memcmp (GNU libc 2.34) |          10 |          1.812 |          1.813 |          2.834 |          1.823 |          5.576 |          5.119 |          0.184 |
