        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         memcpy (Arm OR 23.01) |           1 |          1.912 |          1.913 |          1.944 |          1.914 |          0.168 |          0.487 |          0.001 |
             memcpy (LI-PaRAD) |           1 |          1.847 |          1.848 |          1.851 |          1.848 |          0.032 |          0.504 |          0.000 |      +3.52%
         memcpy (Arm OR 23.01) |           2 |          1.912 |          1.913 |          1.928 |          1.913 |          0.085 |          0.974 |          0.001 |
             memcpy (LI-PaRAD) |           2 |          1.848 |          1.848 |          1.850 |          1.849 |          0.028 |          1.008 |          0.000 |      +3.50%
         memcpy (Arm OR 23.01) |           3 |          1.912 |          1.913 |          1.915 |          1.913 |          0.029 |          1.460 |          0.000 |
             memcpy (LI-PaRAD) |           3 |          1.848 |          1.848 |          1.850 |          1.848 |          0.028 |          1.512 |          0.000 |      +3.52%
         memcpy (Arm OR 23.01) |           4 |          1.912 |          1.913 |          1.923 |          1.914 |          0.058 |          1.947 |          0.001 |
             memcpy (LI-PaRAD) |           4 |          1.848 |          1.848 |          1.850 |          1.848 |          0.029 |          2.015 |          0.001 |      +3.53%
         memcpy (Arm OR 23.01) |           5 |          1.912 |          1.913 |          1.915 |          1.913 |          0.030 |          2.434 |          0.001 |
             memcpy (LI-PaRAD) |           5 |          1.848 |          1.849 |          1.850 |          1.849 |          0.026 |          2.519 |          0.001 |      +3.50%
         memcpy (Arm OR 23.01) |           6 |          1.912 |          1.913 |          1.923 |          1.913 |          0.057 |          2.921 |          0.002 |
             memcpy (LI-PaRAD) |           6 |          1.848 |          1.849 |          1.850 |          1.849 |          0.027 |          3.023 |          0.001 |      +3.50%
         memcpy (Arm OR 23.01) |           7 |          1.913 |          1.914 |          1.918 |          1.914 |          0.034 |          3.407 |          0.001 |
             memcpy (LI-PaRAD) |           7 |          1.848 |          1.849 |          1.853 |          1.849 |          0.036 |          3.526 |          0.001 |      +3.51%
         memcpy (Arm OR 23.01) |           8 |          1.913 |          1.914 |          1.915 |          1.914 |          0.028 |          3.893 |          0.001 |
             memcpy (LI-PaRAD) |           8 |          1.848 |          1.849 |          1.851 |          1.849 |          0.027 |          4.030 |          0.001 |      +3.51%
         memcpy (Arm OR 23.01) |           9 |          1.912 |          1.913 |          1.915 |          1.913 |          0.027 |          4.381 |          0.001 |
             memcpy (LI-PaRAD) |           9 |          1.848 |          1.849 |          1.851 |          1.849 |          0.028 |          4.533 |          0.001 |      +3.49%
         memcpy (Arm OR 23.01) |          10 |          1.913 |          1.913 |          1.921 |          1.913 |          0.047 |          4.867 |          0.002 |
             memcpy (LI-PaRAD) |          10 |          1.848 |          1.848 |          1.851 |          1.849 |          0.027 |          5.038 |          0.001 |      +3.51%
         memcpy (Arm OR 23.01) |          11 |          1.913 |          1.913 |          1.915 |          1.913 |          0.026 |          5.354 |          0.001 |
             memcpy (LI-PaRAD) |          11 |          1.848 |          1.848 |          1.854 |          1.848 |          0.039 |          5.543 |          0.002 |      +3.52%
         memcpy (Arm OR 23.01) |          12 |          1.912 |          1.913 |          1.915 |          1.913 |          0.027 |          5.841 |          0.002 |
             memcpy (LI-PaRAD) |          12 |          1.848 |          1.848 |          1.853 |          1.848 |          0.036 |          6.046 |          0.002 |      +3.52%
         memcpy (Arm OR 23.01) |          13 |          1.912 |          1.913 |          1.915 |          1.913 |          0.024 |          6.328 |          0.002 |
             memcpy (LI-PaRAD) |          13 |          1.847 |          1.848 |          1.850 |          1.849 |          0.027 |          6.550 |          0.002 |      +3.50%
         memcpy (Arm OR 23.01) |          14 |          1.912 |          1.913 |          1.917 |          1.913 |          0.043 |          6.815 |          0.003 |
             memcpy (LI-PaRAD) |          14 |          1.848 |          1.848 |          1.850 |          1.848 |          0.025 |          7.054 |          0.002 |      +3.51%
         memcpy (Arm OR 23.01) |          15 |          1.913 |          1.913 |          1.915 |          1.913 |          0.029 |          7.301 |          0.002 |
             memcpy (LI-PaRAD) |          15 |          1.847 |          1.848 |          1.850 |          1.848 |          0.025 |          7.558 |          0.002 |      +3.52%
         memcpy (Arm OR 23.01) |          16 |          1.912 |          1.913 |          1.920 |          1.913 |          0.042 |          7.788 |          0.003 |
             memcpy (LI-PaRAD) |          16 |          1.848 |          1.848 |          1.853 |          1.849 |          0.039 |          8.061 |          0.003 |      +3.50%
         memcpy (Arm OR 23.01) |          17 |          1.911 |          1.912 |          1.914 |          1.912 |          0.027 |          8.281 |          0.002 |
             memcpy (LI-PaRAD) |          17 |          1.910 |          1.911 |          1.915 |          1.911 |          0.035 |          8.286 |          0.003 |      +0.06%
         memcpy (Arm OR 23.01) |          18 |          1.911 |          1.912 |          1.918 |          1.912 |          0.039 |          8.768 |          0.003 |
             memcpy (LI-PaRAD) |          18 |          1.910 |          1.911 |          1.913 |          1.911 |          0.033 |          8.773 |          0.003 |      +0.06%
         memcpy (Arm OR 23.01) |          19 |          1.911 |          1.912 |          1.913 |          1.912 |          0.026 |          9.256 |          0.002 |
             memcpy (LI-PaRAD) |          19 |          1.909 |          1.909 |          1.918 |          1.910 |          0.055 |          9.267 |          0.005 |      +0.11%
         memcpy (Arm OR 23.01) |          20 |          1.911 |          1.912 |          1.913 |          1.912 |          0.025 |          9.742 |          0.002 |
             memcpy (LI-PaRAD) |          20 |          1.909 |          1.910 |          1.911 |          1.910 |          0.030 |          9.754 |          0.003 |      +0.12%
         memcpy (Arm OR 23.01) |          21 |          1.911 |          1.912 |          1.914 |          1.912 |          0.027 |         10.229 |          0.003 |
             memcpy (LI-PaRAD) |          21 |          1.910 |          1.911 |          1.919 |          1.911 |          0.049 |         10.233 |          0.005 |      +0.04%
         memcpy (Arm OR 23.01) |          22 |          1.911 |          1.912 |          1.918 |          1.912 |          0.045 |         10.714 |          0.005 |
             memcpy (LI-PaRAD) |          22 |          1.910 |          1.911 |          1.913 |          1.911 |          0.029 |         10.720 |          0.003 |      +0.06%
         memcpy (Arm OR 23.01) |          23 |          1.911 |          1.912 |          1.914 |          1.912 |          0.027 |         11.201 |          0.003 |
             memcpy (LI-PaRAD) |          23 |          1.909 |          1.910 |          1.911 |          1.910 |          0.027 |         11.215 |          0.003 |      +0.13%
         memcpy (Arm OR 23.01) |          24 |          1.911 |          1.912 |          1.917 |          1.912 |          0.035 |         11.690 |          0.004 |
             memcpy (LI-PaRAD) |          24 |          1.909 |          1.910 |          1.912 |          1.910 |          0.029 |         11.703 |          0.003 |      +0.11%
         memcpy (Arm OR 23.01) |          25 |          1.911 |          1.912 |          1.913 |          1.912 |          0.027 |         12.179 |          0.003 |
             memcpy (LI-PaRAD) |          25 |          1.910 |          1.911 |          1.913 |          1.911 |          0.027 |         12.182 |          0.003 |      +0.03%
         memcpy (Arm OR 23.01) |          26 |          1.911 |          1.912 |          1.913 |          1.912 |          0.024 |         12.665 |          0.003 |
             memcpy (LI-PaRAD) |          26 |          1.909 |          1.909 |          1.911 |          1.910 |          0.027 |         12.680 |          0.003 |      +0.13%
         memcpy (Arm OR 23.01) |          27 |          1.911 |          1.912 |          1.913 |          1.912 |          0.026 |         13.153 |          0.003 |
             memcpy (LI-PaRAD) |          27 |          1.910 |          1.911 |          1.913 |          1.911 |          0.031 |         13.160 |          0.004 |      +0.05%
         memcpy (Arm OR 23.01) |          28 |          1.911 |          1.912 |          1.919 |          1.912 |          0.044 |         13.639 |          0.006 |
