        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        memcpy (GNU libc 2.34) |           1 |          2.105 |          2.106 |          2.148 |          2.107 |          0.206 |          0.442 |          0.001 |
             memcpy (LI-PaRAD) |           1 |          1.846 |          1.847 |          1.852 |          1.847 |          0.048 |          0.504 |          0.000 |     +14.07%
        memcpy (GNU libc 2.34) |           2 |          2.105 |          2.106 |          2.121 |          2.107 |          0.084 |          0.884 |          0.001 |
             memcpy (LI-PaRAD) |           2 |          1.846 |          1.847 |          1.852 |          1.847 |          0.045 |          1.008 |          0.000 |     +14.06%
        memcpy (GNU libc 2.34) |           3 |          2.106 |          2.106 |          2.112 |          2.107 |          0.050 |          1.326 |          0.001 |
             memcpy (LI-PaRAD) |           3 |          1.846 |          1.847 |          1.852 |          1.847 |          0.048 |          1.513 |          0.001 |     +14.06%
        memcpy (GNU libc 2.34) |           4 |          1.805 |          1.806 |          2.111 |          1.859 |          6.148 |          2.011 |          0.112 |
             memcpy (LI-PaRAD) |           4 |          1.846 |          1.847 |          1.852 |          1.847 |          0.045 |          2.017 |          0.001 |      +0.63%
        memcpy (GNU libc 2.34) |           5 |          1.805 |          1.806 |          2.149 |          1.872 |          7.108 |          2.499 |          0.160 |
             memcpy (LI-PaRAD) |           5 |          1.846 |          1.847 |          1.857 |          1.847 |          0.074 |          2.521 |          0.002 |      +1.32%
        memcpy (GNU libc 2.34) |           6 |          1.805 |          1.807 |          2.215 |          1.960 |          8.792 |          2.873 |          0.247 |
             memcpy (LI-PaRAD) |           6 |          1.846 |          1.847 |          1.854 |          1.847 |          0.062 |          3.025 |          0.002 |      +6.07%
        memcpy (GNU libc 2.34) |           7 |          2.106 |          2.106 |          2.196 |          2.111 |          0.849 |          3.089 |          0.025 |
             memcpy (LI-PaRAD) |           7 |          1.846 |          1.847 |          1.856 |          1.848 |          0.079 |          3.529 |          0.003 |     +14.25%
        memcpy (GNU libc 2.34) |           8 |          1.762 |          1.805 |          1.811 |          1.805 |          0.251 |          4.127 |          0.011 |
             memcpy (LI-PaRAD) |           8 |          1.846 |          1.847 |          1.852 |          1.848 |          0.064 |          4.033 |          0.003 |      -2.28%
        memcpy (GNU libc 2.34) |           9 |          1.805 |          1.806 |          1.811 |          1.806 |          0.050 |          4.642 |          0.002 |
             memcpy (LI-PaRAD) |           9 |          1.847 |          1.847 |          1.852 |          1.848 |          0.054 |          4.537 |          0.002 |      -2.26%
        memcpy (GNU libc 2.34) |          10 |          1.805 |          1.805 |          1.810 |          1.805 |          0.041 |          5.158 |          0.002 |
             memcpy (LI-PaRAD) |          10 |          1.846 |          1.847 |          1.852 |          1.847 |          0.058 |          5.041 |          0.003 |      -2.27%
        memcpy (GNU libc 2.34) |          11 |          1.804 |          1.805 |          1.810 |          1.805 |          0.063 |          5.675 |          0.004 |
             memcpy (LI-PaRAD) |          11 |          1.846 |          1.847 |          1.855 |          1.847 |          0.074 |          5.546 |          0.004 |      -2.27%
        memcpy (GNU libc 2.34) |          12 |          1.722 |          1.805 |          1.810 |          1.804 |          0.619 |          6.196 |          0.040 |
             memcpy (LI-PaRAD) |          12 |          1.846 |          1.847 |          1.856 |          1.847 |          0.085 |          6.050 |          0.005 |      -2.36%
        memcpy (GNU libc 2.34) |          13 |          1.805 |          1.805 |          1.811 |          1.806 |          0.060 |          6.705 |          0.004 |
             memcpy (LI-PaRAD) |          13 |          1.847 |          1.847 |          1.851 |          1.847 |          0.040 |          6.554 |          0.003 |      -2.27%
        memcpy (GNU libc 2.34) |          14 |          1.804 |          1.805 |          1.811 |          1.805 |          0.054 |          7.222 |          0.004 |
             memcpy (LI-PaRAD) |          14 |          1.846 |          1.847 |          1.853 |          1.847 |          0.055 |          7.059 |          0.004 |      -2.26%
        memcpy (GNU libc 2.34) |          15 |          1.743 |          1.805 |          1.810 |          1.805 |          0.347 |          7.741 |          0.028 |
             memcpy (LI-PaRAD) |          15 |          1.846 |          1.847 |          1.852 |          1.847 |          0.043 |          7.563 |          0.003 |      -2.30%
        memcpy (GNU libc 2.34) |          16 |          1.805 |          1.805 |          1.810 |          1.805 |          0.046 |          8.254 |          0.004 |
             memcpy (LI-PaRAD) |          16 |          1.846 |          1.847 |          1.852 |          1.847 |          0.056 |          8.067 |          0.005 |      -2.27%
        memcpy (GNU libc 2.34) |          17 |          1.804 |          1.805 |          1.810 |          1.805 |          0.044 |          8.770 |          0.004 |
             memcpy (LI-PaRAD) |          17 |          1.907 |          1.908 |          1.915 |          1.908 |          0.054 |          8.296 |          0.004 |      -5.39%
        memcpy (GNU libc 2.34) |          18 |          1.804 |          1.805 |          1.810 |          1.805 |          0.056 |          9.286 |          0.005 |
             memcpy (LI-PaRAD) |          18 |          1.907 |          1.908 |          1.914 |          1.909 |          0.058 |          8.783 |          0.005 |      -5.41%
        memcpy (GNU libc 2.34) |          19 |          1.804 |          1.805 |          1.807 |          1.805 |          0.032 |          9.802 |          0.003 |
             memcpy (LI-PaRAD) |          19 |          1.898 |          1.908 |          1.914 |          1.908 |          0.084 |          9.275 |          0.008 |      -5.38%
        memcpy (GNU libc 2.34) |          20 |          1.805 |          1.805 |          1.816 |          1.806 |          0.086 |         10.315 |          0.009 |
             memcpy (LI-PaRAD) |          20 |          1.907 |          1.908 |          1.913 |          1.908 |          0.068 |          9.761 |          0.007 |      -5.37%
        memcpy (GNU libc 2.34) |          21 |          1.805 |          1.805 |          1.811 |          1.806 |          0.070 |         10.832 |          0.008 |
             memcpy (LI-PaRAD) |          21 |          1.907 |          1.909 |          1.914 |          1.909 |          0.065 |         10.245 |          0.007 |      -5.41%
        memcpy (GNU libc 2.34) |          22 |          1.805 |          1.806 |          1.817 |          1.806 |          0.081 |         11.345 |          0.009 |
             memcpy (LI-PaRAD) |          22 |          1.907 |          1.908 |          1.914 |          1.909 |          0.074 |         10.734 |          0.008 |      -5.38%
        memcpy (GNU libc 2.34) |          23 |          1.805 |          1.806 |          1.813 |          1.806 |          0.076 |         11.861 |          0.009 |
             memcpy (LI-PaRAD) |          23 |          1.899 |          1.908 |          1.913 |          1.908 |          0.078 |         11.225 |          0.009 |      -5.36%
        memcpy (GNU libc 2.34) |          24 |          1.805 |          1.805 |          1.813 |          1.806 |          0.076 |         12.379 |          0.009 |
             memcpy (LI-PaRAD) |          24 |          1.907 |          1.908 |          1.913 |          1.908 |          0.067 |         11.713 |          0.008 |      -5.38%
        memcpy (GNU libc 2.34) |          25 |          1.805 |          1.805 |          1.811 |          1.806 |          0.069 |         12.895 |          0.009 |
             memcpy (LI-PaRAD) |          25 |          1.907 |          1.908 |          1.912 |          1.908 |          0.051 |         12.202 |          0.006 |      -5.38%
        memcpy (GNU libc 2.34) |          26 |          1.805 |          1.805 |          1.811 |          1.805 |          0.045 |         13.413 |          0.006 |
             memcpy (LI-PaRAD) |          26 |          1.906 |          1.907 |          1.913 |          1.908 |          0.052 |         12.692 |          0.007 |      -5.37%
        memcpy (GNU libc 2.34) |          27 |          1.804 |          1.805 |          1.807 |          1.805 |          0.034 |         13.929 |          0.005 |
             memcpy (LI-PaRAD) |          27 |          1.907 |          1.908 |          1.910 |          1.908 |          0.037 |         13.178 |          0.005 |      -5.39%
        memcpy (GNU libc 2.34) |          28 |          1.804 |          1.805 |          1.813 |          1.805 |          0.066 |         14.444 |          0.009 |
             memcpy (LI-PaRAD) |          28 |          1.907 |          1.908 |          1.912 |          1.908 |          0.037 |         13.667 |          0.005 |      -5.38%
        memcpy (GNU libc 2.34) |          29 |          1.804 |          1.805 |          1.810 |          1.805 |          0.046 |         14.961 |          0.007 |
             memcpy (LI-PaRAD) |          29 |          1.796 |          1.908 |          1.913 |          1.907 |          0.585 |         14.162 |          0.088 |      -5.34%
        memcpy (GNU libc 2.34) |          30 |          1.805 |          1.805 |          1.813 |          1.805 |          0.051 |         15.475 |          0.008 |
             memcpy (LI-PaRAD) |          30 |          1.907 |          1.908 |          1.912 |          1.908 |          0.045 |         14.645 |          0.007 |      -5.36%
        memcpy (GNU libc 2.34) |          31 |          1.804 |          1.805 |          1.807 |          1.805 |          0.033 |         15.993 |          0.005 |
             memcpy (LI-PaRAD) |          31 |          1.907 |          1.908 |          1.910 |          1.908 |          0.035 |         15.129 |          0.005 |      -5.40%
        memcpy (GNU libc 2.34) |          32 |          1.804 |          1.805 |          1.810 |          1.805 |          0.049 |         16.507 |          0.008 |
             memcpy (LI-PaRAD) |          32 |          1.907 |          1.908 |          1.910 |          1.908 |          0.038 |         15.619 |          0.006 |      -5.38%
