ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strchr (LI-PaRAD)|1|1.811|1.811|1.816|1.811|0.042|0.514|0.0
strchr (GNU libc 2.34)|1|1.817|1.818|1.855|1.819|0.238|0.512|0.001
strchr (Arm OR 23.01)|1|4.777|4.779|4.813|4.779|0.082|0.195|0.0
strchr (LI-PaRAD)|2|1.811|1.811|1.816|1.812|0.039|1.028|0.0
strchr (GNU libc 2.34)|2|1.817|1.818|1.823|1.818|0.039|1.024|0.0
strchr (Arm OR 23.01)|2|4.777|4.779|4.781|4.779|0.022|0.39|0.0
strchr (LI-PaRAD)|3|1.811|1.811|1.816|1.812|0.039|1.542|0.001
strchr (GNU libc 2.34)|3|1.818|1.819|1.828|1.819|0.066|1.536|0.001
strchr (Arm OR 23.01)|3|4.776|4.778|4.785|4.778|0.029|0.585|0.0
strchr (LI-PaRAD)|4|1.811|1.811|1.813|1.811|0.029|2.057|0.001
strchr (GNU libc 2.34)|4|1.818|1.818|1.823|1.819|0.045|2.048|0.001
strchr (Arm OR 23.01)|4|4.776|4.779|4.788|4.779|0.028|0.78|0.0
strchr (LI-PaRAD)|5|1.811|1.811|1.816|1.812|0.045|2.57|0.001
strchr (GNU libc 2.34)|5|1.817|1.818|1.82|1.818|0.031|2.561|0.001
strchr (Arm OR 23.01)|5|4.777|4.778|4.785|4.779|0.025|0.974|0.0
strchr (LI-PaRAD)|6|1.811|1.811|1.819|1.812|0.053|3.084|0.002
strchr (GNU libc 2.34)|6|1.818|1.819|1.824|1.819|0.05|3.072|0.002
strchr (Arm OR 23.01)|6|4.776|4.778|4.78|4.778|0.017|1.17|0.0
strchr (LI-PaRAD)|7|1.811|1.811|1.816|1.811|0.046|3.599|0.002
strchr (GNU libc 2.34)|7|1.818|1.818|1.827|1.818|0.063|3.586|0.002
strchr (Arm OR 23.01)|7|4.776|4.778|4.785|4.778|0.023|1.364|0.0
strchr (LI-PaRAD)|8|1.811|1.811|1.816|1.812|0.052|4.113|0.002
strchr (GNU libc 2.34)|8|1.817|1.818|1.822|1.818|0.048|4.098|0.002
strchr (Arm OR 23.01)|8|4.776|4.778|4.786|4.779|0.039|1.559|0.001
strchr (LI-PaRAD)|9|1.811|1.811|1.817|1.812|0.066|4.627|0.003
strchr (GNU libc 2.34)|9|1.818|1.818|1.823|1.819|0.06|4.608|0.003
strchr (Arm OR 23.01)|9|4.777|4.779|4.784|4.779|0.024|1.754|0.0
strchr (LI-PaRAD)|10|1.811|1.811|1.813|1.811|0.026|5.142|0.001
strchr (GNU libc 2.34)|10|1.817|1.818|1.822|1.818|0.034|5.123|0.002
