        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         strcmp (Arm OR 23.01) |           1 |          4.881 |          4.922 |          4.958 |          4.919 |          0.591 |          0.189 |          0.001 |
             strcmp (LI-PaRAD) |           1 |          1.802 |          1.802 |          1.828 |          1.803 |          0.146 |          0.517 |          0.001 |    +172.87%
         strcmp (Arm OR 23.01) |           2 |          4.835 |          4.862 |          4.898 |          4.861 |          0.325 |          0.383 |          0.001 |
             strcmp (LI-PaRAD) |           2 |          1.802 |          1.802 |          1.804 |          1.803 |          0.036 |          1.033 |          0.000 |    +169.70%
         strcmp (Arm OR 23.01) |           3 |          4.880 |          4.898 |          4.920 |          4.899 |          0.300 |          0.570 |          0.002 |
             strcmp (LI-PaRAD) |           3 |          1.802 |          1.802 |          1.809 |          1.803 |          0.053 |          1.550 |          0.001 |    +171.76%
         strcmp (Arm OR 23.01) |           4 |          4.835 |          4.861 |          4.883 |          4.859 |          0.324 |          0.767 |          0.002 |
             strcmp (LI-PaRAD) |           4 |          1.802 |          1.802 |          1.809 |          1.803 |          0.050 |          2.067 |          0.001 |    +169.55%
         strcmp (Arm OR 23.01) |           5 |          4.880 |          4.899 |          4.920 |          4.901 |          0.271 |          0.950 |          0.003 |
             strcmp (LI-PaRAD) |           5 |          1.802 |          1.802 |          1.804 |          1.803 |          0.037 |          2.583 |          0.001 |    +171.91%
         strcmp (Arm OR 23.01) |           6 |          4.837 |          4.869 |          4.884 |          4.865 |          0.334 |          1.149 |          0.004 |
             strcmp (LI-PaRAD) |           6 |          1.802 |          1.802 |          1.812 |          1.803 |          0.063 |          3.100 |          0.002 |    +169.85%
         strcmp (Arm OR 23.01) |           7 |          4.880 |          4.898 |          4.921 |          4.899 |          0.303 |          1.331 |          0.004 |
             strcmp (LI-PaRAD) |           7 |          1.802 |          1.802 |          1.805 |          1.803 |          0.041 |          3.617 |          0.001 |    +171.80%
         strcmp (Arm OR 23.01) |           8 |          4.837 |          4.865 |          4.884 |          4.864 |          0.243 |          1.532 |          0.004 |
             strcmp (LI-PaRAD) |           8 |          1.803 |          1.803 |          1.805 |          1.803 |          0.034 |          4.132 |          0.001 |    +169.72%
         strcmp (Arm OR 23.01) |           9 |          4.882 |          4.900 |          4.919 |          4.900 |          0.139 |          1.711 |          0.002 |
             strcmp (LI-PaRAD) |           9 |          1.802 |          1.803 |          1.806 |          1.803 |          0.038 |          4.649 |          0.002 |    +171.75%
         strcmp (Arm OR 23.01) |          10 |          4.847 |          4.865 |          4.882 |          4.864 |          0.129 |          1.915 |          0.002 |
             strcmp (LI-PaRAD) |          10 |          1.802 |          1.803 |          1.805 |          1.803 |          0.044 |          5.165 |          0.002 |    +169.77%
         strcmp (Arm OR 23.01) |          11 |          4.880 |          4.899 |          4.922 |          4.899 |          0.191 |          2.091 |          0.004 |
             strcmp (LI-PaRAD) |          11 |          1.802 |          1.803 |          1.805 |          1.803 |          0.045 |          5.682 |          0.003 |    +171.76%
         strcmp (Arm OR 23.01) |          12 |          4.839 |          4.864 |          4.885 |          4.863 |          0.258 |          2.298 |          0.006 |
             strcmp (LI-PaRAD) |          12 |          1.802 |          1.802 |          1.808 |          1.803 |          0.049 |          6.200 |          0.003 |    +169.79%
         strcmp (Arm OR 23.01) |          13 |          4.880 |          4.898 |          4.921 |          4.899 |          0.251 |          2.471 |          0.006 |
