        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strcmp (GNU libc 2.34) |           1 |          1.808 |          1.809 |          1.853 |          1.810 |          0.261 |          0.515 |          0.001 |
             strcmp (LI-PaRAD) |           1 |          1.807 |          1.808 |          1.810 |          1.808 |          0.036 |          0.515 |          0.000 |      +0.09%
        strcmp (GNU libc 2.34) |           2 |          1.808 |          1.809 |          1.810 |          1.809 |          0.031 |          1.030 |          0.000 |
             strcmp (LI-PaRAD) |           2 |          1.807 |          1.808 |          1.812 |          1.808 |          0.040 |          1.030 |          0.000 |      +0.05%
        strcmp (GNU libc 2.34) |           3 |          1.808 |          1.808 |          1.810 |          1.808 |          0.033 |          1.545 |          0.001 |
             strcmp (LI-PaRAD) |           3 |          1.807 |          1.807 |          1.809 |          1.808 |          0.033 |          1.546 |          0.001 |      +0.04%
        strcmp (GNU libc 2.34) |           4 |          1.808 |          1.808 |          1.817 |          1.809 |          0.055 |          2.060 |          0.001 |
             strcmp (LI-PaRAD) |           4 |          1.807 |          1.808 |          1.810 |          1.808 |          0.035 |          2.061 |          0.001 |      +0.04%
        strcmp (GNU libc 2.34) |           5 |          1.807 |          1.808 |          1.811 |          1.808 |          0.038 |          2.575 |          0.001 |
             strcmp (LI-PaRAD) |           5 |          1.807 |          1.808 |          1.809 |          1.808 |          0.032 |          2.576 |          0.001 |      +0.03%
        strcmp (GNU libc 2.34) |           6 |          1.808 |          1.809 |          1.815 |          1.809 |          0.048 |          3.089 |          0.001 |
             strcmp (LI-PaRAD) |           6 |          1.807 |          1.808 |          1.813 |          1.808 |          0.043 |          3.091 |          0.001 |      +0.05%
        strcmp (GNU libc 2.34) |           7 |          1.808 |          1.808 |          1.814 |          1.809 |          0.059 |          3.605 |          0.002 |
             strcmp (LI-PaRAD) |           7 |          1.807 |          1.808 |          1.811 |          1.808 |          0.039 |          3.606 |          0.001 |      +0.04%
        strcmp (GNU libc 2.34) |           8 |          2.041 |          2.043 |          2.052 |          2.044 |          0.114 |          3.645 |          0.004 |
             strcmp (LI-PaRAD) |           8 |          1.807 |          1.808 |          1.809 |          1.808 |          0.034 |          4.121 |          0.001 |     +13.07%
        strcmp (GNU libc 2.34) |           9 |          2.109 |          2.109 |          2.117 |          2.110 |          0.048 |          3.973 |          0.002 |
             strcmp (LI-PaRAD) |           9 |          1.807 |          1.808 |          1.813 |          1.808 |          0.048 |          4.636 |          0.002 |     +16.67%
        strcmp (GNU libc 2.34) |          10 |          2.109 |          2.109 |          2.112 |          2.110 |          0.034 |          4.415 |          0.001 |
             strcmp (LI-PaRAD) |          10 |          1.808 |          1.808 |          1.810 |          1.808 |          0.033 |          5.151 |          0.002 |     +16.67%
        strcmp (GNU libc 2.34) |          11 |          1.997 |          1.999 |          2.109 |          2.000 |          0.553 |          5.121 |          0.027 |
             strcmp (LI-PaRAD) |          11 |          1.807 |          1.808 |          1.811 |          1.808 |          0.037 |          5.665 |          0.002 |     +10.63%
        strcmp (GNU libc 2.34) |          12 |          2.108 |          2.109 |          2.116 |          2.109 |          0.045 |          5.298 |          0.002 |
             strcmp (LI-PaRAD) |          12 |          1.807 |          1.808 |          1.821 |          1.808 |          0.078 |          6.181 |          0.005 |     +16.66%
        strcmp (GNU libc 2.34) |          13 |          2.108 |          2.109 |          2.112 |          2.109 |          0.036 |          5.740 |          0.002 |
             strcmp (LI-PaRAD) |          13 |          1.808 |          1.809 |          1.821 |          1.809 |          0.074 |          6.693 |          0.005 |     +16.60%
        strcmp (GNU libc 2.34) |          14 |          2.109 |          2.110 |          2.121 |          2.111 |          0.063 |          6.178 |          0.004 |
             strcmp (LI-PaRAD) |          14 |          1.808 |          1.809 |          1.815 |          1.809 |          0.047 |          7.207 |          0.003 |     +16.66%
        strcmp (GNU libc 2.34) |          15 |          2.109 |          2.110 |          2.153 |          2.111 |          0.212 |          6.617 |          0.014 |
             strcmp (LI-PaRAD) |          15 |          1.808 |          1.809 |          1.814 |          1.809 |          0.060 |          7.722 |          0.005 |     +16.70%
        strcmp (GNU libc 2.34) |          16 |          2.473 |          2.477 |          2.484 |          2.477 |          0.067 |          6.015 |          0.004 |
             strcmp (LI-PaRAD) |          16 |          2.707 |          2.729 |          2.744 |          2.729 |          0.166 |          5.460 |          0.009 |      -9.24%
        strcmp (GNU libc 2.34) |          17 |          2.373 |          2.376 |          2.385 |          2.376 |          0.086 |          6.663 |          0.006 |
             strcmp (LI-PaRAD) |          17 |          2.614 |          2.631 |          2.648 |          2.630 |          0.225 |          6.019 |          0.014 |      -9.66%
        strcmp (GNU libc 2.34) |          18 |          2.474 |          2.476 |          2.488 |          2.476 |          0.075 |          6.770 |          0.005 |
             strcmp (LI-PaRAD) |          18 |          2.703 |          2.728 |          2.749 |          2.728 |          0.247 |          6.144 |          0.015 |      -9.24%
        strcmp (GNU libc 2.34) |          19 |          2.372 |          2.374 |          2.386 |          2.375 |          0.096 |          7.451 |          0.007 |
             strcmp (LI-PaRAD) |          19 |          2.607 |          2.631 |          2.647 |          2.631 |          0.234 |          6.726 |          0.016 |      -9.73%
        strcmp (GNU libc 2.34) |          20 |          2.473 |          2.475 |          2.482 |          2.476 |          0.077 |          7.524 |          0.006 |
             strcmp (LI-PaRAD) |          20 |          2.723 |          2.730 |          2.740 |          2.730 |          0.130 |          6.824 |          0.009 |      -9.31%
        strcmp (GNU libc 2.34) |          21 |          2.372 |          2.374 |          2.383 |          2.375 |          0.085 |          8.235 |          0.007 |
             strcmp (LI-PaRAD) |          21 |          2.613 |          2.628 |          2.652 |          2.629 |          0.297 |          7.438 |          0.022 |      -9.68%
        strcmp (GNU libc 2.34) |          22 |          2.472 |          2.474 |          2.484 |          2.475 |          0.077 |          8.280 |          0.006 |
             strcmp (LI-PaRAD) |          22 |          2.723 |          2.731 |          2.776 |          2.732 |          0.321 |          7.499 |          0.024 |      -9.43%
        strcmp (GNU libc 2.34) |          23 |          2.371 |          2.374 |          2.380 |          2.374 |          0.069 |          9.022 |          0.006 |
             strcmp (LI-PaRAD) |          23 |          2.607 |          2.632 |          2.647 |          2.632 |          0.229 |          8.138 |          0.019 |      -9.80%
        strcmp (GNU libc 2.34) |          24 |          2.811 |          2.812 |          2.821 |          2.813 |          0.071 |          7.946 |          0.006 |
             strcmp (LI-PaRAD) |          24 |          2.607 |          2.631 |          2.648 |          2.631 |          0.256 |          8.496 |          0.022 |      +6.93%
        strcmp (GNU libc 2.34) |          25 |          2.807 |          2.810 |          2.822 |          2.810 |          0.089 |          8.285 |          0.007 |
             strcmp (LI-PaRAD) |          25 |          2.614 |          2.630 |          2.645 |          2.630 |          0.213 |          8.852 |          0.019 |      +6.83%
        strcmp (GNU libc 2.34) |          26 |          2.811 |          2.812 |          2.823 |          2.813 |          0.093 |          8.607 |          0.008 |
