ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strcmp (LI-PaRAD)|1|1.807|1.808|1.81|1.808|0.036|0.515|0.0
strcmp (GNU libc 2.34)|1|1.808|1.809|1.853|1.81|0.261|0.515|0.001
strcmp (Arm OR 23.01)|1|4.881|4.922|4.958|4.919|0.591|0.189|0.001
strcmp (LI-PaRAD)|2|1.807|1.808|1.812|1.808|0.04|1.03|0.0
strcmp (GNU libc 2.34)|2|1.808|1.809|1.81|1.809|0.031|1.03|0.0
strcmp (Arm OR 23.01)|2|4.835|4.862|4.898|4.861|0.325|0.383|0.001
strcmp (LI-PaRAD)|3|1.807|1.807|1.809|1.808|0.033|1.546|0.001
strcmp (GNU libc 2.34)|3|1.808|1.808|1.81|1.808|0.033|1.545|0.001
strcmp (Arm OR 23.01)|3|4.88|4.898|4.92|4.899|0.3|0.57|0.002
strcmp (LI-PaRAD)|4|1.807|1.808|1.81|1.808|0.035|2.061|0.001
strcmp (GNU libc 2.34)|4|1.808|1.808|1.817|1.809|0.055|2.06|0.001
strcmp (Arm OR 23.01)|4|4.835|4.861|4.883|4.859|0.324|0.767|0.002
strcmp (LI-PaRAD)|5|1.807|1.808|1.809|1.808|0.032|2.576|0.001
strcmp (GNU libc 2.34)|5|1.807|1.808|1.811|1.808|0.038|2.575|0.001
strcmp (Arm OR 23.01)|5|4.88|4.899|4.92|4.901|0.271|0.95|0.003
strcmp (LI-PaRAD)|6|1.807|1.808|1.813|1.808|0.043|3.091|0.001
strcmp (GNU libc 2.34)|6|1.808|1.809|1.815|1.809|0.048|3.089|0.001
strcmp (Arm OR 23.01)|6|4.837|4.869|4.884|4.865|0.334|1.149|0.004
strcmp (LI-PaRAD)|7|1.807|1.808|1.811|1.808|0.039|3.606|0.001
strcmp (GNU libc 2.34)|7|1.808|1.808|1.814|1.809|0.059|3.605|0.002
strcmp (Arm OR 23.01)|7|4.88|4.898|4.921|4.899|0.303|1.331|0.004
strcmp (LI-PaRAD)|8|1.807|1.808|1.809|1.808|0.034|4.121|0.001
strcmp (GNU libc 2.34)|8|2.041|2.043|2.052|2.044|0.114|3.645|0.004
strcmp (Arm OR 23.01)|8|4.837|4.865|4.884|4.864|0.243|1.532|0.004
strcmp (LI-PaRAD)|9|1.807|1.808|1.813|1.808|0.048|4.636|0.002
strcmp (GNU libc 2.34)|9|2.109|2.109|2.117|2.11|0.048|3.973|0.002
strcmp (Arm OR 23.01)|9|4.882|4.9|4.919|4.9|0.139|1.711|0.002
strcmp (LI-PaRAD)|10|1.808|1.808|1.81|1.808|0.033|5.151|0.002
strcmp (GNU libc 2.34)|10|2.109|2.109|2.112|2.11|0.034|4.415|0.001
strcmp (Arm OR 23.01)|10|4.847|4.865|4.882|4.864|0.129|1.915|0.002
strcmp (LI-PaRAD)|11|1.807|1.808|1.811|1.808|0.037|5.665|0.002
strcmp (GNU libc 2.34)|11|1.997|1.999|2.109|2.0|0.553|5.121|0.027
strcmp (Arm OR 23.01)|11|4.88|4.899|4.922|4.899|0.191|2.091|0.004
strcmp (LI-PaRAD)|12|1.807|1.808|1.821|1.808|0.078|6.181|0.005
strcmp (GNU libc 2.34)|12|2.108|2.109|2.116|2.109|0.045|5.298|0.002
