        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         strcpy (Arm OR 23.01) |           1 |          4.461 |          4.490 |          4.564 |          4.496 |          0.733 |          0.207 |          0.002 |
             strcpy (LI-PaRAD) |           1 |          1.826 |          1.872 |          1.929 |          1.873 |          1.585 |          0.497 |          0.008 |    +140.05%
         strcpy (Arm OR 23.01) |           2 |          4.462 |          4.508 |          4.541 |          4.504 |          0.696 |          0.414 |          0.003 |
             strcpy (LI-PaRAD) |           2 |          1.826 |          1.872 |          1.929 |          1.874 |          1.603 |          0.994 |          0.016 |    +140.27%
         strcpy (Arm OR 23.01) |           3 |          4.462 |          4.503 |          4.546 |          4.503 |          0.753 |          0.621 |          0.005 |
             strcpy (LI-PaRAD) |           3 |          1.826 |          1.871 |          1.928 |          1.875 |          1.584 |          1.491 |          0.024 |    +140.20%
         strcpy (Arm OR 23.01) |           4 |          4.463 |          4.497 |          4.541 |          4.500 |          0.676 |          0.828 |          0.006 |
             strcpy (LI-PaRAD) |           4 |          1.827 |          1.872 |          1.929 |          1.875 |          1.751 |          1.987 |          0.035 |    +139.92%
         strcpy (Arm OR 23.01) |           5 |          4.463 |          4.503 |          4.542 |          4.502 |          0.759 |          1.034 |          0.008 |
             strcpy (LI-PaRAD) |           5 |          1.827 |          1.872 |          1.929 |          1.873 |          1.337 |          2.486 |          0.033 |    +140.29%
         strcpy (Arm OR 23.01) |           6 |          4.463 |          4.507 |          4.541 |          4.503 |          0.698 |          1.241 |          0.009 |
             strcpy (LI-PaRAD) |           6 |          1.826 |          1.872 |          1.928 |          1.874 |          1.534 |          2.982 |          0.046 |    +140.26%
         strcpy (Arm OR 23.01) |           7 |          4.463 |          4.508 |          4.542 |          4.505 |          0.691 |          1.447 |          0.010 |
             strcpy (LI-PaRAD) |           7 |          1.827 |          1.872 |          1.929 |          1.875 |          1.744 |          3.477 |          0.060 |    +140.19%
         strcpy (Arm OR 23.01) |           8 |          4.463 |          4.505 |          4.541 |          4.501 |          0.678 |          1.655 |          0.011 |
             strcpy (LI-PaRAD) |           8 |          1.826 |          1.872 |          1.928 |          1.873 |          1.726 |          3.979 |          0.068 |    +140.33%
         strcpy (Arm OR 23.01) |           9 |          4.462 |          4.505 |          4.541 |          4.502 |          0.706 |          1.862 |          0.013 |
             strcpy (LI-PaRAD) |           9 |          1.827 |          1.873 |          1.930 |          1.878 |          2.020 |          4.464 |          0.090 |    +139.71%
         strcpy (Arm OR 23.01) |          10 |          4.463 |          4.501 |          4.542 |          4.502 |          0.738 |          2.069 |          0.015 |
             strcpy (LI-PaRAD) |          10 |          1.827 |          1.873 |          1.929 |          1.875 |          1.348 |          4.968 |          0.067 |    +140.12%
         strcpy (Arm OR 23.01) |          11 |          4.463 |          4.515 |          4.542 |          4.505 |          0.756 |          2.274 |          0.017 |
             strcpy (LI-PaRAD) |          11 |          1.827 |          1.872 |          1.928 |          1.875 |          1.602 |          5.465 |          0.087 |    +140.27%
         strcpy (Arm OR 23.01) |          12 |          4.464 |          4.521 |          4.545 |          4.508 |          0.726 |          2.479 |          0.018 |
             strcpy (LI-PaRAD) |          12 |          1.826 |          1.872 |          1.929 |          1.878 |          1.844 |          5.954 |          0.110 |    +140.06%
         strcpy (Arm OR 23.01) |          13 |          4.463 |          4.505 |          4.541 |          4.502 |          0.748 |          2.689 |          0.020 |
             strcpy (LI-PaRAD) |          13 |          1.826 |          1.872 |          1.930 |          1.875 |          1.866 |          6.460 |          0.120 |    +140.12%
         strcpy (Arm OR 23.01) |          14 |          4.462 |          4.502 |          4.544 |          4.499 |          0.750 |          2.899 |          0.022 |
             strcpy (LI-PaRAD) |          14 |          1.826 |          1.871 |          1.929 |          1.874 |          1.649 |          6.960 |          0.114 |    +140.08%
         strcpy (Arm OR 23.01) |          15 |          4.462 |          4.505 |          4.541 |          4.503 |          0.746 |          3.103 |          0.023 |
             strcpy (LI-PaRAD) |          15 |          1.826 |          1.872 |          1.929 |          1.876 |          1.837 |          7.451 |          0.136 |    +140.07%
         strcpy (Arm OR 23.01) |          16 |          4.839 |          4.842 |          5.144 |          4.882 |          1.838 |          3.053 |          0.054 |
             strcpy (LI-PaRAD) |          16 |          1.922 |          1.924 |          1.926 |          1.924 |          0.053 |          7.746 |          0.004 |    +153.79%
         strcpy (Arm OR 23.01) |          17 |          4.840 |          4.841 |          5.143 |          4.863 |          1.480 |          3.256 |          0.046 |
             strcpy (LI-PaRAD) |          17 |          1.919 |          1.922 |          1.925 |          1.922 |          0.080 |          8.239 |          0.007 |    +153.08%
         strcpy (Arm OR 23.01) |          18 |          4.839 |          4.842 |          5.143 |          4.869 |          1.612 |          3.444 |          0.053 |
             strcpy (LI-PaRAD) |          18 |          1.915 |          1.922 |          1.925 |          1.921 |          0.103 |          8.725 |          0.009 |    +153.42%
         strcpy (Arm OR 23.01) |          19 |          4.840 |          4.842 |          5.144 |          4.883 |          1.928 |          3.625 |          0.067 |
             strcpy (LI-PaRAD) |          19 |          1.921 |          1.924 |          1.926 |          1.924 |          0.056 |          9.197 |          0.005 |    +153.80%
         strcpy (Arm OR 23.01) |          20 |          4.839 |          4.842 |          5.144 |          4.884 |          1.954 |          3.815 |          0.072 |
             strcpy (LI-PaRAD) |          20 |          1.920 |          1.923 |          1.926 |          1.923 |          0.056 |          9.687 |          0.005 |    +154.00%
         strcpy (Arm OR 23.01) |          21 |          4.839 |          4.841 |          5.144 |          4.876 |          1.857 |          4.013 |          0.071 |
             strcpy (LI-PaRAD) |          21 |          1.918 |          1.923 |          1.926 |          1.922 |          0.080 |         10.173 |          0.008 |    +153.62%
         strcpy (Arm OR 23.01) |          22 |          4.839 |          4.841 |          5.144 |          4.883 |          1.922 |          4.197 |          0.078 |
             strcpy (LI-PaRAD) |          22 |          1.914 |          1.922 |          1.925 |          1.921 |          0.104 |         10.665 |          0.011 |    +154.18%
         strcpy (Arm OR 23.01) |          23 |          4.840 |          4.842 |          5.144 |          4.874 |          1.702 |          4.396 |          0.072 |
             strcpy (LI-PaRAD) |          23 |          1.922 |          1.924 |          1.927 |          1.924 |          0.054 |         11.135 |          0.006 |    +153.37%
         strcpy (Arm OR 23.01) |          24 |          4.840 |          4.842 |          5.145 |          4.877 |          1.842 |          4.584 |          0.081 |
             strcpy (LI-PaRAD) |          24 |          1.922 |          1.924 |          1.926 |          1.924 |          0.053 |         11.619 |          0.006 |    +153.53%
         strcpy (Arm OR 23.01) |          25 |          4.840 |          4.842 |          5.144 |          4.886 |          1.963 |          4.767 |          0.090 |
             strcpy (LI-PaRAD) |          25 |          1.918 |          1.922 |          1.925 |          1.922 |          0.082 |         12.116 |          0.010 |    +154.26%
         strcpy (Arm OR 23.01) |          26 |          4.839 |          4.841 |          5.145 |          4.874 |          1.785 |          4.969 |          0.085 |
             strcpy (LI-PaRAD) |          26 |          1.922 |          1.924 |          1.926 |          1.924 |          0.050 |         12.586 |          0.006 |    +153.35%
         strcpy (Arm OR 23.01) |          27 |          4.840 |          4.843 |          5.145 |          4.891 |          1.915 |          5.143 |          0.095 |
             strcpy (LI-PaRAD) |          27 |          1.922 |          1.923 |          1.926 |          1.923 |          0.049 |         13.074 |          0.006 |    +154.29%
         strcpy (Arm OR 23.01) |          28 |          4.840 |          4.862 |          5.145 |          4.876 |          1.153 |          5.349 |          0.059 |
             strcpy (LI-PaRAD) |          28 |          1.924 |          1.925 |          1.927 |          1.925 |          0.035 |         13.546 |          0.005 |    +153.28%
         strcpy (Arm OR 23.01) |          29 |          4.840 |          4.844 |          5.145 |          4.882 |          1.520 |          5.534 |          0.081 |
             strcpy (LI-PaRAD) |          29 |          1.922 |          1.924 |          1.931 |          1.924 |          0.068 |         14.041 |          0.010 |    +153.79%
         strcpy (Arm OR 23.01) |          30 |          4.839 |          4.842 |          5.145 |          4.871 |          1.289 |          5.737 |          0.071 |
             strcpy (LI-PaRAD) |          30 |          1.922 |          1.925 |          1.927 |          1.925 |          0.052 |         14.513 |          0.008 |    +153.02%
         strcpy (Arm OR 23.01) |          31 |          4.840 |          4.843 |          5.144 |          4.873 |          1.509 |          5.925 |          0.086 |
             strcpy (LI-PaRAD) |          31 |          1.921 |          1.924 |          1.929 |          1.924 |          0.069 |         15.005 |          0.010 |    +153.29%
         strcpy (Arm OR 23.01) |          32 |          5.747 |          5.749 |          5.757 |          5.749 |          0.023 |          5.184 |          0.001 |
             strcpy (LI-PaRAD) |          32 |          1.898 |          1.902 |          1.905 |          1.902 |          0.071 |         15.668 |          0.011 |    +202.25%
         strcpy (Arm OR 23.01) |          33 |          5.709 |          5.748 |          5.752 |          5.748 |          0.096 |          5.347 |          0.005 |
             strcpy (LI-PaRAD) |          33 |          1.899 |          1.901 |          1.909 |          1.901 |          0.070 |         16.167 |          0.011 |    +202.35%
         strcpy (Arm OR 23.01) |          34 |          5.711 |          5.750 |          5.759 |          5.749 |          0.074 |          5.508 |          0.004 |
             strcpy (LI-PaRAD) |          34 |          1.899 |          1.902 |          1.905 |          1.902 |          0.073 |         16.647 |          0.012 |    +202.25%
         strcpy (Arm OR 23.01) |          35 |          5.747 |          5.750 |          5.753 |          5.750 |          0.019 |          5.669 |          0.001 |
             strcpy (LI-PaRAD) |          35 |          1.895 |          1.897 |          1.912 |          1.897 |          0.100 |         17.179 |          0.017 |    +203.02%
         strcpy (Arm OR 23.01) |          36 |          5.710 |          5.749 |          5.751 |          5.748 |          0.089 |          5.833 |          0.005 |
             strcpy (LI-PaRAD) |          36 |          1.900 |          1.902 |          1.906 |          1.902 |          0.067 |         17.623 |          0.012 |    +202.14%
         strcpy (Arm OR 23.01) |          37 |          5.710 |          5.749 |          5.751 |          5.749 |          0.073 |          5.994 |          0.004 |
             strcpy (LI-PaRAD) |          37 |          1.899 |          1.901 |          1.906 |          1.901 |          0.061 |         18.126 |          0.011 |    +202.39%
         strcpy (Arm OR 23.01) |          38 |          5.716 |          5.750 |          5.752 |          5.749 |          0.074 |          6.155 |          0.005 |
             strcpy (LI-PaRAD) |          38 |          1.899 |          1.903 |          1.906 |          1.903 |          0.070 |         18.600 |          0.013 |    +202.17%
         strcpy (Arm OR 23.01) |          39 |          5.710 |          5.748 |          5.751 |          5.747 |          0.100 |          6.320 |          0.006 |
             strcpy (LI-PaRAD) |          39 |          1.913 |          1.916 |          1.920 |          1.916 |          0.055 |         18.958 |          0.010 |    +199.98%
         strcpy (Arm OR 23.01) |          40 |          5.710 |          5.749 |          5.756 |          5.749 |          0.071 |          6.480 |          0.005 |
             strcpy (LI-PaRAD) |          40 |          1.902 |          1.999 |          2.012 |          1.997 |          0.501 |         18.652 |          0.098 |    +187.82%
         strcpy (Arm OR 23.01) |          41 |          5.731 |          5.750 |          5.754 |          5.749 |          0.039 |          6.641 |          0.003 |
             strcpy (LI-PaRAD) |          41 |          1.918 |          1.950 |          2.000 |          1.954 |          1.434 |         19.543 |          0.279 |    +194.20%
         strcpy (Arm OR 23.01) |          42 |          5.741 |          5.756 |          5.759 |          5.756 |          0.032 |          6.796 |          0.002 |
             strcpy (LI-PaRAD) |          42 |          1.918 |          1.926 |          1.933 |          1.926 |          0.087 |         20.313 |          0.018 |    +198.91%
         strcpy (Arm OR 23.01) |          43 |          5.753 |          5.755 |          5.762 |          5.755 |          0.019 |          6.958 |          0.001 |
             strcpy (LI-PaRAD) |          43 |          1.904 |          1.923 |          1.926 |          1.922 |          0.165 |         20.835 |          0.035 |    +199.42%
         strcpy (Arm OR 23.01) |          44 |          5.734 |          5.755 |          5.757 |          5.755 |          0.041 |          7.121 |          0.003 |
             strcpy (LI-PaRAD) |          44 |          1.928 |          1.999 |          2.013 |          1.993 |          0.629 |         20.562 |          0.131 |    +188.75%
         strcpy (Arm OR 23.01) |          45 |          5.750 |          5.753 |          5.755 |          5.753 |          0.020 |          7.285 |          0.001 |
             strcpy (LI-PaRAD) |          45 |          1.901 |          1.999 |          2.012 |          1.992 |          0.745 |         21.038 |          0.161 |    +188.76%
         strcpy (Arm OR 23.01) |          46 |          5.741 |          5.751 |          5.756 |          5.752 |          0.032 |          7.449 |          0.002 |
             strcpy (LI-PaRAD) |          46 |          1.911 |          1.919 |          1.927 |          1.919 |          0.216 |         22.322 |          0.048 |    +199.68%
         strcpy (Arm OR 23.01) |          47 |          5.712 |          5.751 |          5.755 |          5.750 |          0.072 |          7.612 |          0.006 |
             strcpy (LI-PaRAD) |          47 |          1.898 |          1.921 |          1.925 |          1.915 |          0.469 |         22.852 |          0.108 |    +200.21%
         strcpy (Arm OR 23.01) |          48 |          6.050 |          6.091 |          6.131 |          6.090 |          0.390 |          7.341 |          0.029 |
             strcpy (LI-PaRAD) |          48 |          2.121 |          2.123 |          2.126 |          2.123 |          0.054 |         21.057 |          0.011 |    +186.85%
         strcpy (Arm OR 23.01) |          49 |          6.053 |          6.092 |          6.134 |          6.092 |          0.366 |          7.490 |          0.027 |
             strcpy (LI-PaRAD) |          49 |          2.122 |          2.124 |          2.129 |          2.124 |          0.056 |         21.481 |          0.012 |    +186.78%
         strcpy (Arm OR 23.01) |          50 |          6.054 |          6.090 |          6.132 |          6.087 |          0.401 |          7.650 |          0.031 |
             strcpy (LI-PaRAD) |          50 |          2.119 |          2.120 |          2.122 |          2.120 |          0.037 |         21.966 |          0.008 |    +187.13%
         strcpy (Arm OR 23.01) |          51 |          6.057 |          6.093 |          6.134 |          6.093 |          0.303 |          7.796 |          0.024 |
             strcpy (LI-PaRAD) |          51 |          2.119 |          2.120 |          2.127 |          2.120 |          0.055 |         22.403 |          0.012 |    +187.36%
         strcpy (Arm OR 23.01) |          52 |          6.053 |          6.092 |          6.132 |          6.092 |          0.374 |          7.949 |          0.030 |
