        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strcpy (GNU libc 2.34) |           1 |          2.105 |          2.107 |         42.140 |          3.000 |        164.184 |          0.426 |          0.078 |
             strcpy (LI-PaRAD) |           1 |          1.816 |          1.862 |          1.921 |          1.867 |          1.984 |          0.499 |          0.010 |     +60.66%
        strcpy (GNU libc 2.34) |           2 |          2.106 |          2.107 |          2.109 |          2.107 |          0.027 |          0.884 |          0.000 |
             strcpy (LI-PaRAD) |           2 |          1.817 |          1.862 |          1.918 |          1.865 |          1.557 |          0.999 |          0.015 |     +12.99%
        strcpy (GNU libc 2.34) |           3 |          1.824 |          1.825 |          2.108 |          1.837 |          3.008 |          1.522 |          0.040 |
             strcpy (LI-PaRAD) |           3 |          1.816 |          1.862 |          1.919 |          1.864 |          1.831 |          1.499 |          0.027 |      -1.49%
        strcpy (GNU libc 2.34) |           4 |          1.827 |          1.828 |          1.910 |          1.828 |          0.451 |          2.037 |          0.009 |
             strcpy (LI-PaRAD) |           4 |          1.815 |          1.861 |          1.919 |          1.862 |          1.746 |          2.001 |          0.035 |      -1.82%
        strcpy (GNU libc 2.34) |           5 |          1.823 |          1.824 |          1.979 |          1.826 |          0.844 |          2.551 |          0.020 |
             strcpy (LI-PaRAD) |           5 |          1.816 |          1.862 |          1.918 |          1.866 |          1.791 |          2.496 |          0.045 |      -2.15%
        strcpy (GNU libc 2.34) |           6 |          1.824 |          1.825 |          1.844 |          1.825 |          0.132 |          3.062 |          0.004 |
             strcpy (LI-PaRAD) |           6 |          1.817 |          1.862 |          1.918 |          1.866 |          2.056 |          2.996 |          0.062 |      -2.19%
        strcpy (GNU libc 2.34) |           7 |          1.825 |          1.826 |          1.838 |          1.826 |          0.073 |          3.570 |          0.003 |
             strcpy (LI-PaRAD) |           7 |          1.816 |          1.862 |          1.929 |          1.865 |          1.814 |          3.496 |          0.063 |      -2.10%
        strcpy (GNU libc 2.34) |           8 |          1.823 |          1.825 |          1.830 |          1.825 |          0.089 |          4.082 |          0.004 |
             strcpy (LI-PaRAD) |           8 |          1.816 |          1.863 |          1.921 |          1.866 |          1.809 |          3.995 |          0.072 |      -2.17%
        strcpy (GNU libc 2.34) |           9 |          1.821 |          1.822 |          1.829 |          1.822 |          0.057 |          4.600 |          0.003 |
             strcpy (LI-PaRAD) |           9 |          1.817 |          1.862 |          1.918 |          1.866 |          1.629 |          4.494 |          0.073 |      -2.33%
        strcpy (GNU libc 2.34) |          10 |          1.821 |          1.822 |          1.824 |          1.822 |          0.033 |          5.111 |          0.002 |
             strcpy (LI-PaRAD) |          10 |          1.816 |          1.862 |          1.918 |          1.867 |          1.686 |          4.990 |          0.084 |      -2.39%
        strcpy (GNU libc 2.34) |          11 |          1.828 |          1.828 |          1.830 |          1.829 |          0.032 |          5.603 |          0.002 |
             strcpy (LI-PaRAD) |          11 |          1.815 |          1.865 |          1.922 |          1.879 |          1.915 |          5.453 |          0.105 |      -2.71%
        strcpy (GNU libc 2.34) |          12 |          1.828 |          1.829 |          1.831 |          1.829 |          0.031 |          6.111 |          0.002 |
             strcpy (LI-PaRAD) |          12 |          1.816 |          1.863 |          1.921 |          1.865 |          1.878 |          5.993 |          0.112 |      -1.96%
        strcpy (GNU libc 2.34) |          13 |          1.824 |          1.824 |          1.826 |          1.825 |          0.033 |          6.635 |          0.002 |
             strcpy (LI-PaRAD) |          13 |          1.816 |          1.864 |          1.920 |          1.877 |          1.745 |          6.452 |          0.113 |      -2.80%
        strcpy (GNU libc 2.34) |          14 |          1.824 |          1.825 |          1.834 |          1.825 |          0.063 |          7.145 |          0.004 |
             strcpy (LI-PaRAD) |          14 |          1.816 |          1.864 |          1.920 |          1.873 |          1.811 |          6.963 |          0.126 |      -2.59%
        strcpy (GNU libc 2.34) |          15 |          1.822 |          1.823 |          1.827 |          1.824 |          0.082 |          7.660 |          0.006 |
             strcpy (LI-PaRAD) |          15 |          1.816 |          1.862 |          1.920 |          1.858 |          1.953 |          7.521 |          0.146 |      -1.86%
        strcpy (GNU libc 2.34) |          16 |          2.023 |          2.046 |          2.049 |          2.046 |          0.142 |          7.284 |          0.010 |
             strcpy (LI-PaRAD) |          16 |          1.916 |          1.918 |          1.922 |          1.918 |          0.051 |          7.769 |          0.004 |      +6.66%
        strcpy (GNU libc 2.34) |          17 |          2.014 |          2.032 |          2.035 |          2.031 |          0.202 |          7.794 |          0.016 |
             strcpy (LI-PaRAD) |          17 |          1.911 |          1.914 |          1.916 |          1.914 |          0.056 |          8.274 |          0.005 |      +6.16%
        strcpy (GNU libc 2.34) |          18 |          2.013 |          2.033 |          2.036 |          2.033 |          0.154 |          8.248 |          0.013 |
             strcpy (LI-PaRAD) |          18 |          1.915 |          1.918 |          1.920 |          1.917 |          0.058 |          8.743 |          0.005 |      +6.00%
        strcpy (GNU libc 2.34) |          19 |          1.951 |          1.952 |          1.954 |          1.952 |          0.035 |          9.063 |          0.003 |
             strcpy (LI-PaRAD) |          19 |          1.913 |          1.914 |          1.918 |          1.914 |          0.053 |          9.243 |          0.005 |      +1.98%
        strcpy (GNU libc 2.34) |          20 |          2.041 |          2.046 |          2.051 |          2.046 |          0.062 |          9.103 |          0.006 |
             strcpy (LI-PaRAD) |          20 |          1.916 |          1.918 |          1.920 |          1.918 |          0.046 |          9.710 |          0.004 |      +6.67%
        strcpy (GNU libc 2.34) |          21 |          2.012 |          2.032 |          2.035 |          2.031 |          0.192 |          9.629 |          0.019 |
