        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strlen (GNU libc 2.34) |           1 |          1.819 |          1.820 |          1.854 |          1.821 |          0.205 |          0.512 |          0.001 |
             strlen (LI-PaRAD) |           1 |          1.823 |          1.824 |          1.827 |          1.824 |          0.071 |          0.511 |          0.000 |      -0.19%
        strlen (GNU libc 2.34) |           2 |          1.819 |          1.820 |          1.825 |          1.820 |          0.052 |          1.023 |          0.001 |
             strlen (LI-PaRAD) |           2 |          1.823 |          1.824 |          1.827 |          1.824 |          0.074 |          1.021 |          0.001 |      -0.22%
        strlen (GNU libc 2.34) |           3 |          1.819 |          1.820 |          1.825 |          1.820 |          0.037 |          1.535 |          0.001 |
             strlen (LI-PaRAD) |           3 |          1.824 |          1.827 |          1.833 |          1.827 |          0.096 |          1.529 |          0.001 |      -0.40%
        strlen (GNU libc 2.34) |           4 |          1.819 |          1.820 |          1.825 |          1.820 |          0.038 |          2.047 |          0.001 |
             strlen (LI-PaRAD) |           4 |          1.824 |          1.827 |          1.832 |          1.827 |          0.101 |          2.039 |          0.002 |      -0.40%
        strlen (GNU libc 2.34) |           5 |          1.819 |          1.820 |          1.825 |          1.820 |          0.037 |          2.559 |          0.001 |
             strlen (LI-PaRAD) |           5 |          1.823 |          1.824 |          1.832 |          1.824 |          0.086 |          2.552 |          0.002 |      -0.25%
        strlen (GNU libc 2.34) |           6 |          1.819 |          1.820 |          1.824 |          1.820 |          0.050 |          3.071 |          0.002 |
             strlen (LI-PaRAD) |           6 |          1.824 |          1.827 |          1.832 |          1.827 |          0.101 |          3.058 |          0.003 |      -0.41%
        strlen (GNU libc 2.34) |           7 |          1.819 |          1.820 |          1.822 |          1.820 |          0.028 |          3.582 |          0.001 |
             strlen (LI-PaRAD) |           7 |          1.823 |          1.824 |          1.830 |          1.824 |          0.079 |          3.574 |          0.003 |      -0.24%
        strlen (GNU libc 2.34) |           8 |          1.819 |          1.820 |          1.825 |          1.820 |          0.038 |          4.094 |          0.002 |
             strlen (LI-PaRAD) |           8 |          1.822 |          1.823 |          1.828 |          1.824 |          0.072 |          4.085 |          0.003 |      -0.22%
        strlen (GNU libc 2.34) |           9 |          1.819 |          1.820 |          1.826 |          1.820 |          0.047 |          4.606 |          0.002 |
             strlen (LI-PaRAD) |           9 |          1.824 |          1.827 |          1.832 |          1.828 |          0.097 |          4.586 |          0.004 |      -0.43%
        strlen (GNU libc 2.34) |          10 |          1.819 |          1.820 |          1.825 |          1.820 |          0.043 |          5.118 |          0.002 |
             strlen (LI-PaRAD) |          10 |          1.823 |          1.824 |          1.829 |          1.824 |          0.074 |          5.105 |          0.004 |      -0.24%
        strlen (GNU libc 2.34) |          11 |          1.819 |          1.820 |          1.825 |          1.820 |          0.039 |          5.629 |          0.002 |
             strlen (LI-PaRAD) |          11 |          1.824 |          1.827 |          1.833 |          1.827 |          0.091 |          5.608 |          0.005 |      -0.39%
        strlen (GNU libc 2.34) |          12 |          1.819 |          1.820 |          1.825 |          1.820 |          0.040 |          6.141 |          0.002 |
             strlen (LI-PaRAD) |          12 |          1.825 |          1.827 |          1.831 |          1.828 |          0.098 |          6.115 |          0.006 |      -0.42%
        strlen (GNU libc 2.34) |          13 |          1.819 |          1.820 |          1.825 |          1.820 |          0.045 |          6.652 |          0.003 |
             strlen (LI-PaRAD) |          13 |          1.822 |          1.823 |          1.828 |          1.824 |          0.068 |          6.639 |          0.005 |      -0.20%
        strlen (GNU libc 2.34) |          14 |          1.819 |          1.820 |          1.825 |          1.820 |          0.053 |          7.164 |          0.004 |
             strlen (LI-PaRAD) |          14 |          1.825 |          1.827 |          1.833 |          1.827 |          0.094 |          7.136 |          0.007 |      -0.39%
        strlen (GNU libc 2.34) |          15 |          1.819 |          1.820 |          1.821 |          1.820 |          0.025 |          7.676 |          0.002 |
             strlen (LI-PaRAD) |          15 |          1.822 |          1.824 |          1.830 |          1.824 |          0.078 |          7.658 |          0.006 |      -0.24%
        strlen (GNU libc 2.34) |          16 |          1.984 |          1.985 |          1.987 |          1.985 |          0.034 |          7.506 |          0.003 |
