ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strlen (LI-PaRAD)|1|1.823|1.824|1.827|1.824|0.071|0.511|0.0
strlen (GNU libc 2.34)|1|1.819|1.82|1.854|1.821|0.205|0.512|0.001
strlen (Arm OR 23.01)|1|4.514|4.516|4.666|4.53|0.775|0.206|0.002
strlen (LI-PaRAD)|2|1.823|1.824|1.827|1.824|0.074|1.021|0.001
strlen (GNU libc 2.34)|2|1.819|1.82|1.825|1.82|0.052|1.023|0.001
strlen (Arm OR 23.01)|2|4.514|4.516|4.666|4.531|0.919|0.411|0.004
strlen (LI-PaRAD)|3|1.824|1.827|1.833|1.827|0.096|1.529|0.001
strlen (GNU libc 2.34)|3|1.819|1.82|1.825|1.82|0.037|1.535|0.001
strlen (Arm OR 23.01)|3|4.514|4.516|4.666|4.535|1.028|0.616|0.006
strlen (LI-PaRAD)|4|1.824|1.827|1.832|1.827|0.101|2.039|0.002
strlen (GNU libc 2.34)|4|1.819|1.82|1.825|1.82|0.038|2.047|0.001
strlen (Arm OR 23.01)|4|4.514|4.516|4.666|4.539|1.004|0.821|0.008
strlen (LI-PaRAD)|5|1.823|1.824|1.832|1.824|0.086|2.552|0.002
strlen (GNU libc 2.34)|5|1.819|1.82|1.825|1.82|0.037|2.559|0.001
strlen (Arm OR 23.01)|5|4.514|4.516|4.666|4.533|0.877|1.027|0.009
strlen (LI-PaRAD)|6|1.824|1.827|1.832|1.827|0.101|3.058|0.003
strlen (GNU libc 2.34)|6|1.819|1.82|1.824|1.82|0.05|3.071|0.002
strlen (Arm OR 23.01)|6|4.514|4.516|4.666|4.535|1.005|1.232|0.012
strlen (LI-PaRAD)|7|1.823|1.824|1.83|1.824|0.079|3.574|0.003
strlen (GNU libc 2.34)|7|1.819|1.82|1.822|1.82|0.028|3.582|0.001
strlen (Arm OR 23.01)|7|4.514|4.516|4.666|4.539|1.089|1.436|0.015
strlen (LI-PaRAD)|8|1.822|1.823|1.828|1.824|0.072|4.085|0.003
strlen (GNU libc 2.34)|8|1.819|1.82|1.825|1.82|0.038|4.094|0.002
strlen (Arm OR 23.01)|8|4.514|4.516|4.665|4.528|0.732|1.646|0.012
strlen (LI-PaRAD)|9|1.824|1.827|1.832|1.828|0.097|4.586|0.004
strlen (GNU libc 2.34)|9|1.819|1.82|1.826|1.82|0.047|4.606|0.002
strlen (Arm OR 23.01)|9|4.514|4.516|4.666|4.53|0.924|1.851|0.017
strlen (LI-PaRAD)|10|1.823|1.824|1.829|1.824|0.074|5.105|0.004
strlen (GNU libc 2.34)|10|1.819|1.82|1.825|1.82|0.043|5.118|0.002
strlen (Arm OR 23.01)|10|4.514|4.516|4.666|4.535|0.969|2.054|0.019
strlen (LI-PaRAD)|11|1.824|1.827|1.833|1.827|0.091|5.608|0.005
strlen (GNU libc 2.34)|11|1.819|1.82|1.825|1.82|0.039|5.629|0.002
strlen (Arm OR 23.01)|11|4.514|4.516|4.667|4.533|0.932|2.26|0.021
strlen (LI-PaRAD)|12|1.825|1.827|1.831|1.828|0.098|6.115|0.006
strlen (GNU libc 2.34)|12|1.819|1.82|1.825|1.82|0.04|6.141|0.002
strlen (Arm OR 23.01)|12|4.514|4.516|4.666|4.537|1.086|2.463|0.026
strlen (LI-PaRAD)|13|1.822|1.823|1.828|1.824|0.068|6.639|0.005
strlen (GNU libc 2.34)|13|1.819|1.82|1.825|1.82|0.045|6.652|0.003
strlen (Arm OR 23.01)|13|4.514|4.516|4.665|4.533|0.978|2.671|0.026
