        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strncmp (Arm OR 23.01) |           1 |          4.649 |          4.683 |          4.798 |          4.684 |          0.323 |          0.199 |          0.001 |
            strncmp (LI-PaRAD) |           1 |          1.812 |          1.813 |          1.815 |          1.813 |          0.038 |          0.514 |          0.000 |    +158.30%
        strncmp (Arm OR 23.01) |           2 |          4.646 |          4.680 |          4.787 |          4.680 |          0.254 |          0.398 |          0.001 |
            strncmp (LI-PaRAD) |           2 |          1.811 |          1.812 |          1.817 |          1.812 |          0.046 |          1.028 |          0.000 |    +158.29%
        strncmp (Arm OR 23.01) |           3 |          4.650 |          4.677 |          4.780 |          4.677 |          0.249 |          0.597 |          0.001 |
            strncmp (LI-PaRAD) |           3 |          1.812 |          1.813 |          1.822 |          1.813 |          0.064 |          1.541 |          0.001 |    +157.98%
        strncmp (Arm OR 23.01) |           4 |          4.643 |          4.682 |          4.690 |          4.678 |          0.191 |          0.796 |          0.002 |
            strncmp (LI-PaRAD) |           4 |          1.812 |          1.813 |          1.815 |          1.813 |          0.039 |          2.055 |          0.001 |    +158.07%
        strncmp (Arm OR 23.01) |           5 |          4.645 |          4.682 |          4.685 |          4.679 |          0.160 |          0.995 |          0.002 |
            strncmp (LI-PaRAD) |           5 |          1.813 |          1.813 |          1.821 |          1.814 |          0.055 |          2.568 |          0.001 |    +158.00%
        strncmp (Arm OR 23.01) |           6 |          4.661 |          4.683 |          4.766 |          4.682 |          0.219 |          1.194 |          0.003 |
            strncmp (LI-PaRAD) |           6 |          1.812 |          1.812 |          1.815 |          1.813 |          0.041 |          3.083 |          0.001 |    +158.30%
        strncmp (Arm OR 23.01) |           7 |          4.644 |          4.681 |          4.691 |          4.679 |          0.145 |          1.393 |          0.002 |
            strncmp (LI-PaRAD) |           7 |          1.812 |          1.813 |          1.815 |          1.813 |          0.034 |          3.596 |          0.001 |    +158.10%
        strncmp (Arm OR 23.01) |           8 |          4.659 |          4.681 |          4.716 |          4.680 |          0.141 |          1.592 |          0.002 |
            strncmp (LI-PaRAD) |           8 |          1.812 |          1.813 |          1.818 |          1.813 |          0.053 |          4.110 |          0.002 |    +158.15%
        strncmp (Arm OR 23.01) |           9 |          4.643 |          4.679 |          4.685 |          4.677 |          0.162 |          1.792 |          0.003 |
            strncmp (LI-PaRAD) |           9 |          1.812 |          1.813 |          1.819 |          1.813 |          0.050 |          4.623 |          0.002 |    +157.96%
        strncmp (Arm OR 23.01) |          10 |          4.650 |          4.681 |          4.792 |          4.681 |          0.310 |          1.990 |          0.006 |
            strncmp (LI-PaRAD) |          10 |          1.812 |          1.813 |          1.814 |          1.813 |          0.037 |          5.138 |          0.002 |    +158.23%
        strncmp (Arm OR 23.01) |          11 |          4.658 |          4.683 |          4.689 |          4.682 |          0.097 |          2.188 |          0.002 |
            strncmp (LI-PaRAD) |          11 |          1.814 |          1.814 |          1.819 |          1.815 |          0.045 |          5.646 |          0.003 |    +158.03%
        strncmp (Arm OR 23.01) |          12 |          4.653 |          4.686 |          4.710 |          4.684 |          0.141 |          2.386 |          0.003 |
            strncmp (LI-PaRAD) |          12 |          1.814 |          1.814 |          1.817 |          1.815 |          0.037 |          6.158 |          0.002 |    +158.13%
        strncmp (Arm OR 23.01) |          13 |          4.660 |          4.683 |          4.706 |          4.682 |          0.134 |          2.586 |          0.003 |
            strncmp (LI-PaRAD) |          13 |          1.813 |          1.814 |          1.817 |          1.814 |          0.040 |          6.673 |          0.003 |    +158.04%
        strncmp (Arm OR 23.01) |          14 |          4.660 |          4.683 |          4.700 |          4.682 |          0.132 |          2.785 |          0.004 |
            strncmp (LI-PaRAD) |          14 |          1.813 |          1.813 |          1.816 |          1.814 |          0.042 |          7.189 |          0.003 |    +158.16%
