ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strncmp (LI-PaRAD)|1|1.816|1.816|1.835|1.817|0.109|0.513|0.001
strncmp (GNU libc 2.34)|1|1.98|1.998|2.037|1.994|0.533|0.467|0.002
strncmp (Arm OR 23.01)|1|4.649|4.683|4.798|4.684|0.323|0.199|0.001
strncmp (LI-PaRAD)|2|1.816|1.817|1.818|1.817|0.033|1.025|0.0
strncmp (GNU libc 2.34)|2|1.995|2.008|2.038|2.01|0.668|0.927|0.006
strncmp (Arm OR 23.01)|2|4.646|4.68|4.787|4.68|0.254|0.398|0.001
strncmp (LI-PaRAD)|3|1.815|1.816|1.826|1.816|0.065|1.538|0.001
strncmp (GNU libc 2.34)|3|1.969|1.989|2.015|1.984|0.56|1.408|0.008
strncmp (Arm OR 23.01)|3|4.65|4.677|4.78|4.677|0.249|0.597|0.001
strncmp (LI-PaRAD)|4|1.815|1.816|1.832|1.816|0.125|2.051|0.003
strncmp (GNU libc 2.34)|4|1.979|1.996|2.011|1.993|0.339|1.869|0.006
strncmp (Arm OR 23.01)|4|4.643|4.682|4.69|4.678|0.191|0.796|0.002
strncmp (LI-PaRAD)|5|1.816|1.816|1.819|1.817|0.04|2.563|0.001
strncmp (GNU libc 2.34)|5|1.949|1.959|1.979|1.96|0.404|2.376|0.01
strncmp (Arm OR 23.01)|5|4.645|4.682|4.685|4.679|0.16|0.995|0.002
strncmp (LI-PaRAD)|6|1.816|1.816|1.823|1.817|0.051|3.076|0.002
strncmp (GNU libc 2.34)|6|1.996|1.998|2.036|2.009|0.673|2.782|0.019
strncmp (Arm OR 23.01)|6|4.661|4.683|4.766|4.682|0.219|1.194|0.003
strncmp (LI-PaRAD)|7|1.816|1.817|2.036|1.871|5.036|3.493|0.166
strncmp (GNU libc 2.34)|7|1.969|1.987|2.015|1.984|0.611|3.286|0.02
strncmp (Arm OR 23.01)|7|4.644|4.681|4.691|4.679|0.145|1.393|0.002
strncmp (LI-PaRAD)|8|1.816|1.816|1.82|1.817|0.036|4.101|0.001
strncmp (GNU libc 2.34)|8|1.98|1.982|2.015|1.987|0.456|3.751|0.017
strncmp (Arm OR 23.01)|8|4.659|4.681|4.716|4.68|0.141|1.592|0.002
strncmp (LI-PaRAD)|9|1.816|1.817|2.033|1.825|2.145|4.595|0.089
strncmp (GNU libc 2.34)|9|2.54|2.542|2.546|2.542|0.053|3.298|0.002
strncmp (Arm OR 23.01)|9|4.643|4.679|4.685|4.677|0.162|1.792|0.003
strncmp (LI-PaRAD)|10|1.816|1.816|1.828|1.816|0.072|5.127|0.004
strncmp (GNU libc 2.34)|10|2.575|2.576|2.592|2.576|0.074|3.615|0.003
strncmp (Arm OR 23.01)|10|4.65|4.681|4.792|4.681|0.31|1.99|0.006
strncmp (LI-PaRAD)|11|1.816|1.816|1.822|1.817|0.062|5.639|0.003
strncmp (GNU libc 2.34)|11|2.524|2.526|2.531|2.526|0.073|4.055|0.003
strncmp (Arm OR 23.01)|11|4.658|4.683|4.689|4.682|0.097|2.188|0.002
strncmp (LI-PaRAD)|12|1.816|1.816|1.836|1.817|0.124|6.151|0.008
strncmp (GNU libc 2.34)|12|2.543|2.545|2.555|2.545|0.082|4.391|0.004
strncmp (Arm OR 23.01)|12|4.653|4.686|4.71|4.684|0.141|2.386|0.003
strncmp (LI-PaRAD)|13|1.816|1.816|1.828|1.817|0.076|6.664|0.005
strncmp (GNU libc 2.34)|13|2.539|2.541|2.551|2.541|0.069|4.764|0.003
strncmp (Arm OR 23.01)|13|4.66|4.683|4.706|4.682|0.134|2.586|0.003
strncmp (LI-PaRAD)|14|1.816|1.817|1.818|1.817|0.032|7.175|0.002
strncmp (GNU libc 2.34)|14|2.574|2.577|2.583|2.577|0.067|5.06|0.003
strncmp (Arm OR 23.01)|14|4.66|4.683|4.7|4.682|0.132|2.785|0.004
strncmp (LI-PaRAD)|15|1.815|1.816|1.819|1.816|0.039|7.691|0.003
strncmp (GNU libc 2.34)|15|2.525|2.527|2.531|2.527|0.062|5.528|0.003
strncmp (Arm OR 23.01)|15|4.65|4.681|4.714|4.68|0.166|2.985|0.005
strncmp (LI-PaRAD)|16|1.816|1.816|2.032|1.823|1.998|8.176|0.147
strncmp (GNU libc 2.34)|16|2.543|2.544|2.551|2.545|0.061|5.856|0.004
strncmp (Arm OR 23.01)|16|4.643|4.682|4.687|4.68|0.135|3.184|0.004
strncmp (LI-PaRAD)|17|2.696|2.722|2.728|2.717|0.35|5.826|0.02
strncmp (GNU libc 2.34)|17|3.173|3.178|3.373|3.185|1.046|4.971|0.05
strncmp (Arm OR 23.01)|17|5.202|5.232|5.386|5.239|0.508|3.022|0.015
strncmp (LI-PaRAD)|18|2.699|2.701|2.703|2.701|0.029|6.207|0.002
strncmp (GNU libc 2.34)|18|3.213|3.217|3.226|3.217|0.068|5.211|0.004
strncmp (Arm OR 23.01)|18|5.201|5.226|5.409|5.234|0.617|3.203|0.019
strncmp (LI-PaRAD)|19|2.688|2.713|2.728|2.708|0.511|6.535|0.033
strncmp (GNU libc 2.34)|19|3.173|3.177|3.185|3.177|0.07|5.57|0.004
strncmp (Arm OR 23.01)|19|5.174|5.23|5.4|5.235|0.513|3.38|0.017
strncmp (LI-PaRAD)|20|2.701|2.703|2.706|2.703|0.042|6.89|0.003
strncmp (GNU libc 2.34)|20|3.205|3.209|3.215|3.209|0.067|5.804|0.004
strncmp (Arm OR 23.01)|20|5.214|5.23|5.348|5.234|0.378|3.559|0.013
strncmp (LI-PaRAD)|21|2.709|2.723|2.726|2.722|0.093|7.184|0.007
strncmp (GNU libc 2.34)|21|3.172|3.175|3.182|3.175|0.072|6.159|0.004
strncmp (Arm OR 23.01)|21|5.212|5.234|5.389|5.238|0.437|3.734|0.016
strncmp (LI-PaRAD)|22|2.697|2.701|2.708|2.701|0.047|7.586|0.004
strncmp (GNU libc 2.34)|22|3.209|3.214|3.225|3.214|0.079|6.375|0.005
strncmp (Arm OR 23.01)|22|5.193|5.234|5.247|5.232|0.138|3.916|0.005
strncmp (LI-PaRAD)|23|2.697|2.723|2.733|2.721|0.226|7.872|0.018
strncmp (GNU libc 2.34)|23|3.172|3.176|3.189|3.177|0.12|6.743|0.008
strncmp (Arm OR 23.01)|23|5.215|5.226|5.356|5.228|0.279|4.097|0.011
strncmp (LI-PaRAD)|24|2.714|2.723|2.759|2.723|0.166|8.208|0.014
strncmp (GNU libc 2.34)|24|3.17|3.175|3.181|3.175|0.076|7.041|0.005
strncmp (Arm OR 23.01)|24|5.217|5.231|5.407|5.235|0.426|4.27|0.018
