        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
       strncpy (GNU libc 2.34) |           1 |          3.612 |          3.613 |          3.655 |          3.614 |          0.126 |          0.258 |          0.000 |
            strncpy (LI-PaRAD) |           1 |          1.852 |          1.854 |          1.858 |          1.854 |          0.051 |          0.502 |          0.000 |     +94.98%
       strncpy (GNU libc 2.34) |           2 |          3.612 |          3.613 |          3.615 |          3.613 |          0.022 |          0.516 |          0.000 |
            strncpy (LI-PaRAD) |           2 |          1.851 |          1.852 |          1.854 |          1.852 |          0.034 |          1.006 |          0.000 |     +95.09%
       strncpy (GNU libc 2.34) |           3 |          3.611 |          3.612 |          3.615 |          3.613 |          0.022 |          0.773 |          0.000 |
            strncpy (LI-PaRAD) |           3 |          1.852 |          1.853 |          1.855 |          1.853 |          0.032 |          1.508 |          0.000 |     +94.97%
       strncpy (GNU libc 2.34) |           4 |          3.311 |          3.311 |          3.417 |          3.313 |          0.318 |          1.125 |          0.003 |
            strncpy (LI-PaRAD) |           4 |          1.852 |          1.853 |          1.864 |          1.854 |          0.102 |          2.010 |          0.002 |     +78.72%
       strncpy (GNU libc 2.34) |           5 |          3.311 |          3.311 |          3.614 |          3.352 |          3.046 |          1.390 |          0.040 |
            strncpy (LI-PaRAD) |           5 |          1.851 |          1.851 |          1.857 |          1.852 |          0.040 |          2.515 |          0.001 |     +81.02%
       strncpy (GNU libc 2.34) |           6 |          3.311 |          3.313 |          3.614 |          3.455 |          4.365 |          1.621 |          0.070 |
            strncpy (LI-PaRAD) |           6 |          1.850 |          1.851 |          1.858 |          1.851 |          0.054 |          3.019 |          0.002 |     +86.62%
       strncpy (GNU libc 2.34) |           7 |          3.311 |          3.613 |          3.621 |          3.607 |          1.188 |          1.808 |          0.023 |
            strncpy (LI-PaRAD) |           7 |          1.853 |          1.854 |          1.855 |          1.854 |          0.033 |          3.517 |          0.001 |     +94.57%
       strncpy (GNU libc 2.34) |           8 |          3.127 |          3.142 |          3.150 |          3.142 |          0.105 |          2.371 |          0.002 |
            strncpy (LI-PaRAD) |           8 |          1.853 |          1.854 |          1.855 |          1.854 |          0.031 |          4.019 |          0.001 |     +69.49%
       strncpy (GNU libc 2.34) |           9 |          3.129 |          3.144 |          3.157 |          3.143 |          0.146 |          2.667 |          0.004 |
            strncpy (LI-PaRAD) |           9 |          1.851 |          1.852 |          1.857 |          1.852 |          0.044 |          4.526 |          0.002 |     +69.73%
       strncpy (GNU libc 2.34) |          10 |          3.115 |          3.148 |          3.159 |          3.147 |          0.167 |          2.959 |          0.005 |
            strncpy (LI-PaRAD) |          10 |          1.850 |          1.851 |          1.854 |          1.851 |          0.041 |          5.031 |          0.002 |     +70.01%
       strncpy (GNU libc 2.34) |          11 |          3.138 |          3.146 |          3.156 |          3.146 |          0.115 |          3.257 |          0.004 |
            strncpy (LI-PaRAD) |          11 |          1.852 |          1.853 |          1.860 |          1.853 |          0.053 |          5.528 |          0.003 |     +69.76%
       strncpy (GNU libc 2.34) |          12 |          3.139 |          3.147 |          3.156 |          3.147 |          0.108 |          3.551 |          0.004 |
            strncpy (LI-PaRAD) |          12 |          1.852 |          1.853 |          1.860 |          1.854 |          0.049 |          6.029 |          0.003 |     +69.77%
       strncpy (GNU libc 2.34) |          13 |          3.123 |          3.144 |          3.153 |          3.144 |          0.153 |          3.851 |          0.006 |
            strncpy (LI-PaRAD) |          13 |          1.850 |          1.851 |          1.857 |          1.851 |          0.049 |          6.541 |          0.003 |     +69.86%
       strncpy (GNU libc 2.34) |          14 |          3.133 |          3.148 |          3.155 |          3.147 |          0.117 |          4.143 |          0.005 |
            strncpy (LI-PaRAD) |          14 |          1.851 |          1.852 |          1.853 |          1.852 |          0.031 |          7.041 |          0.002 |     +69.95%
       strncpy (GNU libc 2.34) |          15 |          3.135 |          3.145 |          3.153 |          3.145 |          0.112 |          4.442 |          0.005 |
            strncpy (LI-PaRAD) |          15 |          1.852 |          1.854 |          1.860 |          1.854 |          0.050 |          7.536 |          0.004 |     +69.66%
       strncpy (GNU libc 2.34) |          16 |          2.742 |          2.951 |          3.018 |          2.951 |          1.702 |          5.051 |          0.089 |
            strncpy (LI-PaRAD) |          16 |          1.922 |          1.926 |          1.928 |          1.926 |          0.079 |          7.739 |          0.006 |     +53.27%
       strncpy (GNU libc 2.34) |          17 |          3.889 |          4.043 |          4.046 |          4.025 |          1.036 |          3.934 |          0.042 |
            strncpy (LI-PaRAD) |          17 |          1.975 |          1.981 |          1.985 |          1.981 |          0.089 |          7.994 |          0.007 |    +103.20%
