        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
       strncpy (GNU libc 2.34) |           1 |          3.612 |          3.613 |          3.643 |          3.615 |          0.141 |          0.258 |          0.000 |
            strncpy (LI-PaRAD) |           1 |          1.853 |          1.854 |          1.858 |          1.854 |          0.043 |          0.502 |          0.000 |     +95.04%
       strncpy (GNU libc 2.34) |           2 |          3.612 |          3.613 |          3.621 |          3.614 |          0.052 |          0.515 |          0.000 |
            strncpy (LI-PaRAD) |           2 |          1.862 |          1.863 |          1.873 |          1.863 |          0.086 |          1.000 |          0.001 |     +93.94%
       strncpy (GNU libc 2.34) |           3 |          3.612 |          3.612 |          3.622 |          3.613 |          0.054 |          0.773 |          0.000 |
            strncpy (LI-PaRAD) |           3 |          1.852 |          1.853 |          1.858 |          1.853 |          0.042 |          1.508 |          0.001 |     +95.02%
       strncpy (GNU libc 2.34) |           4 |          3.311 |          3.312 |          3.458 |          3.320 |          0.977 |          1.122 |          0.011 |
            strncpy (LI-PaRAD) |           4 |          1.852 |          1.853 |          1.865 |          1.854 |          0.099 |          2.010 |          0.002 |     +79.12%
       strncpy (GNU libc 2.34) |           5 |          3.311 |          3.312 |          3.972 |          3.400 |          6.319 |          1.374 |          0.077 |
            strncpy (LI-PaRAD) |           5 |          1.862 |          1.863 |          1.867 |          1.863 |          0.034 |          2.500 |          0.001 |     +82.54%
       strncpy (GNU libc 2.34) |           6 |          3.311 |          3.312 |          3.720 |          3.392 |          4.686 |          1.651 |          0.072 |
            strncpy (LI-PaRAD) |           6 |          1.861 |          1.863 |          1.872 |          1.863 |          0.072 |          2.999 |          0.002 |     +82.06%
       strncpy (GNU libc 2.34) |           7 |          3.311 |          3.312 |          3.321 |          3.313 |          0.059 |          1.968 |          0.001 |
            strncpy (LI-PaRAD) |           7 |          1.853 |          1.853 |          1.858 |          1.854 |          0.045 |          3.517 |          0.002 |     +78.73%
       strncpy (GNU libc 2.34) |           8 |          3.122 |          3.139 |          3.497 |          3.229 |          4.851 |          2.313 |          0.107 |
            strncpy (LI-PaRAD) |           8 |          1.853 |          1.853 |          1.858 |          1.854 |          0.049 |          4.020 |          0.002 |     +74.18%
       strncpy (GNU libc 2.34) |           9 |          3.147 |          3.163 |          3.172 |          3.162 |          0.154 |          2.651 |          0.004 |
            strncpy (LI-PaRAD) |           9 |          1.861 |          1.862 |          1.866 |          1.862 |          0.041 |          4.502 |          0.002 |     +69.83%
       strncpy (GNU libc 2.34) |          10 |          3.160 |          3.169 |          3.177 |          3.169 |          0.119 |          2.939 |          0.003 |
            strncpy (LI-PaRAD) |          10 |          1.862 |          1.863 |          1.868 |          1.863 |          0.051 |          4.998 |          0.003 |     +70.06%
       strncpy (GNU libc 2.34) |          11 |          3.119 |          3.137 |          3.147 |          3.137 |          0.174 |          3.266 |          0.006 |
            strncpy (LI-PaRAD) |          11 |          1.852 |          1.852 |          1.858 |          1.853 |          0.058 |          5.529 |          0.003 |     +69.28%
       strncpy (GNU libc 2.34) |          12 |          3.113 |          3.136 |          3.146 |          3.136 |          0.181 |          3.564 |          0.006 |
            strncpy (LI-PaRAD) |          12 |          1.852 |          1.853 |          1.859 |          1.853 |          0.055 |          6.030 |          0.003 |     +69.17%
