        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strnlen (Arm OR 23.01) |           1 |          4.378 |          4.399 |          4.445 |          4.398 |          0.384 |          0.212 |          0.001 |
            strnlen (LI-PaRAD) |           1 |          1.798 |          1.799 |          1.801 |          1.799 |          0.026 |          0.518 |          0.000 |    +144.46%
        strnlen (Arm OR 23.01) |           2 |          4.378 |          4.379 |          4.389 |          4.379 |          0.026 |          0.425 |          0.000 |
            strnlen (LI-PaRAD) |           2 |          1.795 |          1.799 |          1.801 |          1.799 |          0.042 |          1.035 |          0.000 |    +143.41%
        strnlen (Arm OR 23.01) |           3 |          4.378 |          4.379 |          4.420 |          4.379 |          0.094 |          0.638 |          0.001 |
            strnlen (LI-PaRAD) |           3 |          1.795 |          1.799 |          1.800 |          1.799 |          0.034 |          1.553 |          0.001 |    +143.46%
        strnlen (Arm OR 23.01) |           4 |          4.378 |          4.379 |          4.384 |          4.379 |          0.019 |          0.851 |          0.000 |
            strnlen (LI-PaRAD) |           4 |          1.795 |          1.799 |          1.801 |          1.799 |          0.051 |          2.071 |          0.001 |    +143.45%
        strnlen (Arm OR 23.01) |           5 |          4.378 |          4.379 |          4.388 |          4.379 |          0.026 |          1.063 |          0.000 |
            strnlen (LI-PaRAD) |           5 |          1.797 |          1.799 |          1.802 |          1.799 |          0.033 |          2.588 |          0.001 |    +143.42%
        strnlen (Arm OR 23.01) |           6 |          4.378 |          4.379 |          4.381 |          4.379 |          0.016 |          1.276 |          0.000 |
            strnlen (LI-PaRAD) |           6 |          1.795 |          1.799 |          1.805 |          1.799 |          0.060 |          3.107 |          0.002 |    +143.47%
        strnlen (Arm OR 23.01) |           7 |          4.378 |          4.379 |          4.384 |          4.379 |          0.018 |          1.489 |          0.000 |
            strnlen (LI-PaRAD) |           7 |          1.795 |          1.799 |          1.800 |          1.799 |          0.050 |          3.624 |          0.002 |    +143.46%
        strnlen (Arm OR 23.01) |           8 |          4.378 |          4.379 |          4.381 |          4.379 |          0.016 |          1.701 |          0.000 |
            strnlen (LI-PaRAD) |           8 |          1.796 |          1.799 |          1.800 |          1.799 |          0.046 |          4.142 |          0.002 |    +143.46%
        strnlen (Arm OR 23.01) |           9 |          4.378 |          4.379 |          4.384 |          4.379 |          0.024 |          1.914 |          0.000 |
            strnlen (LI-PaRAD) |           9 |          1.797 |          1.799 |          1.800 |          1.799 |          0.028 |          4.660 |          0.001 |    +143.46%
        strnlen (Arm OR 23.01) |          10 |          4.378 |          4.379 |          4.383 |          4.379 |          0.016 |          2.127 |          0.000 |
            strnlen (LI-PaRAD) |          10 |          1.795 |          1.799 |          1.800 |          1.799 |          0.047 |          5.177 |          0.002 |    +143.46%
        strnlen (Arm OR 23.01) |          11 |          4.378 |          4.379 |          4.453 |          4.380 |          0.169 |          2.339 |          0.004 |
            strnlen (LI-PaRAD) |          11 |          1.796 |          1.799 |          1.809 |          1.799 |          0.066 |          5.695 |          0.004 |    +143.48%
        strnlen (Arm OR 23.01) |          12 |          4.378 |          4.379 |          4.424 |          4.379 |          0.105 |          2.552 |          0.003 |
            strnlen (LI-PaRAD) |          12 |          1.796 |          1.799 |          1.800 |          1.799 |          0.039 |          6.214 |          0.002 |    +143.48%
        strnlen (Arm OR 23.01) |          13 |          4.378 |          4.379 |          4.381 |          4.379 |          0.016 |          2.765 |          0.000 |
            strnlen (LI-PaRAD) |          13 |          1.796 |          1.799 |          1.800 |          1.799 |          0.042 |          6.731 |          0.003 |    +143.46%
        strnlen (Arm OR 23.01) |          14 |          4.378 |          4.379 |          4.395 |          4.379 |          0.042 |          2.977 |          0.001 |
            strnlen (LI-PaRAD) |          14 |          1.796 |          1.799 |          1.800 |          1.799 |          0.038 |          7.248 |          0.003 |    +143.45%
        strnlen (Arm OR 23.01) |          15 |          4.378 |          4.379 |          4.453 |          4.381 |          0.220 |          3.189 |          0.007 |
            strnlen (LI-PaRAD) |          15 |          1.798 |          1.799 |          1.800 |          1.799 |          0.024 |          7.766 |          0.002 |    +143.53%
        strnlen (Arm OR 23.01) |          16 |          4.490 |          4.539 |          4.567 |          4.532 |          0.711 |          3.288 |          0.023 |
            strnlen (LI-PaRAD) |          16 |          1.858 |          1.871 |          1.896 |          1.873 |          0.537 |          7.957 |          0.043 |    +141.99%
        strnlen (Arm OR 23.01) |          17 |          5.014 |          5.015 |          5.016 |          5.015 |          0.012 |          3.157 |          0.000 |
            strnlen (LI-PaRAD) |          17 |          1.902 |          1.954 |          1.969 |          1.951 |          0.687 |          8.116 |          0.057 |    +157.06%
        strnlen (Arm OR 23.01) |          18 |          5.014 |          5.015 |          5.017 |          5.015 |          0.013 |          3.343 |          0.000 |
            strnlen (LI-PaRAD) |          18 |          1.896 |          1.956 |          2.321 |          1.955 |          2.059 |          8.579 |          0.155 |    +156.53%
        strnlen (Arm OR 23.01) |          19 |          5.014 |          5.015 |          5.017 |          5.015 |          0.013 |          3.528 |          0.000 |
            strnlen (LI-PaRAD) |          19 |          1.897 |          1.952 |          2.305 |          1.954 |          1.920 |          9.057 |          0.151 |    +156.62%
        strnlen (Arm OR 23.01) |          20 |          5.014 |          5.015 |          5.017 |          5.015 |          0.013 |          3.714 |          0.000 |
            strnlen (LI-PaRAD) |          20 |          1.897 |          1.949 |          1.963 |          1.945 |          0.824 |          9.577 |          0.080 |    +157.82%
        strnlen (Arm OR 23.01) |          21 |          5.014 |          5.015 |          5.016 |          5.015 |          0.012 |          3.900 |          0.000 |
            strnlen (LI-PaRAD) |          21 |          1.945 |          1.954 |          2.311 |          1.957 |          1.874 |          9.996 |          0.161 |    +156.24%
        strnlen (Arm OR 23.01) |          22 |          5.014 |          5.015 |          5.022 |          5.015 |          0.018 |          4.086 |          0.001 |
            strnlen (LI-PaRAD) |          22 |          1.946 |          1.950 |          1.959 |          1.951 |          0.219 |         10.501 |          0.023 |    +157.01%
        strnlen (Arm OR 23.01) |          23 |          5.014 |          5.015 |          5.017 |          5.015 |          0.014 |          4.271 |          0.001 |
            strnlen (LI-PaRAD) |          23 |          1.897 |          1.955 |          2.313 |          1.966 |          3.185 |         10.904 |          0.300 |    +155.06%
        strnlen (Arm OR 23.01) |          24 |          5.014 |          5.015 |          5.018 |          5.015 |          0.013 |          4.457 |          0.001 |
            strnlen (LI-PaRAD) |          24 |          1.923 |          1.951 |          2.320 |          1.972 |          4.075 |         11.348 |          0.399 |    +154.24%
        strnlen (Arm OR 23.01) |          25 |          5.013 |          5.015 |          5.020 |          5.015 |          0.017 |          4.643 |          0.001 |
            strnlen (LI-PaRAD) |          25 |          2.173 |          2.294 |          2.345 |          2.294 |          1.288 |         10.153 |          0.134 |    +118.64%
        strnlen (Arm OR 23.01) |          26 |          5.014 |          5.015 |          5.016 |          5.015 |          0.012 |          4.828 |          0.001 |
            strnlen (LI-PaRAD) |          26 |          2.194 |          2.299 |          2.335 |          2.296 |          0.759 |         10.548 |          0.082 |    +118.44%
        strnlen (Arm OR 23.01) |          27 |          5.014 |          5.015 |          5.016 |          5.015 |          0.011 |          5.014 |          0.001 |
            strnlen (LI-PaRAD) |          27 |          2.181 |          2.307 |          2.335 |          2.299 |          0.943 |         10.937 |          0.105 |    +118.08%
        strnlen (Arm OR 23.01) |          28 |          5.014 |          5.015 |          5.016 |          5.015 |          0.011 |          5.200 |          0.001 |
            strnlen (LI-PaRAD) |          28 |          1.897 |          1.948 |          2.296 |          1.959 |          3.437 |         13.324 |          0.400 |    +155.96%
        strnlen (Arm OR 23.01) |          29 |          5.014 |          5.015 |          5.016 |          5.015 |          0.012 |          5.386 |          0.001 |
