        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strrchr (Arm OR 23.01) |           1 |          4.533 |          4.797 |          4.821 |          4.776 |          1.090 |          0.195 |          0.002 |
            strrchr (LI-PaRAD) |           1 |          1.956 |          1.957 |          2.107 |          1.964 |          1.507 |          0.474 |          0.007 |    +143.18%
        strrchr (Arm OR 23.01) |           2 |          4.656 |          4.801 |          4.842 |          4.775 |          1.018 |          0.390 |          0.004 |
            strrchr (LI-PaRAD) |           2 |          1.957 |          1.958 |          2.108 |          1.964 |          1.238 |          0.949 |          0.011 |    +143.15%
        strrchr (Arm OR 23.01) |           3 |          4.668 |          4.784 |          4.806 |          4.760 |          0.893 |          0.587 |          0.005 |
            strrchr (LI-PaRAD) |           3 |          1.957 |          1.958 |          2.108 |          1.962 |          0.944 |          1.424 |          0.013 |    +142.65%
        strrchr (Arm OR 23.01) |           4 |          4.657 |          4.786 |          4.803 |          4.764 |          0.929 |          0.782 |          0.007 |
            strrchr (LI-PaRAD) |           4 |          1.957 |          1.958 |          1.983 |          1.958 |          0.134 |          1.902 |          0.003 |    +143.30%
        strrchr (Arm OR 23.01) |           5 |          4.518 |          4.802 |          4.845 |          4.766 |          1.395 |          0.977 |          0.014 |
            strrchr (LI-PaRAD) |           5 |          1.957 |          1.958 |          2.109 |          1.963 |          1.150 |          2.372 |          0.026 |    +142.77%
        strrchr (Arm OR 23.01) |           6 |          4.657 |          4.786 |          4.803 |          4.762 |          0.909 |          1.173 |          0.011 |
            strrchr (LI-PaRAD) |           6 |          1.957 |          1.958 |          2.108 |          1.961 |          0.913 |          2.850 |          0.024 |    +142.85%
        strrchr (Arm OR 23.01) |           7 |          4.665 |          4.801 |          4.827 |          4.785 |          0.890 |          1.363 |          0.012 |
            strrchr (LI-PaRAD) |           7 |          1.956 |          1.957 |          1.984 |          1.960 |          0.389 |          3.327 |          0.013 |    +144.18%
        strrchr (Arm OR 23.01) |           8 |          4.646 |          4.802 |          4.816 |          4.766 |          1.167 |          1.563 |          0.018 |
