        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         memcmp (Arm OR 23.01) |           1 |          1.798 |          1.799 |          1.827 |          1.799 |          0.176 |          0.518 |          0.001 |
             memcmp (LI-PaRAD) |           1 |          1.799 |          1.801 |          1.803 |          1.801 |          0.048 |          0.517 |          0.000 |      -0.08%
         memcmp (Arm OR 23.01) |           2 |          1.798 |          1.799 |          1.809 |          1.799 |          0.061 |          1.035 |          0.001 |
             memcmp (LI-PaRAD) |           2 |          1.800 |          1.801 |          1.803 |          1.801 |          0.046 |          1.034 |          0.000 |      -0.12%
         memcmp (Arm OR 23.01) |           3 |          1.798 |          1.799 |          1.800 |          1.799 |          0.025 |          1.553 |          0.000 |
             memcmp (LI-PaRAD) |           3 |          1.798 |          1.800 |          1.802 |          1.800 |          0.051 |          1.552 |          0.001 |      -0.06%
         memcmp (Arm OR 23.01) |           4 |          1.798 |          1.799 |          1.800 |          1.799 |          0.027 |          2.071 |          0.001 |
             memcmp (LI-PaRAD) |           4 |          1.798 |          1.801 |          1.802 |          1.800 |          0.050 |          2.069 |          0.001 |      -0.07%
         memcmp (Arm OR 23.01) |           5 |          1.798 |          1.799 |          1.800 |          1.799 |          0.027 |          2.589 |          0.001 |
             memcmp (LI-PaRAD) |           5 |          1.798 |          1.800 |          1.813 |          1.800 |          0.093 |          2.587 |          0.002 |      -0.07%
         memcmp (Arm OR 23.01) |           6 |          1.798 |          1.799 |          1.804 |          1.799 |          0.040 |          3.107 |          0.001 |
             memcmp (LI-PaRAD) |           6 |          1.798 |          1.801 |          1.805 |          1.800 |          0.062 |          3.104 |          0.002 |      -0.10%
         memcmp (Arm OR 23.01) |           7 |          1.798 |          1.799 |          1.800 |          1.799 |          0.027 |          3.624 |          0.001 |
             memcmp (LI-PaRAD) |           7 |          1.798 |          1.800 |          1.802 |          1.800 |          0.056 |          3.621 |          0.002 |      -0.06%
         memcmp (Arm OR 23.01) |           8 |          1.798 |          1.799 |          1.813 |          1.799 |          0.080 |          4.141 |          0.003 |
             memcmp (LI-PaRAD) |           8 |          1.798 |          1.801 |          1.802 |          1.800 |          0.056 |          4.138 |          0.002 |      -0.07%
         memcmp (Arm OR 23.01) |           9 |          1.798 |          1.799 |          1.802 |          1.799 |          0.032 |          4.659 |          0.001 |
             memcmp (LI-PaRAD) |           9 |          1.798 |          1.800 |          1.802 |          1.800 |          0.051 |          4.656 |          0.002 |      -0.06%
         memcmp (Arm OR 23.01) |          10 |          1.798 |          1.799 |          1.800 |          1.799 |          0.027 |          5.177 |          0.001 |
             memcmp (LI-PaRAD) |          10 |          1.796 |          1.801 |          1.802 |          1.800 |          0.059 |          5.173 |          0.003 |      -0.07%
         memcmp (Arm OR 23.01) |          11 |          1.798 |          1.799 |          1.806 |          1.799 |          0.047 |          5.695 |          0.003 |
             memcmp (LI-PaRAD) |          11 |          1.793 |          1.800 |          1.802 |          1.800 |          0.069 |          5.691 |          0.004 |      -0.07%
         memcmp (Arm OR 23.01) |          12 |          1.798 |          1.799 |          1.800 |          1.799 |          0.028 |          6.213 |          0.002 |
             memcmp (LI-PaRAD) |          12 |          1.798 |          1.801 |          1.802 |          1.800 |          0.056 |          6.208 |          0.003 |      -0.08%
