        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        memcmp (GNU libc 2.34) |           1 |          2.112 |          2.113 |          3.166 |          2.135 |          6.844 |          0.438 |          0.020 |
             memcmp (LI-PaRAD) |           1 |          1.813 |          1.816 |          2.855 |          1.837 |          7.895 |          0.509 |          0.026 |     +16.21%
        memcmp (GNU libc 2.34) |           2 |          2.414 |          2.415 |          3.467 |          2.436 |          5.994 |          0.767 |          0.033 |
             memcmp (LI-PaRAD) |           2 |          1.813 |          1.816 |          2.849 |          1.836 |          7.864 |          1.018 |          0.052 |     +32.64%
        memcmp (GNU libc 2.34) |           3 |          2.716 |          2.717 |          3.748 |          2.737 |          5.245 |          1.023 |          0.039 |
             memcmp (LI-PaRAD) |           3 |          1.814 |          1.816 |          2.850 |          1.836 |          7.835 |          1.527 |          0.078 |     +49.07%
        memcmp (GNU libc 2.34) |           4 |          1.811 |          1.811 |          2.844 |          1.832 |          7.870 |          2.042 |          0.104 |
             memcmp (LI-PaRAD) |           4 |          1.812 |          1.816 |          2.842 |          1.836 |          7.796 |          2.037 |          0.103 |      -0.25%
        memcmp (GNU libc 2.34) |           5 |          1.811 |          1.811 |          2.850 |          1.822 |          5.674 |          2.561 |          0.093 |
             memcmp (LI-PaRAD) |           5 |          1.813 |          1.816 |          2.854 |          1.837 |          7.902 |          2.545 |          0.131 |      -0.82%
        memcmp (GNU libc 2.34) |           6 |          1.811 |          1.811 |          2.838 |          1.832 |          7.821 |          3.062 |          0.156 |
             memcmp (LI-PaRAD) |           6 |          1.631 |          1.815 |          2.839 |          1.823 |          5.689 |          3.071 |          0.116 |      +0.46%
        memcmp (GNU libc 2.34) |           7 |          1.811 |          1.811 |          2.841 |          1.832 |          7.861 |          3.572 |          0.183 |
             memcmp (LI-PaRAD) |           7 |          1.813 |          1.815 |          2.836 |          1.835 |          7.782 |          3.566 |          0.181 |      -0.17%
        memcmp (GNU libc 2.34) |           8 |          1.811 |          1.811 |          2.841 |          1.822 |          5.625 |          4.098 |          0.148 |
             memcmp (LI-PaRAD) |           8 |          1.813 |          1.814 |          2.846 |          1.834 |          7.871 |          4.078 |          0.208 |      -0.68%
        memcmp (GNU libc 2.34) |           9 |          1.811 |          1.811 |          2.849 |          1.832 |          7.862 |          4.594 |          0.235 |
