ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
memcmp (LI-PaRAD)|1|1.813|1.816|2.855|1.837|7.895|0.509|0.026
memcmp (GNU libc 2.34)|1|2.112|2.113|3.166|2.135|6.844|0.438|0.02
memcmp (Arm OR 23.01)|1|1.798|1.799|1.827|1.799|0.176|0.518|0.001
memcmp (LI-PaRAD)|2|1.813|1.816|2.849|1.836|7.864|1.018|0.052
memcmp (GNU libc 2.34)|2|2.414|2.415|3.467|2.436|5.994|0.767|0.033
memcmp (Arm OR 23.01)|2|1.798|1.799|1.809|1.799|0.061|1.035|0.001
memcmp (LI-PaRAD)|3|1.814|1.816|2.85|1.836|7.835|1.527|0.078
memcmp (GNU libc 2.34)|3|2.716|2.717|3.748|2.737|5.245|1.023|0.039
memcmp (Arm OR 23.01)|3|1.798|1.799|1.8|1.799|0.025|1.553|0.0
memcmp (LI-PaRAD)|4|1.812|1.816|2.842|1.836|7.796|2.037|0.103
memcmp (GNU libc 2.34)|4|1.811|1.811|2.844|1.832|7.87|2.042|0.104
memcmp (Arm OR 23.01)|4|1.798|1.799|1.8|1.799|0.027|2.071|0.001
memcmp (LI-PaRAD)|5|1.813|1.816|2.854|1.837|7.902|2.545|0.131
memcmp (GNU libc 2.34)|5|1.811|1.811|2.85|1.822|5.674|2.561|0.093
memcmp (Arm OR 23.01)|5|1.798|1.799|1.8|1.799|0.027|2.589|0.001
memcmp (LI-PaRAD)|6|1.631|1.815|2.839|1.823|5.689|3.071|0.116
memcmp (GNU libc 2.34)|6|1.811|1.811|2.838|1.832|7.821|3.062|0.156
memcmp (Arm OR 23.01)|6|1.798|1.799|1.804|1.799|0.04|3.107|0.001
memcmp (LI-PaRAD)|7|1.813|1.815|2.836|1.835|7.782|3.566|0.181
memcmp (GNU libc 2.34)|7|1.811|1.811|2.841|1.832|7.861|3.572|0.183
memcmp (Arm OR 23.01)|7|1.798|1.799|1.8|1.799|0.027|3.624|0.001
memcmp (LI-PaRAD)|8|1.813|1.814|2.846|1.834|7.871|4.078|0.208
memcmp (GNU libc 2.34)|8|1.811|1.811|2.841|1.822|5.625|4.098|0.148
memcmp (Arm OR 23.01)|8|1.798|1.799|1.813|1.799|0.08|4.141|0.003
memcmp (LI-PaRAD)|9|1.813|1.815|2.846|1.825|5.619|4.602|0.166
memcmp (GNU libc 2.34)|9|1.811|1.811|2.849|1.832|7.862|4.594|0.235
memcmp (Arm OR 23.01)|9|1.798|1.799|1.802|1.799|0.032|4.659|0.001
memcmp (LI-PaRAD)|10|1.814|1.816|2.836|1.836|7.77|5.092|0.258
memcmp (GNU libc 2.34)|10|1.811|1.811|2.844|1.832|7.88|5.105|0.261
memcmp (Arm OR 23.01)|10|1.798|1.799|1.8|1.799|0.027|5.177|0.001
memcmp (LI-PaRAD)|11|1.813|1.815|2.853|1.836|7.916|5.603|0.288
memcmp (GNU libc 2.34)|11|1.81|1.811|2.855|1.822|5.703|5.635|0.206
memcmp (Arm OR 23.01)|11|1.798|1.799|1.806|1.799|0.047|5.695|0.003
memcmp (LI-PaRAD)|12|1.813|1.815|2.849|1.826|5.635|6.134|0.222
memcmp (GNU libc 2.34)|12|1.811|1.811|2.832|1.832|7.795|6.126|0.311
memcmp (Arm OR 23.01)|12|1.798|1.799|1.8|1.799|0.028|6.213|0.002
memcmp (LI-PaRAD)|13|1.813|1.815|2.839|1.835|7.804|6.622|0.337
memcmp (GNU libc 2.34)|13|1.811|1.811|2.846|1.832|7.895|6.637|0.34
memcmp (Arm OR 23.01)|13|1.798|1.799|1.8|1.799|0.026|6.731|0.002
memcmp (LI-PaRAD)|14|1.813|1.815|2.854|1.835|7.887|7.133|0.365
memcmp (GNU libc 2.34)|14|1.81|1.811|2.844|1.822|5.641|7.173|0.26
