        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         memcpy (Arm OR 23.01) |           1 |          1.912 |          1.913 |          1.945 |          1.914 |          0.175 |          0.487 |          0.001 |
             memcpy (LI-PaRAD) |           1 |          1.848 |          1.849 |          1.859 |          1.849 |          0.063 |          0.504 |          0.000 |      +3.50%
         memcpy (Arm OR 23.01) |           2 |          1.913 |          1.913 |          1.915 |          1.913 |          0.029 |          0.973 |          0.000 |
             memcpy (LI-PaRAD) |           2 |          1.848 |          1.849 |          1.853 |          1.849 |          0.034 |          1.007 |          0.000 |      +3.48%
         memcpy (Arm OR 23.01) |           3 |          1.912 |          1.913 |          1.915 |          1.913 |          0.029 |          1.460 |          0.000 |
             memcpy (LI-PaRAD) |           3 |          1.848 |          1.849 |          1.850 |          1.849 |          0.028 |          1.511 |          0.000 |      +3.49%
         memcpy (Arm OR 23.01) |           4 |          1.913 |          1.913 |          1.915 |          1.913 |          0.024 |          1.947 |          0.000 |
             memcpy (LI-PaRAD) |           4 |          1.848 |          1.849 |          1.850 |          1.849 |          0.024 |          2.015 |          0.000 |      +3.48%
         memcpy (Arm OR 23.01) |           5 |          1.912 |          1.913 |          1.915 |          1.913 |          0.028 |          2.434 |          0.001 |
             memcpy (LI-PaRAD) |           5 |          1.848 |          1.848 |          1.856 |          1.849 |          0.046 |          2.519 |          0.001 |      +3.50%
         memcpy (Arm OR 23.01) |           6 |          1.912 |          1.913 |          1.920 |          1.913 |          0.057 |          2.921 |          0.002 |
             memcpy (LI-PaRAD) |           6 |          1.848 |          1.849 |          1.850 |          1.849 |          0.030 |          3.023 |          0.001 |      +3.48%
         memcpy (Arm OR 23.01) |           7 |          1.912 |          1.913 |          1.915 |          1.913 |          0.027 |          3.408 |          0.001 |
             memcpy (LI-PaRAD) |           7 |          1.848 |          1.848 |          1.861 |          1.849 |          0.070 |          3.527 |          0.002 |      +3.49%
         memcpy (Arm OR 23.01) |           8 |          1.913 |          1.913 |          1.919 |          1.914 |          0.039 |          3.894 |          0.002 |
             memcpy (LI-PaRAD) |           8 |          1.848 |          1.849 |          1.851 |          1.849 |          0.027 |          4.030 |          0.001 |      +3.50%
         memcpy (Arm OR 23.01) |           9 |          1.913 |          1.913 |          1.915 |          1.913 |          0.026 |          4.381 |          0.001 |
             memcpy (LI-PaRAD) |           9 |          1.848 |          1.849 |          1.851 |          1.849 |          0.030 |          4.534 |          0.001 |      +3.50%
         memcpy (Arm OR 23.01) |          10 |          1.912 |          1.913 |          1.914 |          1.913 |          0.025 |          4.868 |          0.001 |
             memcpy (LI-PaRAD) |          10 |          1.848 |          1.849 |          1.853 |          1.849 |          0.035 |          5.037 |          0.002 |      +3.48%
         memcpy (Arm OR 23.01) |          11 |          1.912 |          1.913 |          1.920 |          1.913 |          0.046 |          5.355 |          0.002 |
             memcpy (LI-PaRAD) |          11 |          1.847 |          1.848 |          1.850 |          1.848 |          0.030 |          5.542 |          0.002 |      +3.51%
