ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
memcpy (LI-PaRAD)|1|1.847|1.847|1.859|1.848|0.099|0.504|0.0
memcpy (GNU libc 2.34)|1|2.106|2.107|2.14|2.108|0.177|0.442|0.001
memcpy (Arm OR 23.01)|1|1.912|1.913|1.945|1.914|0.175|0.487|0.001
memcpy (LI-PaRAD)|2|1.864|1.865|1.869|1.865|0.039|0.999|0.0
memcpy (GNU libc 2.34)|2|2.106|2.107|2.11|2.107|0.052|0.884|0.0
memcpy (Arm OR 23.01)|2|1.913|1.913|1.915|1.913|0.029|0.973|0.0
memcpy (LI-PaRAD)|3|1.847|1.847|1.855|1.848|0.056|1.512|0.001
memcpy (GNU libc 2.34)|3|2.106|2.106|2.116|2.107|0.077|1.326|0.001
memcpy (Arm OR 23.01)|3|1.912|1.913|1.915|1.913|0.029|1.46|0.0
memcpy (LI-PaRAD)|4|1.863|1.865|1.869|1.865|0.048|1.998|0.001
memcpy (GNU libc 2.34)|4|1.805|1.806|1.811|1.806|0.052|2.063|0.001
memcpy (Arm OR 23.01)|4|1.913|1.913|1.915|1.913|0.024|1.947|0.0
memcpy (LI-PaRAD)|5|1.846|1.847|1.852|1.847|0.048|2.521|0.001
memcpy (GNU libc 2.34)|5|1.805|1.805|2.107|1.82|3.421|2.562|0.077
memcpy (Arm OR 23.01)|5|1.912|1.913|1.915|1.913|0.028|2.434|0.001
memcpy (LI-PaRAD)|6|1.863|1.865|1.871|1.865|0.052|2.996|0.002
memcpy (GNU libc 2.34)|6|1.805|1.805|1.814|1.805|0.068|3.095|0.002
memcpy (Arm OR 23.01)|6|1.912|1.913|1.92|1.913|0.057|2.921|0.002
memcpy (LI-PaRAD)|7|1.846|1.847|1.853|1.847|0.047|3.529|0.002
memcpy (GNU libc 2.34)|7|1.805|1.805|1.81|1.806|0.05|3.61|0.002
memcpy (Arm OR 23.01)|7|1.912|1.913|1.915|1.913|0.027|3.408|0.001
memcpy (LI-PaRAD)|8|1.863|1.865|1.869|1.865|0.05|3.995|0.002
memcpy (GNU libc 2.34)|8|1.805|1.805|1.81|1.806|0.04|4.126|0.002
memcpy (Arm OR 23.01)|8|1.913|1.913|1.919|1.914|0.039|3.894|0.002
memcpy (LI-PaRAD)|9|1.846|1.847|1.853|1.848|0.052|4.537|0.002
memcpy (GNU libc 2.34)|9|1.735|1.806|1.811|1.805|0.392|4.644|0.019
memcpy (Arm OR 23.01)|9|1.913|1.913|1.915|1.913|0.026|4.381|0.001
memcpy (LI-PaRAD)|10|1.863|1.864|1.868|1.864|0.059|4.996|0.003
memcpy (GNU libc 2.34)|10|1.805|1.805|1.807|1.805|0.032|5.159|0.002
memcpy (Arm OR 23.01)|10|1.912|1.913|1.914|1.913|0.025|4.868|0.001
memcpy (LI-PaRAD)|11|1.846|1.847|1.852|1.847|0.044|5.546|0.002
memcpy (GNU libc 2.34)|11|1.505|1.805|1.811|1.801|1.891|5.69|0.126
memcpy (Arm OR 23.01)|11|1.912|1.913|1.92|1.913|0.046|5.355|0.002
memcpy (LI-PaRAD)|12|1.863|1.865|1.87|1.865|0.073|5.992|0.004
memcpy (GNU libc 2.34)|12|1.805|1.805|1.81|1.805|0.04|6.19|0.002
memcpy (Arm OR 23.01)|12|1.912|1.913|1.914|1.913|0.026|5.842|0.002
memcpy (LI-PaRAD)|13|1.846|1.847|1.852|1.848|0.048|6.553|0.003
memcpy (GNU libc 2.34)|13|1.805|1.806|1.807|1.806|0.03|6.704|0.002
memcpy (Arm OR 23.01)|13|1.913|1.913|1.924|1.914|0.061|6.327|0.004
memcpy (LI-PaRAD)|14|1.863|1.865|1.87|1.865|0.061|6.991|0.004
memcpy (GNU libc 2.34)|14|1.805|1.806|1.812|1.806|0.049|7.22|0.004
memcpy (Arm OR 23.01)|14|1.913|1.913|1.918|1.914|0.044|6.814|0.003
memcpy (LI-PaRAD)|15|1.846|1.847|1.849|1.847|0.036|7.563|0.003
memcpy (GNU libc 2.34)|15|1.797|1.805|1.81|1.806|0.069|7.737|0.005
memcpy (Arm OR 23.01)|15|1.912|1.913|1.915|1.913|0.027|7.302|0.002
memcpy (LI-PaRAD)|16|1.863|1.864|1.87|1.864|0.057|7.993|0.005
memcpy (GNU libc 2.34)|16|1.805|1.805|1.807|1.806|0.03|8.253|0.002
memcpy (Arm OR 23.01)|16|1.912|1.913|1.915|1.913|0.025|7.788|0.002
memcpy (LI-PaRAD)|17|1.908|1.909|1.915|1.909|0.052|8.294|0.004
memcpy (GNU libc 2.34)|17|1.805|1.806|1.81|1.806|0.04|8.768|0.004
memcpy (Arm OR 23.01)|17|1.911|1.912|1.914|1.912|0.026|8.28|0.002
memcpy (LI-PaRAD)|18|1.916|1.917|1.919|1.917|0.035|8.744|0.003
memcpy (GNU libc 2.34)|18|1.805|1.806|1.812|1.806|0.057|9.281|0.005
memcpy (Arm OR 23.01)|18|1.911|1.912|1.914|1.912|0.031|8.766|0.003
memcpy (LI-PaRAD)|19|1.908|1.908|1.913|1.909|0.041|9.271|0.004
memcpy (GNU libc 2.34)|19|1.804|1.805|1.815|1.806|0.082|9.801|0.008
memcpy (Arm OR 23.01)|19|1.911|1.912|1.914|1.912|0.025|9.255|0.002
memcpy (LI-PaRAD)|20|1.916|1.917|1.922|1.917|0.049|9.716|0.005
memcpy (GNU libc 2.34)|20|1.805|1.805|1.807|1.805|0.031|10.317|0.003
memcpy (Arm OR 23.01)|20|1.911|1.912|1.914|1.912|0.026|9.739|0.003
memcpy (LI-PaRAD)|21|1.908|1.909|1.913|1.909|0.043|10.246|0.004
memcpy (GNU libc 2.34)|21|1.804|1.805|1.807|1.806|0.032|10.832|0.003
memcpy (Arm OR 23.01)|21|1.911|1.912|1.916|1.912|0.034|10.229|0.003
memcpy (LI-PaRAD)|22|1.916|1.917|1.922|1.917|0.044|10.685|0.005
memcpy (GNU libc 2.34)|22|1.805|1.808|1.815|1.809|0.185|11.325|0.021
memcpy (Arm OR 23.01)|22|1.912|1.912|1.915|1.912|0.028|10.714|0.003
memcpy (LI-PaRAD)|23|1.908|1.909|1.914|1.909|0.043|11.222|0.005
memcpy (GNU libc 2.34)|23|1.805|1.805|1.811|1.806|0.048|11.863|0.006
memcpy (Arm OR 23.01)|23|1.911|1.912|1.913|1.912|0.026|11.203|0.003
memcpy (LI-PaRAD)|24|1.909|1.909|1.915|1.91|0.047|11.705|0.005
memcpy (GNU libc 2.34)|24|1.805|1.805|1.81|1.806|0.041|12.379|0.005
memcpy (Arm OR 23.01)|24|1.916|1.917|1.919|1.917|0.028|11.658|0.003
memcpy (LI-PaRAD)|25|1.908|1.909|1.913|1.909|0.041|12.197|0.005
memcpy (GNU libc 2.34)|25|1.805|1.805|1.808|1.805|0.037|12.897|0.005
memcpy (Arm OR 23.01)|25|1.911|1.912|1.914|1.912|0.025|12.174|0.003
memcpy (LI-PaRAD)|26|1.909|1.91|1.911|1.91|0.033|12.679|0.004
memcpy (GNU libc 2.34)|26|1.805|1.805|1.81|1.806|0.04|13.411|0.005
memcpy (Arm OR 23.01)|26|1.917|1.917|1.919|1.917|0.025|12.628|0.003
memcpy (LI-PaRAD)|27|1.908|1.909|1.911|1.909|0.032|13.173|0.004
memcpy (GNU libc 2.34)|27|1.805|1.806|1.811|1.806|0.049|13.925|0.007
memcpy (Arm OR 23.01)|27|1.911|1.912|1.916|1.912|0.034|13.149|0.004
memcpy (LI-PaRAD)|28|1.908|1.909|1.914|1.91|0.049|13.656|0.007
memcpy (GNU libc 2.34)|28|1.805|1.805|1.807|1.806|0.032|14.442|0.005
