        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         strchr (Arm OR 23.01) |           1 |          4.778 |          4.780 |          4.816 |          4.781 |          0.090 |          0.195 |          0.000 |
             strchr (LI-PaRAD) |           1 |          1.820 |          1.821 |          1.822 |          1.821 |          0.031 |          0.512 |          0.000 |    +162.62%
         strchr (Arm OR 23.01) |           2 |          4.778 |          4.779 |          4.782 |          4.779 |          0.018 |          0.390 |          0.000 |
             strchr (LI-PaRAD) |           2 |          1.820 |          1.821 |          1.822 |          1.821 |          0.032 |          1.023 |          0.000 |    +162.49%
         strchr (Arm OR 23.01) |           3 |          4.778 |          4.780 |          4.787 |          4.780 |          0.023 |          0.585 |          0.000 |
             strchr (LI-PaRAD) |           3 |          1.820 |          1.821 |          1.826 |          1.821 |          0.051 |          1.534 |          0.001 |    +162.50%
         strchr (Arm OR 23.01) |           4 |          4.778 |          4.780 |          4.785 |          4.780 |          0.022 |          0.779 |          0.000 |
             strchr (LI-PaRAD) |           4 |          1.820 |          1.821 |          1.823 |          1.821 |          0.032 |          2.046 |          0.001 |    +162.48%
         strchr (Arm OR 23.01) |           5 |          4.777 |          4.779 |          4.782 |          4.779 |          0.020 |          0.974 |          0.000 |
             strchr (LI-PaRAD) |           5 |          1.820 |          1.821 |          1.822 |          1.821 |          0.030 |          2.557 |          0.001 |    +162.48%
         strchr (Arm OR 23.01) |           6 |          4.778 |          4.779 |          4.781 |          4.779 |          0.017 |          1.169 |          0.000 |
             strchr (LI-PaRAD) |           6 |          1.820 |          1.820 |          1.822 |          1.821 |          0.029 |          3.069 |          0.001 |    +162.51%
         strchr (Arm OR 23.01) |           7 |          4.777 |          4.779 |          4.781 |          4.779 |          0.017 |          1.364 |          0.000 |
             strchr (LI-PaRAD) |           7 |          1.820 |          1.821 |          1.822 |          1.821 |          0.030 |          3.580 |          0.001 |    +162.47%
         strchr (Arm OR 23.01) |           8 |          4.778 |          4.780 |          4.786 |          4.780 |          0.025 |          1.559 |          0.000 |
             strchr (LI-PaRAD) |           8 |          1.820 |          1.821 |          1.822 |          1.821 |          0.028 |          4.092 |          0.001 |    +162.51%
         strchr (Arm OR 23.01) |           9 |          4.777 |          4.779 |          4.781 |          4.779 |          0.016 |          1.754 |          0.000 |
             strchr (LI-PaRAD) |           9 |          1.820 |          1.821 |          1.824 |          1.821 |          0.035 |          4.603 |          0.002 |    +162.46%
         strchr (Arm OR 23.01) |          10 |          4.778 |          4.779 |          4.785 |          4.780 |          0.020 |          1.949 |          0.000 |
