ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strchr (LI-PaRAD)|1|1.811|1.811|1.813|1.812|0.026|0.514|0.0
strchr (GNU libc 2.34)|1|1.818|1.818|1.852|1.819|0.225|0.512|0.001
strchr (Arm OR 23.01)|1|4.778|4.78|4.816|4.781|0.09|0.195|0.0
strchr (LI-PaRAD)|2|1.811|1.811|1.813|1.812|0.025|1.028|0.0
strchr (GNU libc 2.34)|2|1.818|1.819|1.823|1.819|0.041|1.024|0.0
strchr (Arm OR 23.01)|2|4.778|4.779|4.782|4.779|0.018|0.39|0.0
strchr (LI-PaRAD)|3|1.811|1.811|1.817|1.812|0.059|1.542|0.001
strchr (GNU libc 2.34)|3|1.818|1.819|1.82|1.819|0.024|1.536|0.0
strchr (Arm OR 23.01)|3|4.778|4.78|4.787|4.78|0.023|0.585|0.0
strchr (LI-PaRAD)|4|1.811|1.812|1.817|1.812|0.045|2.056|0.001
strchr (GNU libc 2.34)|4|1.818|1.819|1.82|1.819|0.026|2.048|0.001
strchr (Arm OR 23.01)|4|4.778|4.78|4.785|4.78|0.022|0.779|0.0
strchr (LI-PaRAD)|5|1.811|1.812|1.818|1.812|0.044|2.57|0.001
strchr (GNU libc 2.34)|5|1.818|1.819|1.824|1.819|0.041|2.56|0.001
strchr (Arm OR 23.01)|5|4.777|4.779|4.782|4.779|0.02|0.974|0.0
strchr (LI-PaRAD)|6|1.811|1.812|1.818|1.812|0.048|3.084|0.001
strchr (GNU libc 2.34)|6|1.818|1.819|1.824|1.819|0.042|3.072|0.001
strchr (Arm OR 23.01)|6|4.778|4.779|4.781|4.779|0.017|1.169|0.0
strchr (LI-PaRAD)|7|1.811|1.812|1.817|1.812|0.049|3.598|0.002
strchr (GNU libc 2.34)|7|1.818|1.819|1.82|1.819|0.026|3.584|0.001
strchr (Arm OR 23.01)|7|4.777|4.779|4.781|4.779|0.017|1.364|0.0
strchr (LI-PaRAD)|8|1.811|1.811|1.817|1.812|0.038|4.113|0.002
strchr (GNU libc 2.34)|8|1.818|1.819|1.82|1.819|0.028|4.096|0.001
strchr (Arm OR 23.01)|8|4.778|4.78|4.786|4.78|0.025|1.559|0.0
strchr (LI-PaRAD)|9|1.811|1.812|1.813|1.812|0.025|4.626|0.001
strchr (GNU libc 2.34)|9|1.818|1.819|1.823|1.819|0.044|4.608|0.002
strchr (Arm OR 23.01)|9|4.777|4.779|4.781|4.779|0.016|1.754|0.0
