        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         strcmp (Arm OR 23.01) |           1 |          4.842 |          4.900 |          4.920 |          4.885 |          0.699 |          0.191 |          0.001 |
             strcmp (LI-PaRAD) |           1 |          1.802 |          1.802 |          1.804 |          1.802 |          0.028 |          0.517 |          0.000 |    +171.03%
         strcmp (Arm OR 23.01) |           2 |          4.880 |          4.893 |          4.927 |          4.898 |          0.349 |          0.380 |          0.001 |
             strcmp (LI-PaRAD) |           2 |          1.802 |          1.802 |          1.804 |          1.802 |          0.027 |          1.033 |          0.000 |    +171.77%
         strcmp (Arm OR 23.01) |           3 |          4.880 |          4.895 |          4.919 |          4.897 |          0.328 |          0.571 |          0.002 |
             strcmp (LI-PaRAD) |           3 |          1.802 |          1.802 |          1.812 |          1.802 |          0.063 |          1.550 |          0.001 |    +171.69%
         strcmp (Arm OR 23.01) |           4 |          4.880 |          4.894 |          4.920 |          4.898 |          0.326 |          0.761 |          0.002 |
             strcmp (LI-PaRAD) |           4 |          1.802 |          1.802 |          1.808 |          1.802 |          0.042 |          2.067 |          0.001 |    +171.75%
         strcmp (Arm OR 23.01) |           5 |          4.879 |          4.891 |          4.920 |          4.895 |          0.322 |          0.951 |          0.003 |
             strcmp (LI-PaRAD) |           5 |          1.802 |          1.802 |          1.804 |          1.802 |          0.028 |          2.584 |          0.001 |    +171.62%
         strcmp (Arm OR 23.01) |           6 |          4.879 |          4.888 |          4.919 |          4.896 |          0.341 |          1.141 |          0.004 |
             strcmp (LI-PaRAD) |           6 |          1.802 |          1.802 |          1.807 |          1.802 |          0.043 |          3.100 |          0.001 |    +171.64%
         strcmp (Arm OR 23.01) |           7 |          4.879 |          4.905 |          4.919 |          4.901 |          0.338 |          1.330 |          0.004 |
             strcmp (LI-PaRAD) |           7 |          1.801 |          1.802 |          1.803 |          1.802 |          0.025 |          3.618 |          0.001 |    +171.98%
         strcmp (Arm OR 23.01) |           8 |          4.878 |          4.898 |          4.918 |          4.898 |          0.335 |          1.521 |          0.005 |
             strcmp (LI-PaRAD) |           8 |          1.801 |          1.802 |          1.803 |          1.802 |          0.026 |          4.135 |          0.001 |    +171.83%
         strcmp (Arm OR 23.01) |           9 |          4.878 |          4.900 |          4.918 |          4.897 |          0.329 |          1.712 |          0.006 |
             strcmp (LI-PaRAD) |           9 |          1.801 |          1.802 |          1.803 |          1.802 |          0.027 |          4.652 |          0.001 |    +171.80%
         strcmp (Arm OR 23.01) |          10 |          4.878 |          4.886 |          4.918 |          4.894 |          0.329 |          1.903 |          0.006 |
             strcmp (LI-PaRAD) |          10 |          1.801 |          1.802 |          1.803 |          1.802 |          0.024 |          5.169 |          0.001 |    +171.64%
         strcmp (Arm OR 23.01) |          11 |          4.878 |          4.896 |          4.918 |          4.897 |          0.341 |          2.092 |          0.007 |
             strcmp (LI-PaRAD) |          11 |          1.801 |          1.802 |          1.803 |          1.802 |          0.025 |          5.686 |          0.001 |    +171.79%
         strcmp (Arm OR 23.01) |          12 |          4.878 |          4.906 |          4.918 |          4.900 |          0.333 |          2.281 |          0.008 |
             strcmp (LI-PaRAD) |          12 |          1.801 |          1.802 |          1.803 |          1.802 |          0.024 |          6.202 |          0.001 |    +171.93%
         strcmp (Arm OR 23.01) |          13 |          4.879 |          4.901 |          4.918 |          4.899 |          0.345 |          2.471 |          0.009 |
             strcmp (LI-PaRAD) |          13 |          1.801 |          1.802 |          1.803 |          1.802 |          0.027 |          6.720 |          0.002 |    +171.92%
         strcmp (Arm OR 23.01) |          14 |          4.878 |          4.898 |          4.918 |          4.897 |          0.339 |          2.663 |          0.009 |
             strcmp (LI-PaRAD) |          14 |          1.801 |          1.802 |          1.803 |          1.802 |          0.023 |          7.236 |          0.002 |    +171.78%
         strcmp (Arm OR 23.01) |          15 |          4.878 |          4.903 |          4.918 |          4.898 |          0.331 |          2.852 |          0.009 |
             strcmp (LI-PaRAD) |          15 |          1.801 |          1.802 |          1.803 |          1.802 |          0.026 |          7.753 |          0.002 |    +171.82%
         strcmp (Arm OR 23.01) |          16 |          5.141 |          5.183 |          5.304 |          5.186 |          0.804 |          2.873 |          0.023 |
             strcmp (LI-PaRAD) |          16 |          2.580 |          2.626 |          2.634 |          2.621 |          0.523 |          5.685 |          0.030 |     +97.84%
         strcmp (Arm OR 23.01) |          17 |          5.141 |          5.180 |          5.319 |          5.185 |          0.820 |          3.054 |          0.025 |
             strcmp (LI-PaRAD) |          17 |          2.608 |          2.618 |          2.648 |          2.619 |          0.285 |          6.045 |          0.017 |     +97.96%
         strcmp (Arm OR 23.01) |          18 |          5.141 |          5.177 |          5.315 |          5.182 |          0.743 |          3.235 |          0.024 |
             strcmp (LI-PaRAD) |          18 |          2.589 |          2.614 |          2.635 |          2.615 |          0.323 |          6.410 |          0.021 |     +98.12%
         strcmp (Arm OR 23.01) |          19 |          5.141 |          5.176 |          5.292 |          5.181 |          0.760 |          3.416 |          0.026 |
             strcmp (LI-PaRAD) |          19 |          2.613 |          2.620 |          2.640 |          2.621 |          0.210 |          6.751 |          0.014 |     +97.66%
         strcmp (Arm OR 23.01) |          20 |          5.141 |          5.216 |          5.362 |          5.203 |          0.928 |          3.580 |          0.033 |
             strcmp (LI-PaRAD) |          20 |          2.585 |          2.619 |          2.634 |          2.618 |          0.402 |          7.116 |          0.029 |     +98.76%
         strcmp (Arm OR 23.01) |          21 |          5.141 |          5.188 |          5.329 |          5.192 |          0.964 |          3.767 |          0.036 |
             strcmp (LI-PaRAD) |          21 |          2.613 |          2.618 |          2.640 |          2.621 |          0.218 |          7.463 |          0.016 |     +98.14%
         strcmp (Arm OR 23.01) |          22 |          5.141 |          5.188 |          5.331 |          5.189 |          0.923 |          3.949 |          0.036 |
             strcmp (LI-PaRAD) |          22 |          2.597 |          2.618 |          2.634 |          2.617 |          0.359 |          7.828 |          0.028 |     +98.26%
         strcmp (Arm OR 23.01) |          23 |          5.141 |          5.196 |          5.329 |          5.190 |          0.880 |          4.128 |          0.036 |
             strcmp (LI-PaRAD) |          23 |          2.596 |          2.617 |          2.632 |          2.618 |          0.289 |          8.181 |          0.024 |     +98.21%
         strcmp (Arm OR 23.01) |          24 |          5.141 |          5.217 |          5.330 |          5.194 |          0.826 |          4.303 |          0.035 |
             strcmp (LI-PaRAD) |          24 |          2.607 |          2.623 |          2.638 |          2.623 |          0.287 |          8.522 |          0.024 |     +98.05%
         strcmp (Arm OR 23.01) |          25 |          5.141 |          5.197 |          5.330 |          5.193 |          0.939 |          4.484 |          0.042 |
             strcmp (LI-PaRAD) |          25 |          2.579 |          2.614 |          2.638 |          2.617 |          0.351 |          8.896 |          0.031 |     +98.42%
         strcmp (Arm OR 23.01) |          26 |          5.141 |          5.175 |          5.292 |          5.179 |          0.786 |          4.676 |          0.037 |
             strcmp (LI-PaRAD) |          26 |          2.607 |          2.623 |          2.640 |          2.623 |          0.309 |          9.231 |          0.029 |     +97.42%
         strcmp (Arm OR 23.01) |          27 |          5.141 |          5.177 |          5.331 |          5.187 |          0.967 |          4.848 |          0.046 |
             strcmp (LI-PaRAD) |          27 |          2.578 |          2.612 |          2.633 |          2.614 |          0.352 |          9.618 |          0.034 |     +98.40%
         strcmp (Arm OR 23.01) |          28 |          5.141 |          5.143 |          5.254 |          5.165 |          0.633 |          5.049 |          0.032 |
             strcmp (LI-PaRAD) |          28 |          2.607 |          2.622 |          2.638 |          2.621 |          0.312 |          9.951 |          0.031 |     +97.09%
         strcmp (Arm OR 23.01) |          29 |          5.141 |          5.158 |          5.374 |          5.184 |          1.042 |          5.210 |          0.054 |
             strcmp (LI-PaRAD) |          29 |          2.608 |          2.614 |          2.634 |          2.617 |          0.301 |         10.319 |          0.031 |     +98.07%
         strcmp (Arm OR 23.01) |          30 |          5.141 |          5.143 |          5.329 |          5.176 |          0.985 |          5.399 |          0.052 |
             strcmp (LI-PaRAD) |          30 |          2.578 |          2.613 |          2.634 |          2.616 |          0.361 |         10.681 |          0.039 |     +97.85%
         strcmp (Arm OR 23.01) |          31 |          5.141 |          5.145 |          5.329 |          5.179 |          0.978 |          5.576 |          0.054 |
             strcmp (LI-PaRAD) |          31 |          2.607 |          2.623 |          2.638 |          2.623 |          0.283 |         11.009 |          0.031 |     +97.47%
         strcmp (Arm OR 23.01) |          32 |          6.030 |          6.215 |          6.343 |          6.231 |          0.916 |          4.783 |          0.044 |
             strcmp (LI-PaRAD) |          32 |          3.771 |          3.780 |          3.809 |          3.786 |          0.353 |          7.873 |          0.028 |     +64.61%
         strcmp (Arm OR 23.01) |          33 |          6.167 |          6.224 |          6.343 |          6.237 |          0.802 |          4.928 |          0.039 |
             strcmp (LI-PaRAD) |          33 |          3.748 |          3.768 |          3.777 |          3.768 |          0.188 |          8.156 |          0.015 |     +65.53%
         strcmp (Arm OR 23.01) |          34 |          6.115 |          6.223 |          6.342 |          6.233 |          0.770 |          5.080 |          0.039 |
             strcmp (LI-PaRAD) |          34 |          3.766 |          3.780 |          3.805 |          3.785 |          0.367 |          8.365 |          0.031 |     +64.67%
         strcmp (Arm OR 23.01) |          35 |          6.124 |          6.193 |          6.381 |          6.225 |          0.812 |          5.237 |          0.042 |
             strcmp (LI-PaRAD) |          35 |          3.758 |          3.768 |          3.777 |          3.768 |          0.173 |          8.652 |          0.015 |     +65.22%
         strcmp (Arm OR 23.01) |          36 |          6.186 |          6.193 |          6.343 |          6.218 |          0.736 |          5.392 |          0.039 |
             strcmp (LI-PaRAD) |          36 |          3.770 |          3.779 |          3.805 |          3.785 |          0.352 |          8.858 |          0.031 |     +64.27%
         strcmp (Arm OR 23.01) |          37 |          6.115 |          6.213 |          6.343 |          6.229 |          0.757 |          5.532 |          0.042 |
             strcmp (LI-PaRAD) |          37 |          3.752 |          3.770 |          3.804 |          3.770 |          0.232 |          9.141 |          0.021 |     +65.24%
         strcmp (Arm OR 23.01) |          38 |          6.033 |          6.194 |          6.363 |          6.221 |          0.862 |          5.689 |          0.049 |
             strcmp (LI-PaRAD) |          38 |          3.751 |          3.782 |          3.805 |          3.785 |          0.389 |          9.350 |          0.036 |     +64.36%
         strcmp (Arm OR 23.01) |          39 |          6.123 |          6.194 |          6.344 |          6.215 |          0.726 |          5.845 |          0.042 |
             strcmp (LI-PaRAD) |          39 |          3.753 |          3.768 |          3.777 |          3.768 |          0.176 |          9.638 |          0.017 |     +64.92%
         strcmp (Arm OR 23.01) |          40 |          6.113 |          6.209 |          6.344 |          6.228 |          0.807 |          5.982 |          0.048 |
             strcmp (LI-PaRAD) |          40 |          3.771 |          3.789 |          3.803 |          3.787 |          0.214 |          9.836 |          0.021 |     +64.44%
         strcmp (Arm OR 23.01) |          41 |          6.125 |          6.230 |          6.343 |          6.243 |          0.822 |          6.117 |          0.050 |
             strcmp (LI-PaRAD) |          41 |          3.786 |          3.791 |          3.828 |          3.794 |          0.162 |         10.065 |          0.016 |     +64.56%
         strcmp (Arm OR 23.01) |          42 |          5.999 |          6.195 |          6.398 |          6.227 |          0.960 |          6.282 |          0.060 |
             strcmp (LI-PaRAD) |          42 |          3.771 |          3.789 |          3.803 |          3.787 |          0.232 |         10.328 |          0.024 |     +64.43%
         strcmp (Arm OR 23.01) |          43 |          6.121 |          6.193 |          6.455 |          6.213 |          0.814 |          6.446 |          0.052 |
             strcmp (LI-PaRAD) |          43 |          3.786 |          3.791 |          3.811 |          3.794 |          0.155 |         10.556 |          0.016 |     +63.77%
         strcmp (Arm OR 23.01) |          44 |          6.033 |          6.201 |          6.344 |          6.219 |          0.818 |          6.589 |          0.054 |
             strcmp (LI-PaRAD) |          44 |          3.771 |          3.788 |          3.804 |          3.787 |          0.234 |         10.820 |          0.025 |     +64.21%
         strcmp (Arm OR 23.01) |          45 |          6.037 |          6.194 |          6.324 |          6.207 |          0.718 |          6.752 |          0.048 |
