        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strcmp (GNU libc 2.34) |           1 |          1.808 |          1.809 |          1.840 |          1.809 |          0.199 |          0.515 |          0.001 |
             strcmp (LI-PaRAD) |           1 |          1.807 |          1.808 |          1.811 |          1.808 |          0.034 |          0.515 |          0.000 |      +0.08%
        strcmp (GNU libc 2.34) |           2 |          1.808 |          1.808 |          1.810 |          1.809 |          0.028 |          1.030 |          0.000 |
             strcmp (LI-PaRAD) |           2 |          1.807 |          1.808 |          1.809 |          1.808 |          0.031 |          1.030 |          0.000 |      +0.05%
        strcmp (GNU libc 2.34) |           3 |          1.808 |          1.809 |          1.810 |          1.809 |          0.027 |          1.545 |          0.000 |
             strcmp (LI-PaRAD) |           3 |          1.807 |          1.807 |          1.809 |          1.808 |          0.028 |          1.546 |          0.000 |      +0.06%
        strcmp (GNU libc 2.34) |           4 |          1.808 |          1.808 |          1.810 |          1.809 |          0.029 |          2.060 |          0.001 |
             strcmp (LI-PaRAD) |           4 |          1.807 |          1.807 |          1.814 |          1.808 |          0.045 |          2.061 |          0.001 |      +0.05%
        strcmp (GNU libc 2.34) |           5 |          1.808 |          1.809 |          1.810 |          1.809 |          0.027 |          2.575 |          0.001 |
             strcmp (LI-PaRAD) |           5 |          1.807 |          1.807 |          1.809 |          1.808 |          0.028 |          2.576 |          0.001 |      +0.07%
        strcmp (GNU libc 2.34) |           6 |          1.808 |          1.808 |          1.813 |          1.809 |          0.036 |          3.090 |          0.001 |
             strcmp (LI-PaRAD) |           6 |          1.807 |          1.808 |          1.809 |          1.808 |          0.029 |          3.091 |          0.001 |      +0.04%
        strcmp (GNU libc 2.34) |           7 |          1.808 |          1.809 |          1.814 |          1.809 |          0.039 |          3.604 |          0.001 |
             strcmp (LI-PaRAD) |           7 |          1.807 |          1.808 |          1.810 |          1.808 |          0.030 |          3.606 |          0.001 |      +0.06%
        strcmp (GNU libc 2.34) |           8 |          2.010 |          2.012 |          2.019 |          2.012 |          0.065 |          3.703 |          0.002 |
             strcmp (LI-PaRAD) |           8 |          1.807 |          1.807 |          1.809 |          1.807 |          0.028 |          4.122 |          0.001 |     +11.33%
