        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         strcpy (Arm OR 23.01) |           1 |          4.461 |          4.506 |          4.570 |          4.501 |          0.731 |          0.207 |          0.002 |
             strcpy (LI-PaRAD) |           1 |          1.826 |          1.872 |          1.928 |          1.878 |          2.030 |          0.496 |          0.010 |    +139.72%
         strcpy (Arm OR 23.01) |           2 |          4.461 |          4.491 |          4.539 |          4.496 |          0.718 |          0.414 |          0.003 |
             strcpy (LI-PaRAD) |           2 |          1.826 |          1.872 |          1.928 |          1.873 |          1.641 |          0.995 |          0.016 |    +140.00%
         strcpy (Arm OR 23.01) |           3 |          4.462 |          4.521 |          4.544 |          4.507 |          0.712 |          0.620 |          0.004 |
             strcpy (LI-PaRAD) |           3 |          1.826 |          1.872 |          1.934 |          1.874 |          1.694 |          1.491 |          0.025 |    +140.44%
         strcpy (Arm OR 23.01) |           4 |          4.461 |          4.505 |          4.540 |          4.499 |          0.740 |          0.828 |          0.006 |
             strcpy (LI-PaRAD) |           4 |          1.826 |          1.871 |          1.928 |          1.876 |          1.967 |          1.987 |          0.039 |    +139.86%
         strcpy (Arm OR 23.01) |           5 |          4.462 |          4.508 |          4.540 |          4.502 |          0.736 |          1.034 |          0.008 |
             strcpy (LI-PaRAD) |           5 |          1.826 |          1.872 |          1.929 |          1.873 |          1.580 |          2.487 |          0.039 |    +140.43%
         strcpy (Arm OR 23.01) |           6 |          4.461 |          4.506 |          4.539 |          4.501 |          0.712 |          1.242 |          0.009 |
             strcpy (LI-PaRAD) |           6 |          1.826 |          1.872 |          1.930 |          1.874 |          1.750 |          2.983 |          0.052 |    +140.19%
         strcpy (Arm OR 23.01) |           7 |          4.462 |          4.494 |          4.540 |          4.500 |          0.709 |          1.449 |          0.010 |
             strcpy (LI-PaRAD) |           7 |          1.826 |          1.872 |          1.930 |          1.873 |          1.915 |          3.482 |          0.066 |    +140.22%
         strcpy (Arm OR 23.01) |           8 |          4.462 |          4.518 |          4.540 |          4.506 |          0.703 |          1.654 |          0.012 |
             strcpy (LI-PaRAD) |           8 |          1.826 |          1.872 |          1.928 |          1.874 |          1.600 |          3.976 |          0.063 |    +140.42%
         strcpy (Arm OR 23.01) |           9 |          4.461 |          4.512 |          4.540 |          4.502 |          0.733 |          1.862 |          0.014 |
             strcpy (LI-PaRAD) |           9 |          1.826 |          1.871 |          1.928 |          1.876 |          2.074 |          4.470 |          0.093 |    +140.02%
         strcpy (Arm OR 23.01) |          10 |          4.461 |          4.494 |          4.540 |          4.499 |          0.728 |          2.070 |          0.015 |
             strcpy (LI-PaRAD) |          10 |          1.826 |          1.872 |          1.929 |          1.875 |          1.757 |          4.970 |          0.087 |    +140.00%
         strcpy (Arm OR 23.01) |          11 |          4.462 |          4.491 |          4.543 |          4.499 |          0.768 |          2.277 |          0.017 |
