        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strcpy (GNU libc 2.34) |           1 |          2.105 |          2.106 |          2.141 |          2.107 |          0.177 |          0.442 |          0.001 |
             strcpy (LI-PaRAD) |           1 |          1.816 |          1.861 |          1.918 |          1.865 |          1.719 |          0.500 |          0.009 |     +12.98%
        strcpy (GNU libc 2.34) |           2 |          2.106 |          2.106 |          2.111 |          2.107 |          0.038 |          0.884 |          0.000 |
             strcpy (LI-PaRAD) |           2 |          1.814 |          1.863 |          1.921 |          1.865 |          1.939 |          0.999 |          0.019 |     +12.97%
        strcpy (GNU libc 2.34) |           3 |          1.823 |          1.825 |          1.829 |          1.825 |          0.060 |          1.531 |          0.001 |
             strcpy (LI-PaRAD) |           3 |          1.815 |          1.862 |          1.919 |          1.862 |          2.105 |          1.501 |          0.031 |      -1.97%
        strcpy (GNU libc 2.34) |           4 |          1.825 |          1.826 |          1.833 |          1.826 |          0.047 |          2.040 |          0.001 |
             strcpy (LI-PaRAD) |           4 |          1.814 |          1.863 |          1.922 |          1.865 |          1.501 |          1.998 |          0.030 |      -2.08%
        strcpy (GNU libc 2.34) |           5 |          1.823 |          1.824 |          1.829 |          1.824 |          0.037 |          2.553 |          0.001 |
             strcpy (LI-PaRAD) |           5 |          1.816 |          1.862 |          1.917 |          1.866 |          1.600 |          2.496 |          0.040 |      -2.26%
        strcpy (GNU libc 2.34) |           6 |          1.825 |          1.826 |          1.830 |          1.826 |          0.040 |          3.060 |          0.001 |
             strcpy (LI-PaRAD) |           6 |          1.814 |          1.863 |          1.921 |          1.864 |          1.612 |          2.999 |          0.048 |      -2.04%
        strcpy (GNU libc 2.34) |           7 |          1.823 |          1.824 |          1.830 |          1.824 |          0.050 |          3.574 |          0.002 |
             strcpy (LI-PaRAD) |           7 |          1.815 |          1.862 |          1.919 |          1.864 |          1.988 |          3.498 |          0.069 |      -2.15%
        strcpy (GNU libc 2.34) |           8 |          1.826 |          1.829 |          1.831 |          1.829 |          0.057 |          4.074 |          0.002 |
             strcpy (LI-PaRAD) |           8 |          1.814 |          1.863 |          1.923 |          1.863 |          1.556 |          3.999 |          0.062 |      -1.85%
        strcpy (GNU libc 2.34) |           9 |          1.822 |          1.823 |          1.827 |          1.823 |          0.036 |          4.598 |          0.002 |
             strcpy (LI-PaRAD) |           9 |          1.816 |          1.861 |          1.917 |          1.862 |          1.848 |          4.503 |          0.083 |      -2.12%
        strcpy (GNU libc 2.34) |          10 |          1.826 |          1.829 |          1.834 |          1.829 |          0.063 |          5.092 |          0.003 |
             strcpy (LI-PaRAD) |          10 |          1.814 |          1.863 |          1.921 |          1.866 |          1.818 |          4.993 |          0.091 |      -1.97%
        strcpy (GNU libc 2.34) |          11 |          1.822 |          1.826 |          1.828 |          1.825 |          0.089 |          5.614 |          0.005 |
             strcpy (LI-PaRAD) |          11 |          1.815 |          1.863 |          1.920 |          1.862 |          1.786 |          5.503 |          0.098 |      -2.01%
        strcpy (GNU libc 2.34) |          12 |          1.828 |          1.829 |          1.833 |          1.829 |          0.036 |          6.109 |          0.002 |
             strcpy (LI-PaRAD) |          12 |          1.814 |          1.863 |          1.922 |          1.866 |          1.647 |          5.992 |          0.098 |      -1.95%
        strcpy (GNU libc 2.34) |          13 |          1.822 |          1.823 |          1.828 |          1.823 |          0.048 |          6.642 |          0.003 |
             strcpy (LI-PaRAD) |          13 |          1.816 |          1.862 |          1.918 |          1.867 |          1.948 |          6.488 |          0.126 |      -2.35%
        strcpy (GNU libc 2.34) |          14 |          1.828 |          1.829 |          1.837 |          1.829 |          0.053 |          7.127 |          0.004 |
             strcpy (LI-PaRAD) |          14 |          1.814 |          1.863 |          1.921 |          1.865 |          1.787 |          6.994 |          0.125 |      -1.90%
        strcpy (GNU libc 2.34) |          15 |          1.822 |          1.823 |          1.824 |          1.823 |          0.027 |          7.664 |          0.002 |
             strcpy (LI-PaRAD) |          15 |          1.816 |          1.861 |          1.918 |          1.865 |          1.676 |          7.493 |          0.125 |      -2.26%
        strcpy (GNU libc 2.34) |          16 |          2.100 |          2.101 |          2.104 |          2.101 |          0.048 |          7.091 |          0.003 |
             strcpy (LI-PaRAD) |          16 |          1.917 |          1.921 |          1.926 |          1.921 |          0.072 |          7.758 |          0.006 |      +9.41%
        strcpy (GNU libc 2.34) |          17 |          2.034 |          2.042 |          2.047 |          2.042 |          0.066 |          7.754 |          0.005 |
             strcpy (LI-PaRAD) |          17 |          1.910 |          1.914 |          1.925 |          1.915 |          0.132 |          8.269 |          0.011 |      +6.64%
        strcpy (GNU libc 2.34) |          18 |          2.099 |          2.101 |          2.107 |          2.102 |          0.058 |          7.977 |          0.005 |
