ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strcpy (LI-PaRAD)|1|1.816|1.861|1.918|1.865|1.719|0.5|0.009
strcpy (GNU libc 2.34)|1|2.105|2.106|2.141|2.107|0.177|0.442|0.001
strcpy (Arm OR 23.01)|1|4.461|4.506|4.57|4.501|0.731|0.207|0.002
strcpy (LI-PaRAD)|2|1.814|1.863|1.921|1.865|1.939|0.999|0.019
strcpy (GNU libc 2.34)|2|2.106|2.106|2.111|2.107|0.038|0.884|0.0
strcpy (Arm OR 23.01)|2|4.461|4.491|4.539|4.496|0.718|0.414|0.003
strcpy (LI-PaRAD)|3|1.815|1.862|1.919|1.862|2.105|1.501|0.031
strcpy (GNU libc 2.34)|3|1.823|1.825|1.829|1.825|0.06|1.531|0.001
strcpy (Arm OR 23.01)|3|4.462|4.521|4.544|4.507|0.712|0.62|0.004
strcpy (LI-PaRAD)|4|1.814|1.863|1.922|1.865|1.501|1.998|0.03
strcpy (GNU libc 2.34)|4|1.825|1.826|1.833|1.826|0.047|2.04|0.001
strcpy (Arm OR 23.01)|4|4.461|4.505|4.54|4.499|0.74|0.828|0.006
strcpy (LI-PaRAD)|5|1.816|1.862|1.917|1.866|1.6|2.496|0.04
strcpy (GNU libc 2.34)|5|1.823|1.824|1.829|1.824|0.037|2.553|0.001
strcpy (Arm OR 23.01)|5|4.462|4.508|4.54|4.502|0.736|1.034|0.008
strcpy (LI-PaRAD)|6|1.814|1.863|1.921|1.864|1.612|2.999|0.048
strcpy (GNU libc 2.34)|6|1.825|1.826|1.83|1.826|0.04|3.06|0.001
strcpy (Arm OR 23.01)|6|4.461|4.506|4.539|4.501|0.712|1.242|0.009
strcpy (LI-PaRAD)|7|1.815|1.862|1.919|1.864|1.988|3.498|0.069
strcpy (GNU libc 2.34)|7|1.823|1.824|1.83|1.824|0.05|3.574|0.002
strcpy (Arm OR 23.01)|7|4.462|4.494|4.54|4.5|0.709|1.449|0.01
strcpy (LI-PaRAD)|8|1.814|1.863|1.923|1.863|1.556|3.999|0.062
strcpy (GNU libc 2.34)|8|1.826|1.829|1.831|1.829|0.057|4.074|0.002
strcpy (Arm OR 23.01)|8|4.462|4.518|4.54|4.506|0.703|1.654|0.012
strcpy (LI-PaRAD)|9|1.816|1.861|1.917|1.862|1.848|4.503|0.083
strcpy (GNU libc 2.34)|9|1.822|1.823|1.827|1.823|0.036|4.598|0.002
strcpy (Arm OR 23.01)|9|4.461|4.512|4.54|4.502|0.733|1.862|0.014
strcpy (LI-PaRAD)|10|1.814|1.863|1.921|1.866|1.818|4.993|0.091
strcpy (GNU libc 2.34)|10|1.826|1.829|1.834|1.829|0.063|5.092|0.003
strcpy (Arm OR 23.01)|10|4.461|4.494|4.54|4.499|0.728|2.07|0.015
strcpy (LI-PaRAD)|11|1.815|1.863|1.92|1.862|1.786|5.503|0.098
strcpy (GNU libc 2.34)|11|1.822|1.826|1.828|1.825|0.089|5.614|0.005
strcpy (Arm OR 23.01)|11|4.462|4.491|4.543|4.499|0.768|2.277|0.017
strcpy (LI-PaRAD)|12|1.814|1.863|1.922|1.866|1.647|5.992|0.098
strcpy (GNU libc 2.34)|12|1.828|1.829|1.833|1.829|0.036|6.109|0.002
