        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strncmp (Arm OR 23.01) |           1 |          4.641 |          4.679 |          4.787 |          4.683 |          0.472 |          0.199 |          0.001 |
            strncmp (LI-PaRAD) |           1 |          1.811 |          1.811 |          1.813 |          1.812 |          0.032 |          0.514 |          0.000 |    +158.49%
        strncmp (Arm OR 23.01) |           2 |          4.641 |          4.679 |          4.769 |          4.682 |          0.335 |          0.398 |          0.001 |
            strncmp (LI-PaRAD) |           2 |          1.811 |          1.812 |          1.813 |          1.812 |          0.030 |          1.028 |          0.000 |    +158.41%
        strncmp (Arm OR 23.01) |           3 |          4.640 |          4.680 |          4.774 |          4.678 |          0.323 |          0.597 |          0.002 |
            strncmp (LI-PaRAD) |           3 |          1.811 |          1.811 |          1.813 |          1.812 |          0.030 |          1.542 |          0.000 |    +158.25%
        strncmp (Arm OR 23.01) |           4 |          4.644 |          4.679 |          4.778 |          4.680 |          0.233 |          0.796 |          0.002 |
            strncmp (LI-PaRAD) |           4 |          1.811 |          1.811 |          1.820 |          1.812 |          0.063 |          2.056 |          0.001 |    +158.31%
        strncmp (Arm OR 23.01) |           5 |          4.641 |          4.680 |          4.701 |          4.677 |          0.197 |          0.996 |          0.002 |
            strncmp (LI-PaRAD) |           5 |          1.811 |          1.811 |          1.813 |          1.812 |          0.029 |          2.570 |          0.001 |    +158.19%
        strncmp (Arm OR 23.01) |           6 |          4.641 |          4.680 |          4.697 |          4.677 |          0.231 |          1.195 |          0.003 |
            strncmp (LI-PaRAD) |           6 |          1.811 |          1.811 |          1.813 |          1.811 |          0.030 |          3.085 |          0.001 |    +158.19%
        strncmp (Arm OR 23.01) |           7 |          4.641 |          4.680 |          4.731 |          4.678 |          0.234 |          1.394 |          0.003 |
            strncmp (LI-PaRAD) |           7 |          1.811 |          1.812 |          1.813 |          1.812 |          0.029 |          3.598 |          0.001 |    +158.21%
