        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
       strncmp (GNU libc 2.34) |           1 |          1.959 |          1.962 |          1.987 |          1.963 |          0.236 |          0.474 |          0.001 |
            strncmp (LI-PaRAD) |           1 |          1.815 |          1.815 |          1.818 |          1.815 |          0.030 |          0.513 |          0.000 |      +8.16%
       strncmp (GNU libc 2.34) |           2 |          1.921 |          1.943 |          1.972 |          1.945 |          0.448 |          0.958 |          0.004 |
            strncmp (LI-PaRAD) |           2 |          1.815 |          1.815 |          1.820 |          1.816 |          0.048 |          1.026 |          0.000 |      +7.13%
       strncmp (GNU libc 2.34) |           3 |          1.945 |          1.948 |          1.983 |          1.949 |          0.306 |          1.434 |          0.004 |
            strncmp (LI-PaRAD) |           3 |          1.815 |          1.815 |          1.820 |          1.815 |          0.036 |          1.539 |          0.001 |      +7.34%
       strncmp (GNU libc 2.34) |           4 |          1.942 |          1.945 |          1.967 |          1.945 |          0.191 |          1.915 |          0.004 |
            strncmp (LI-PaRAD) |           4 |          1.815 |          1.816 |          1.817 |          1.816 |          0.026 |          2.052 |          0.001 |      +7.14%
       strncmp (GNU libc 2.34) |           5 |          1.945 |          1.947 |          1.983 |          1.949 |          0.299 |          2.390 |          0.007 |
            strncmp (LI-PaRAD) |           5 |          1.815 |          1.815 |          1.817 |          1.815 |          0.029 |          2.565 |          0.001 |      +7.34%
       strncmp (GNU libc 2.34) |           6 |          1.942 |          1.944 |          1.972 |          1.946 |          0.320 |          2.871 |          0.009 |
            strncmp (LI-PaRAD) |           6 |          1.815 |          1.815 |          1.820 |          1.816 |          0.043 |          3.078 |          0.001 |      +7.21%
       strncmp (GNU libc 2.34) |           7 |          1.944 |          1.948 |          1.988 |          1.951 |          0.549 |          3.341 |          0.018 |
            strncmp (LI-PaRAD) |           7 |          1.815 |          1.815 |          1.821 |          1.816 |          0.053 |          3.591 |          0.002 |      +7.47%
       strncmp (GNU libc 2.34) |           8 |          1.942 |          1.945 |          1.972 |          1.947 |          0.347 |          3.827 |          0.013 |
            strncmp (LI-PaRAD) |           8 |          1.815 |          1.815 |          1.818 |          1.816 |          0.028 |          4.104 |          0.001 |      +7.23%
       strncmp (GNU libc 2.34) |           9 |          2.513 |          2.514 |          2.520 |          2.515 |          0.050 |          3.333 |          0.002 |
            strncmp (LI-PaRAD) |           9 |          1.815 |          1.815 |          1.817 |          1.816 |          0.027 |          4.617 |          0.001 |     +38.50%
       strncmp (GNU libc 2.34) |          10 |          2.511 |          2.513 |          2.522 |          2.513 |          0.068 |          3.706 |          0.003 |
            strncmp (LI-PaRAD) |          10 |          1.815 |          1.815 |          1.820 |          1.815 |          0.034 |          5.130 |          0.002 |     +38.42%
       strncmp (GNU libc 2.34) |          11 |          2.512 |          2.514 |          2.519 |          2.515 |          0.055 |          4.074 |          0.002 |
            strncmp (LI-PaRAD) |          11 |          1.815 |          1.815 |          1.821 |          1.816 |          0.036 |          5.642 |          0.002 |     +38.49%
       strncmp (GNU libc 2.34) |          12 |          2.511 |          2.512 |          2.516 |          2.513 |          0.041 |          4.448 |          0.002 |
