        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
       strncpy (GNU libc 2.34) |           1 |          3.612 |          3.613 |          3.914 |          3.622 |          1.220 |          0.257 |          0.003 |
            strncpy (LI-PaRAD) |           1 |          1.851 |          1.852 |          1.856 |          1.852 |          0.042 |          0.503 |          0.000 |     +95.57%
       strncpy (GNU libc 2.34) |           2 |          3.612 |          3.613 |          3.914 |          3.636 |          2.063 |          0.512 |          0.010 |
            strncpy (LI-PaRAD) |           2 |          1.853 |          1.854 |          1.858 |          1.854 |          0.035 |          1.005 |          0.000 |     +96.15%
       strncpy (GNU libc 2.34) |           3 |          3.612 |          3.613 |          4.215 |          3.628 |          2.387 |          0.770 |          0.016 |
            strncpy (LI-PaRAD) |           3 |          1.851 |          1.852 |          1.857 |          1.852 |          0.046 |          1.509 |          0.001 |     +95.90%
       strncpy (GNU libc 2.34) |           4 |          3.311 |          3.613 |          3.624 |          3.549 |          3.426 |          1.051 |          0.038 |
            strncpy (LI-PaRAD) |           4 |          1.853 |          1.854 |          1.855 |          1.854 |          0.025 |          2.010 |          0.001 |     +91.44%
       strncpy (GNU libc 2.34) |           5 |          3.311 |          3.312 |          3.614 |          3.338 |          2.473 |          1.396 |          0.032 |
            strncpy (LI-PaRAD) |           5 |          1.851 |          1.852 |          1.854 |          1.852 |          0.033 |          2.514 |          0.001 |     +80.21%
       strncpy (GNU libc 2.34) |           6 |          3.311 |          3.312 |          3.614 |          3.386 |          3.833 |          1.652 |          0.061 |
            strncpy (LI-PaRAD) |           6 |          1.853 |          1.853 |          1.855 |          1.854 |          0.026 |          3.015 |          0.001 |     +82.70%
       strncpy (GNU libc 2.34) |           7 |          3.311 |          3.312 |          3.614 |          3.383 |          3.732 |          1.930 |          0.069 |
            strncpy (LI-PaRAD) |           7 |          1.851 |          1.852 |          1.854 |          1.852 |          0.024 |          3.520 |          0.001 |     +82.67%
       strncpy (GNU libc 2.34) |           8 |          3.036 |          3.135 |          3.613 |          3.178 |          3.887 |          2.348 |          0.083 |
            strncpy (LI-PaRAD) |           8 |          1.853 |          1.854 |          1.855 |          1.854 |          0.027 |          4.019 |          0.001 |     +71.44%
       strncpy (GNU libc 2.34) |           9 |          3.115 |          3.268 |          3.613 |          3.249 |          4.361 |          2.585 |          0.108 |
            strncpy (LI-PaRAD) |           9 |          1.850 |          1.852 |          1.856 |          1.852 |          0.044 |          4.527 |          0.002 |     +75.45%
       strncpy (GNU libc 2.34) |          10 |          3.035 |          3.145 |          3.613 |          3.197 |          3.789 |          2.917 |          0.102 |
            strncpy (LI-PaRAD) |          10 |          1.853 |          1.854 |          1.856 |          1.854 |          0.032 |          5.024 |          0.002 |     +72.46%
       strncpy (GNU libc 2.34) |          11 |          3.072 |          3.130 |          3.613 |          3.143 |          2.411 |          3.261 |          0.070 |
            strncpy (LI-PaRAD) |          11 |          1.852 |          1.852 |          1.854 |          1.852 |          0.023 |          5.531 |          0.001 |     +69.71%
       strncpy (GNU libc 2.34) |          12 |          3.121 |          3.139 |          3.614 |          3.178 |          3.906 |          3.522 |          0.124 |
            strncpy (LI-PaRAD) |          12 |          1.853 |          1.854 |          1.859 |          1.854 |          0.038 |          6.028 |          0.002 |     +71.40%
       strncpy (GNU libc 2.34) |          13 |          3.022 |          3.130 |          3.613 |          3.160 |          3.720 |          3.837 |          0.128 |
            strncpy (LI-PaRAD) |          13 |          1.851 |          1.852 |          1.853 |          1.852 |          0.025 |          6.538 |          0.002 |     +70.62%
       strncpy (GNU libc 2.34) |          14 |          3.128 |          3.144 |          3.613 |          3.167 |          3.231 |          4.121 |          0.119 |
            strncpy (LI-PaRAD) |          14 |          1.853 |          1.854 |          1.855 |          1.854 |          0.027 |          7.033 |          0.002 |     +70.82%
       strncpy (GNU libc 2.34) |          15 |          3.110 |          3.129 |          3.613 |          3.153 |          3.315 |          4.435 |          0.131 |
            strncpy (LI-PaRAD) |          15 |          1.851 |          1.852 |          1.853 |          1.852 |          0.026 |          7.543 |          0.002 |     +70.26%
       strncpy (GNU libc 2.34) |          16 |          2.758 |          2.950 |          3.312 |          2.967 |          2.499 |          5.025 |          0.122 |
            strncpy (LI-PaRAD) |          16 |          1.925 |          1.926 |          1.928 |          1.926 |          0.028 |          7.735 |          0.002 |     +54.04%
       strncpy (GNU libc 2.34) |          17 |          3.804 |          3.996 |          4.001 |          3.944 |          1.776 |          4.015 |          0.072 |
            strncpy (LI-PaRAD) |          17 |          1.942 |          1.946 |          1.953 |          1.946 |          0.090 |          8.137 |          0.007 |    +102.71%
       strncpy (GNU libc 2.34) |          18 |          3.809 |          3.950 |          4.008 |          3.931 |          1.930 |          4.266 |          0.083 |
            strncpy (LI-PaRAD) |          18 |          1.944 |          1.947 |          1.954 |          1.947 |          0.072 |          8.610 |          0.006 |    +101.89%
       strncpy (GNU libc 2.34) |          19 |          3.801 |          3.990 |          4.000 |          3.932 |          1.982 |          4.503 |          0.090 |
            strncpy (LI-PaRAD) |          19 |          1.943 |          1.945 |          1.951 |          1.945 |          0.079 |          9.096 |          0.007 |    +102.09%
       strncpy (GNU libc 2.34) |          20 |          3.642 |          3.886 |          3.917 |          3.824 |          2.318 |          4.874 |          0.115 |
            strncpy (LI-PaRAD) |          20 |          1.945 |          1.948 |          1.952 |          1.948 |          0.073 |          9.563 |          0.007 |     +96.32%
       strncpy (GNU libc 2.34) |          21 |          3.813 |          3.952 |          4.002 |          3.927 |          1.860 |          4.982 |          0.094 |
            strncpy (LI-PaRAD) |          21 |          1.941 |          1.946 |          1.950 |          1.946 |          0.076 |         10.053 |          0.008 |    +101.86%
       strncpy (GNU libc 2.34) |          22 |          3.807 |          3.948 |          4.010 |          3.923 |          1.992 |          5.225 |          0.104 |
            strncpy (LI-PaRAD) |          22 |          1.943 |          1.947 |          1.951 |          1.947 |          0.067 |         10.523 |          0.007 |    +101.48%
       strncpy (GNU libc 2.34) |          23 |          3.813 |          3.996 |          4.001 |          3.946 |          1.779 |          5.430 |          0.098 |
            strncpy (LI-PaRAD) |          23 |          1.941 |          1.945 |          1.953 |          1.946 |          0.136 |         11.009 |          0.015 |    +102.80%
       strncpy (GNU libc 2.34) |          24 |          3.790 |          3.950 |          3.998 |          3.915 |          2.088 |          5.712 |          0.120 |
            strncpy (LI-PaRAD) |          24 |          1.947 |          1.951 |          1.954 |          1.951 |          0.073 |         11.458 |          0.008 |    +100.71%
       strncpy (GNU libc 2.34) |          25 |          3.832 |          4.002 |          4.011 |          3.950 |          1.858 |          5.896 |          0.111 |
            strncpy (LI-PaRAD) |          25 |          1.943 |          1.946 |          1.952 |          1.946 |          0.075 |         11.966 |          0.009 |    +103.02%
       strncpy (GNU libc 2.34) |          26 |          3.807 |          3.962 |          3.999 |          3.924 |          2.033 |          6.173 |          0.127 |
            strncpy (LI-PaRAD) |          26 |          1.947 |          1.950 |          1.955 |          1.950 |          0.066 |         12.417 |          0.008 |    +101.21%
       strncpy (GNU libc 2.34) |          27 |          3.818 |          3.997 |          4.008 |          3.953 |          1.701 |          6.363 |          0.110 |
            strncpy (LI-PaRAD) |          27 |          1.942 |          1.945 |          1.956 |          1.945 |          0.085 |         12.925 |          0.011 |    +103.18%
       strncpy (GNU libc 2.34) |          28 |          3.785 |          3.933 |          3.996 |          3.905 |          2.049 |          6.680 |          0.138 |
            strncpy (LI-PaRAD) |          28 |          1.947 |          1.950 |          1.958 |          1.951 |          0.074 |         13.369 |          0.010 |    +100.22%
       strncpy (GNU libc 2.34) |          29 |          3.832 |          4.004 |          4.008 |          3.942 |          1.899 |          6.855 |          0.131 |
            strncpy (LI-PaRAD) |          29 |          1.943 |          1.945 |          1.955 |          1.946 |          0.092 |         13.882 |          0.013 |    +102.60%
       strncpy (GNU libc 2.34) |          30 |          3.804 |          3.957 |          3.999 |          3.925 |          1.972 |          7.121 |          0.142 |
            strncpy (LI-PaRAD) |          30 |          1.946 |          1.950 |          1.954 |          1.950 |          0.069 |         14.327 |          0.010 |    +101.27%
       strncpy (GNU libc 2.34) |          31 |          3.818 |          3.999 |          4.012 |          3.952 |          1.841 |          7.309 |          0.137 |
            strncpy (LI-PaRAD) |          31 |          1.942 |          1.946 |          1.951 |          1.946 |          0.073 |         14.838 |          0.011 |    +103.10%
       strncpy (GNU libc 2.34) |          32 |          3.621 |          3.877 |          3.915 |          3.828 |          2.428 |          7.790 |          0.196 |
            strncpy (LI-PaRAD) |          32 |          2.119 |          2.126 |          2.141 |          2.126 |          0.319 |         14.019 |          0.045 |     +80.08%
       strncpy (GNU libc 2.34) |          33 |          4.570 |          4.584 |          4.715 |          4.597 |          0.750 |          6.686 |          0.049 |
            strncpy (LI-PaRAD) |          33 |          2.249 |          2.250 |          2.255 |          2.251 |          0.038 |         13.656 |          0.005 |    +104.25%
       strncpy (GNU libc 2.34) |          34 |          4.617 |          4.625 |          4.754 |          4.635 |          0.544 |          6.831 |          0.037 |
            strncpy (LI-PaRAD) |          34 |          2.258 |          2.259 |          2.266 |          2.259 |          0.039 |         14.016 |          0.005 |    +105.18%
       strncpy (GNU libc 2.34) |          35 |          4.569 |          4.584 |          4.620 |          4.585 |          0.188 |          7.109 |          0.013 |
            strncpy (LI-PaRAD) |          35 |          2.249 |          2.250 |          2.255 |          2.250 |          0.033 |         14.485 |          0.005 |    +103.75%
       strncpy (GNU libc 2.34) |          36 |          4.468 |          4.482 |          4.636 |          4.491 |          0.762 |          7.466 |          0.055 |
            strncpy (LI-PaRAD) |          36 |          2.258 |          2.259 |          2.264 |          2.259 |          0.045 |         14.840 |          0.007 |     +98.76%
       strncpy (GNU libc 2.34) |          37 |          4.571 |          4.583 |          4.619 |          4.583 |          0.182 |          7.520 |          0.014 |
            strncpy (LI-PaRAD) |          37 |          2.249 |          2.250 |          2.256 |          2.251 |          0.034 |         15.311 |          0.005 |    +103.62%
       strncpy (GNU libc 2.34) |          38 |          4.617 |          4.631 |          4.756 |          4.637 |          0.595 |          7.633 |          0.045 |
            strncpy (LI-PaRAD) |          38 |          2.258 |          2.259 |          2.264 |          2.259 |          0.043 |         15.663 |          0.007 |    +105.22%
       strncpy (GNU libc 2.34) |          39 |          4.571 |          4.583 |          4.708 |          4.590 |          0.605 |          7.914 |          0.047 |
            strncpy (LI-PaRAD) |          39 |          2.249 |          2.250 |          2.252 |          2.250 |          0.027 |         16.140 |          0.004 |    +103.95%
       strncpy (GNU libc 2.34) |          40 |          4.259 |          4.280 |          4.521 |          4.283 |          0.763 |          8.698 |          0.064 |
            strncpy (LI-PaRAD) |          40 |          2.246 |          2.247 |          2.249 |          2.247 |          0.026 |         16.578 |          0.004 |     +90.62%
       strncpy (GNU libc 2.34) |          41 |          4.581 |          4.598 |          4.711 |          4.602 |          0.443 |          8.298 |          0.036 |
            strncpy (LI-PaRAD) |          41 |          2.248 |          2.249 |          2.254 |          2.249 |          0.040 |         16.977 |          0.007 |    +104.59%
       strncpy (GNU libc 2.34) |          42 |          4.545 |          4.561 |          4.703 |          4.569 |          0.594 |          8.562 |          0.050 |
            strncpy (LI-PaRAD) |          42 |          2.246 |          2.247 |          2.249 |          2.247 |          0.023 |         17.406 |          0.004 |    +103.30%
       strncpy (GNU libc 2.34) |          43 |          4.582 |          4.597 |          4.641 |          4.598 |          0.171 |          8.711 |          0.015 |
            strncpy (LI-PaRAD) |          43 |          2.248 |          2.249 |          2.255 |          2.249 |          0.036 |         17.805 |          0.006 |    +104.41%
       strncpy (GNU libc 2.34) |          44 |          4.263 |          4.280 |          4.533 |          4.291 |          1.138 |          9.552 |          0.104 |
            strncpy (LI-PaRAD) |          44 |          2.246 |          2.247 |          2.252 |          2.248 |          0.038 |         18.232 |          0.007 |     +90.89%
       strncpy (GNU libc 2.34) |          45 |          4.566 |          4.579 |          4.615 |          4.581 |          0.221 |          9.149 |          0.020 |
            strncpy (LI-PaRAD) |          45 |          2.248 |          2.249 |          2.254 |          2.249 |          0.032 |         18.633 |          0.006 |    +103.65%
       strncpy (GNU libc 2.34) |          46 |          4.546 |          4.560 |          4.697 |          4.565 |          0.460 |          9.386 |          0.042 |
            strncpy (LI-PaRAD) |          46 |          2.247 |          2.247 |          2.252 |          2.248 |          0.030 |         19.061 |          0.006 |    +103.10%
       strncpy (GNU libc 2.34) |          47 |          4.566 |          4.580 |          4.612 |          4.580 |          0.170 |          9.558 |          0.016 |
            strncpy (LI-PaRAD) |          47 |          2.248 |          2.249 |          2.254 |          2.249 |          0.034 |         19.461 |          0.007 |    +103.61%
       strncpy (GNU libc 2.34) |          48 |          4.279 |          4.296 |          4.524 |          4.316 |          1.307 |         10.358 |          0.131 |
            strncpy (LI-PaRAD) |          48 |          2.246 |          2.247 |          2.252 |          2.247 |          0.033 |         19.892 |          0.007 |     +92.07%
       strncpy (GNU libc 2.34) |          49 |          4.893 |          4.911 |          5.027 |          4.914 |          0.389 |          9.287 |          0.036 |
            strncpy (LI-PaRAD) |          49 |          2.845 |          2.847 |          2.858 |          2.849 |          0.129 |         16.020 |          0.021 |     +72.49%
       strncpy (GNU libc 2.34) |          50 |          4.866 |          4.881 |          5.014 |          4.894 |          0.642 |          9.515 |          0.060 |
            strncpy (LI-PaRAD) |          50 |          2.834 |          2.840 |          2.843 |          2.840 |          0.041 |         16.399 |          0.007 |     +72.35%
       strncpy (GNU libc 2.34) |          51 |          4.874 |          4.891 |          5.207 |          4.900 |          0.899 |          9.693 |          0.083 |
            strncpy (LI-PaRAD) |          51 |          2.845 |          2.846 |          2.851 |          2.846 |          0.035 |         16.689 |          0.006 |     +72.18%
       strncpy (GNU libc 2.34) |          52 |          4.687 |          4.737 |          4.909 |          4.759 |          1.069 |         10.178 |          0.107 |
            strncpy (LI-PaRAD) |          52 |          2.799 |          2.839 |          2.845 |          2.839 |          0.148 |         17.058 |          0.026 |     +67.62%
       strncpy (GNU libc 2.34) |          53 |          4.874 |          4.892 |          5.140 |          4.902 |          0.778 |         10.070 |          0.076 |
            strncpy (LI-PaRAD) |          53 |          2.841 |          2.846 |          2.852 |          2.846 |          0.052 |         17.344 |          0.009 |     +72.24%
       strncpy (GNU libc 2.34) |          54 |          4.866 |          4.881 |          5.021 |          4.894 |          0.530 |         10.277 |          0.054 |
            strncpy (LI-PaRAD) |          54 |          2.834 |          2.840 |          2.846 |          2.840 |          0.045 |         17.710 |          0.008 |     +72.33%
       strncpy (GNU libc 2.34) |          55 |          4.877 |          4.894 |          5.020 |          4.906 |          0.575 |         10.440 |          0.059 |
            strncpy (LI-PaRAD) |          55 |          2.841 |          2.846 |          2.851 |          2.846 |          0.041 |         17.998 |          0.007 |     +72.39%
       strncpy (GNU libc 2.34) |          56 |          4.682 |          4.724 |          4.884 |          4.734 |          0.658 |         11.018 |          0.071 |
            strncpy (LI-PaRAD) |          56 |          2.837 |          2.838 |          2.843 |          2.838 |          0.038 |         18.375 |          0.007 |     +66.79%
       strncpy (GNU libc 2.34) |          57 |          4.873 |          4.888 |          4.994 |          4.895 |          0.437 |         10.845 |          0.047 |
            strncpy (LI-PaRAD) |          57 |          2.845 |          2.846 |          2.849 |          2.846 |          0.024 |         18.652 |          0.005 |     +71.99%
       strncpy (GNU libc 2.34) |          58 |          4.778 |          4.892 |          5.020 |          4.898 |          0.696 |         11.028 |          0.076 |
            strncpy (LI-PaRAD) |          58 |          2.837 |          2.838 |          2.843 |          2.838 |          0.031 |         19.031 |          0.006 |     +72.58%
       strncpy (GNU libc 2.34) |          59 |          4.874 |          4.889 |          5.002 |          4.897 |          0.510 |         11.221 |          0.057 |
            strncpy (LI-PaRAD) |          59 |          2.844 |          2.846 |          2.851 |          2.846 |          0.030 |         19.306 |          0.006 |     +72.06%
       strncpy (GNU libc 2.34) |          60 |          4.690 |          4.724 |          4.904 |          4.741 |          0.997 |         11.788 |          0.115 |
