        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
       strnlen (GNU libc 2.34) |           1 |          1.816 |          1.817 |          1.854 |          1.818 |          0.236 |          0.512 |          0.001 |
            strnlen (LI-PaRAD) |           1 |          1.808 |          1.808 |          1.829 |          1.809 |          0.133 |          0.515 |          0.001 |      +0.49%
       strnlen (GNU libc 2.34) |           2 |          1.816 |          1.817 |          1.819 |          1.817 |          0.036 |          1.025 |          0.000 |
            strnlen (LI-PaRAD) |           2 |          1.808 |          1.808 |          1.814 |          1.809 |          0.051 |          1.030 |          0.001 |      +0.46%
       strnlen (GNU libc 2.34) |           3 |          1.816 |          1.817 |          1.818 |          1.817 |          0.035 |          1.538 |          0.001 |
            strnlen (LI-PaRAD) |           3 |          1.808 |          1.808 |          1.821 |          1.809 |          0.076 |          1.545 |          0.001 |      +0.44%
       strnlen (GNU libc 2.34) |           4 |          1.817 |          1.818 |          1.831 |          1.818 |          0.084 |          2.049 |          0.002 |
            strnlen (LI-PaRAD) |           4 |          1.808 |          1.808 |          1.810 |          1.809 |          0.032 |          2.060 |          0.001 |      +0.53%
       strnlen (GNU libc 2.34) |           5 |          1.817 |          1.818 |          1.830 |          1.818 |          0.080 |          2.561 |          0.002 |
            strnlen (LI-PaRAD) |           5 |          1.808 |          1.808 |          1.816 |          1.809 |          0.071 |          2.575 |          0.002 |      +0.53%
       strnlen (GNU libc 2.34) |           6 |          1.817 |          1.818 |          1.826 |          1.818 |          0.072 |          3.074 |          0.002 |
            strnlen (LI-PaRAD) |           6 |          1.806 |          1.808 |          1.814 |          1.808 |          0.045 |          3.090 |          0.001 |      +0.53%
       strnlen (GNU libc 2.34) |           7 |          1.817 |          1.818 |          1.823 |          1.818 |          0.042 |          3.586 |          0.001 |
            strnlen (LI-PaRAD) |           7 |          1.808 |          1.808 |          1.814 |          1.808 |          0.042 |          3.605 |          0.002 |      +0.53%
       strnlen (GNU libc 2.34) |           8 |          1.817 |          1.818 |          1.823 |          1.818 |          0.059 |          4.098 |          0.002 |
            strnlen (LI-PaRAD) |           8 |          1.808 |          1.808 |          1.811 |          1.808 |          0.035 |          4.120 |          0.001 |      +0.53%
       strnlen (GNU libc 2.34) |           9 |          1.817 |          1.818 |          2.020 |          1.820 |          1.107 |          4.606 |          0.046 |
            strnlen (LI-PaRAD) |           9 |          1.807 |          1.808 |          1.821 |          1.809 |          0.084 |          4.634 |          0.004 |      +0.63%
       strnlen (GNU libc 2.34) |          10 |          1.817 |          1.818 |          1.824 |          1.818 |          0.051 |          5.123 |          0.003 |
            strnlen (LI-PaRAD) |          10 |          1.808 |          1.808 |          1.818 |          1.809 |          0.067 |          5.150 |          0.003 |      +0.52%
       strnlen (GNU libc 2.34) |          11 |          1.817 |          1.818 |          1.823 |          1.818 |          0.043 |          5.635 |          0.002 |
            strnlen (LI-PaRAD) |          11 |          1.808 |          1.808 |          1.814 |          1.809 |          0.043 |          5.664 |          0.002 |      +0.52%
       strnlen (GNU libc 2.34) |          12 |          1.817 |          1.818 |          1.829 |          1.818 |          0.076 |          6.146 |          0.005 |
            strnlen (LI-PaRAD) |          12 |          1.808 |          1.808 |          1.813 |          1.808 |          0.042 |          6.180 |          0.003 |      +0.54%
       strnlen (GNU libc 2.34) |          13 |          1.817 |          1.818 |          1.822 |          1.818 |          0.044 |          6.660 |          0.003 |
            strnlen (LI-PaRAD) |          13 |          1.806 |          1.808 |          1.813 |          1.808 |          0.049 |          6.695 |          0.003 |      +0.53%
       strnlen (GNU libc 2.34) |          14 |          1.817 |          1.818 |          1.820 |          1.818 |          0.035 |          7.172 |          0.003 |
            strnlen (LI-PaRAD) |          14 |          1.808 |          1.808 |          1.813 |          1.808 |          0.047 |          7.210 |          0.003 |      +0.53%
       strnlen (GNU libc 2.34) |          15 |          1.817 |          1.818 |          1.824 |          1.818 |          0.054 |          7.684 |          0.004 |
            strnlen (LI-PaRAD) |          15 |          1.808 |          1.808 |          1.810 |          1.808 |          0.031 |          7.725 |          0.002 |      +0.54%
       strnlen (GNU libc 2.34) |          16 |          1.815 |          1.823 |          1.828 |          1.821 |          0.187 |          8.182 |          0.015 |
            strnlen (LI-PaRAD) |          16 |          1.809 |          1.811 |          1.817 |          1.811 |          0.053 |          8.226 |          0.004 |      +0.54%
       strnlen (GNU libc 2.34) |          17 |          1.913 |          1.925 |          2.004 |          1.931 |          0.906 |          8.202 |          0.073 |
            strnlen (LI-PaRAD) |          17 |          1.806 |          1.806 |          1.820 |          1.807 |          0.100 |          8.762 |          0.009 |      +6.84%
       strnlen (GNU libc 2.34) |          18 |          1.914 |          1.951 |          1.963 |          1.940 |          0.851 |          8.643 |          0.074 |
            strnlen (LI-PaRAD) |          18 |          1.806 |          1.806 |          2.109 |          1.821 |          3.534 |          9.214 |          0.284 |      +6.50%
       strnlen (GNU libc 2.34) |          19 |          1.914 |          1.952 |          1.966 |          1.943 |          0.842 |          9.107 |          0.077 |
            strnlen (LI-PaRAD) |          19 |          1.806 |          2.107 |          2.113 |          2.005 |          7.129 |          8.874 |          0.664 |      -3.06%
       strnlen (GNU libc 2.34) |          20 |          1.921 |          1.952 |          1.959 |          1.943 |          0.682 |          9.586 |          0.066 |
            strnlen (LI-PaRAD) |          20 |          1.806 |          1.806 |          1.948 |          1.808 |          0.782 |         10.302 |          0.075 |      +7.47%
       strnlen (GNU libc 2.34) |          21 |          1.921 |          1.952 |          1.959 |          1.941 |          0.698 |         10.079 |          0.070 |
            strnlen (LI-PaRAD) |          21 |          1.806 |          1.807 |          1.812 |          1.807 |          0.058 |         10.824 |          0.006 |      +7.40%
       strnlen (GNU libc 2.34) |          22 |          1.922 |          1.952 |          1.957 |          1.941 |          0.721 |         10.554 |          0.076 |
            strnlen (LI-PaRAD) |          22 |          1.806 |          1.807 |          2.114 |          1.854 |          5.905 |         11.086 |          0.590 |      +4.72%
       strnlen (GNU libc 2.34) |          23 |          1.922 |          1.952 |          1.976 |          1.943 |          0.722 |         11.024 |          0.080 |
            strnlen (LI-PaRAD) |          23 |          2.107 |          2.107 |          2.120 |          2.108 |          0.068 |         10.162 |          0.007 |      -7.82%
       strnlen (GNU libc 2.34) |          24 |          1.906 |          1.936 |          1.942 |          1.928 |          0.684 |         11.594 |          0.080 |
            strnlen (LI-PaRAD) |          24 |          1.806 |          2.107 |          2.112 |          1.979 |          7.544 |         11.362 |          0.877 |      -2.56%
       strnlen (GNU libc 2.34) |          25 |          1.906 |          1.915 |          1.967 |          1.922 |          0.759 |         12.116 |          0.092 |
            strnlen (LI-PaRAD) |          25 |          2.107 |          2.108 |          2.129 |          2.108 |          0.124 |         11.044 |          0.014 |      -8.84%
       strnlen (GNU libc 2.34) |          26 |          1.898 |          1.921 |          1.945 |          1.921 |          0.827 |         12.609 |          0.104 |
            strnlen (LI-PaRAD) |          26 |          2.106 |          2.107 |          2.112 |          2.107 |          0.047 |         11.490 |          0.005 |      -8.86%
       strnlen (GNU libc 2.34) |          27 |          1.906 |          1.919 |          1.939 |          1.922 |          0.689 |         13.082 |          0.090 |
            strnlen (LI-PaRAD) |          27 |          2.107 |          2.108 |          2.112 |          2.108 |          0.037 |         11.929 |          0.004 |      -8.81%
       strnlen (GNU libc 2.34) |          28 |          1.906 |          1.935 |          1.944 |          1.926 |          0.694 |         13.538 |          0.094 |
            strnlen (LI-PaRAD) |          28 |          2.107 |          2.107 |          2.110 |          2.108 |          0.032 |         12.373 |          0.004 |      -8.60%
       strnlen (GNU libc 2.34) |          29 |          1.906 |          1.935 |          1.941 |          1.926 |          0.661 |         14.025 |          0.093 |
