        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strrchr (Arm OR 23.01) |           1 |          4.656 |          4.796 |          4.831 |          4.778 |          0.951 |          0.195 |          0.002 |
            strrchr (LI-PaRAD) |           1 |          1.956 |          1.957 |          1.975 |          1.957 |          0.109 |          0.476 |          0.001 |    +144.11%
        strrchr (Arm OR 23.01) |           2 |          4.654 |          4.797 |          4.814 |          4.780 |          0.847 |          0.390 |          0.003 |
            strrchr (LI-PaRAD) |           2 |          1.957 |          1.957 |          1.986 |          1.958 |          0.259 |          0.951 |          0.002 |    +144.11%
        strrchr (Arm OR 23.01) |           3 |          4.600 |          4.799 |          4.818 |          4.780 |          0.946 |          0.585 |          0.006 |
            strrchr (LI-PaRAD) |           3 |          1.956 |          1.957 |          1.984 |          1.959 |          0.347 |          1.426 |          0.005 |    +143.95%
        strrchr (Arm OR 23.01) |           4 |          4.516 |          4.799 |          4.814 |          4.780 |          0.975 |          0.779 |          0.008 |
            strrchr (LI-PaRAD) |           4 |          1.956 |          1.957 |          1.982 |          1.959 |          0.249 |          1.902 |          0.005 |    +144.06%
        strrchr (Arm OR 23.01) |           5 |          4.655 |          4.799 |          4.831 |          4.777 |          0.997 |          0.975 |          0.010 |
            strrchr (LI-PaRAD) |           5 |          1.956 |          1.957 |          2.050 |          1.959 |          0.524 |          2.377 |          0.012 |    +143.78%
        strrchr (Arm OR 23.01) |           6 |          4.618 |          4.799 |          4.813 |          4.780 |          0.949 |          1.169 |          0.011 |
            strrchr (LI-PaRAD) |           6 |          1.956 |          1.957 |          2.107 |          1.962 |          1.014 |          2.848 |          0.027 |    +143.63%
        strrchr (Arm OR 23.01) |           7 |          4.524 |          4.799 |          4.815 |          4.778 |          1.066 |          1.365 |          0.015 |
            strrchr (LI-PaRAD) |           7 |          1.956 |          1.957 |          2.082 |          1.961 |          0.732 |          3.324 |          0.023 |    +143.59%
        strrchr (Arm OR 23.01) |           8 |          4.634 |          4.801 |          4.816 |          4.782 |          0.938 |          1.558 |          0.015 |
            strrchr (LI-PaRAD) |           8 |          1.957 |          1.957 |          2.108 |          1.964 |          1.151 |          3.794 |          0.041 |    +143.48%
        strrchr (Arm OR 23.01) |           9 |          4.516 |          4.800 |          4.818 |          4.773 |          1.096 |          1.756 |          0.020 |
            strrchr (LI-PaRAD) |           9 |          1.956 |          1.957 |          1.987 |          1.959 |          0.274 |          4.279 |          0.012 |    +143.67%
        strrchr (Arm OR 23.01) |          10 |          4.581 |          4.799 |          4.813 |          4.770 |          1.077 |          1.953 |          0.021 |
            strrchr (LI-PaRAD) |          10 |          1.956 |          1.957 |          1.987 |          1.959 |          0.282 |          4.755 |          0.013 |    +143.56%
        strrchr (Arm OR 23.01) |          11 |          4.616 |          4.797 |          4.819 |          4.772 |          1.055 |          2.147 |          0.023 |
            strrchr (LI-PaRAD) |          11 |          1.956 |          1.957 |          2.108 |          1.960 |          0.803 |          5.227 |          0.039 |    +143.49%
        strrchr (Arm OR 23.01) |          12 |          4.519 |          4.795 |          4.842 |          4.763 |          1.204 |          2.347 |          0.029 |
            strrchr (LI-PaRAD) |          12 |          1.957 |          1.957 |          2.107 |          1.960 |          0.797 |          5.703 |          0.043 |    +143.05%
        strrchr (Arm OR 23.01) |          13 |          4.654 |          4.799 |          4.813 |          4.774 |          0.925 |          2.536 |          0.024 |
            strrchr (LI-PaRAD) |          13 |          1.957 |          1.957 |          2.102 |          1.962 |          0.841 |          6.172 |          0.049 |    +143.39%
        strrchr (Arm OR 23.01) |          14 |          4.671 |          4.799 |          4.813 |          4.777 |          0.949 |          2.730 |          0.026 |
            strrchr (LI-PaRAD) |          14 |          1.956 |          1.957 |          2.002 |          1.958 |          0.320 |          6.657 |          0.021 |    +143.93%
        strrchr (Arm OR 23.01) |          15 |          4.666 |          4.800 |          4.815 |          4.776 |          0.952 |          2.926 |          0.028 |
            strrchr (LI-PaRAD) |          15 |          1.957 |          1.957 |          2.107 |          1.960 |          0.820 |          7.126 |          0.055 |    +143.59%
        strrchr (Arm OR 23.01) |          16 |          5.021 |          5.040 |          5.057 |          5.040 |          0.123 |          2.957 |          0.004 |
            strrchr (LI-PaRAD) |          16 |          2.408 |          2.408 |          2.410 |          2.409 |          0.026 |          6.186 |          0.002 |    +109.22%
        strrchr (Arm OR 23.01) |          17 |          5.017 |          5.040 |          5.055 |          5.039 |          0.117 |          3.142 |          0.004 |
            strrchr (LI-PaRAD) |          17 |          2.408 |          2.409 |          2.447 |          2.410 |          0.188 |          6.571 |          0.012 |    +109.13%
        strrchr (Arm OR 23.01) |          18 |          5.031 |          5.041 |          5.056 |          5.042 |          0.150 |          3.325 |          0.005 |
            strrchr (LI-PaRAD) |          18 |          2.408 |          2.409 |          2.411 |          2.409 |          0.028 |          6.959 |          0.002 |    +109.31%
        strrchr (Arm OR 23.01) |          19 |          5.032 |          5.041 |          5.060 |          5.043 |          0.166 |          3.509 |          0.006 |
            strrchr (LI-PaRAD) |          19 |          2.408 |          2.409 |          2.417 |          2.409 |          0.044 |          7.346 |          0.003 |    +109.35%
        strrchr (Arm OR 23.01) |          20 |          5.028 |          5.041 |          5.055 |          5.042 |          0.145 |          3.695 |          0.005 |
            strrchr (LI-PaRAD) |          20 |          2.408 |          2.408 |          2.433 |          2.409 |          0.103 |          7.732 |          0.008 |    +109.29%
        strrchr (Arm OR 23.01) |          21 |          5.034 |          5.039 |          5.056 |          5.042 |          0.162 |          3.879 |          0.006 |
            strrchr (LI-PaRAD) |          21 |          2.408 |          2.408 |          2.425 |          2.409 |          0.072 |          8.119 |          0.006 |    +109.32%
        strrchr (Arm OR 23.01) |          22 |          5.030 |          5.042 |          5.061 |          5.043 |          0.169 |          4.063 |          0.007 |
            strrchr (LI-PaRAD) |          22 |          2.408 |          2.408 |          2.411 |          2.409 |          0.029 |          8.506 |          0.002 |    +109.36%
        strrchr (Arm OR 23.01) |          23 |          5.019 |          5.039 |          5.055 |          5.042 |          0.172 |          4.249 |          0.007 |
            strrchr (LI-PaRAD) |          23 |          2.408 |          2.408 |          2.423 |          2.409 |          0.066 |          8.893 |          0.006 |    +109.32%
        strrchr (Arm OR 23.01) |          24 |          5.021 |          5.038 |          5.057 |          5.042 |          0.173 |          4.433 |          0.008 |
            strrchr (LI-PaRAD) |          24 |          2.408 |          2.409 |          2.431 |          2.409 |          0.095 |          9.278 |          0.009 |    +109.28%
        strrchr (Arm OR 23.01) |          25 |          5.033 |          5.040 |          5.057 |          5.042 |          0.160 |          4.618 |          0.007 |
            strrchr (LI-PaRAD) |          25 |          2.408 |          2.409 |          2.411 |          2.409 |          0.028 |          9.665 |          0.003 |    +109.31%
        strrchr (Arm OR 23.01) |          26 |          5.017 |          5.039 |          5.055 |          5.039 |          0.121 |          4.806 |          0.006 |
            strrchr (LI-PaRAD) |          26 |          2.408 |          2.409 |          2.412 |          2.409 |          0.031 |         10.052 |          0.003 |    +109.18%
        strrchr (Arm OR 23.01) |          27 |          5.017 |          5.040 |          5.057 |          5.038 |          0.125 |          4.991 |          0.006 |
            strrchr (LI-PaRAD) |          27 |          2.408 |          2.409 |          2.411 |          2.409 |          0.031 |         10.439 |          0.003 |    +109.16%
        strrchr (Arm OR 23.01) |          28 |          5.022 |          5.038 |          5.056 |          5.041 |          0.164 |          5.173 |          0.008 |
            strrchr (LI-PaRAD) |          28 |          2.408 |          2.409 |          2.411 |          2.409 |          0.026 |         10.826 |          0.003 |    +109.27%
        strrchr (Arm OR 23.01) |          29 |          5.018 |          5.040 |          5.057 |          5.041 |          0.167 |          5.358 |          0.009 |
            strrchr (LI-PaRAD) |          29 |          2.408 |          2.408 |          2.415 |          2.409 |          0.037 |         11.213 |          0.004 |    +109.29%
        strrchr (Arm OR 23.01) |          30 |          5.031 |          5.041 |          5.056 |          5.043 |          0.168 |          5.541 |          0.009 |
