ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strrchr (LI-PaRAD)|1|1.962|1.962|2.113|1.966|0.843|0.474|0.004
strrchr (GNU libc 2.34)|1|1.845|1.846|1.879|1.847|0.2|0.504|0.001
strrchr (Arm OR 23.01)|1|4.656|4.796|4.831|4.778|0.951|0.195|0.002
strrchr (LI-PaRAD)|2|1.962|1.962|2.0|1.964|0.354|0.948|0.003
strrchr (GNU libc 2.34)|2|1.845|1.845|1.856|1.846|0.071|1.009|0.001
strrchr (Arm OR 23.01)|2|4.654|4.797|4.814|4.78|0.847|0.39|0.003
strrchr (LI-PaRAD)|3|1.962|1.962|2.093|1.966|0.805|1.421|0.011
strrchr (GNU libc 2.34)|3|1.845|1.846|1.865|1.846|0.111|1.514|0.002
strrchr (Arm OR 23.01)|3|4.6|4.799|4.818|4.78|0.946|0.585|0.006
strrchr (LI-PaRAD)|4|1.962|1.962|2.039|1.964|0.454|1.896|0.008
strrchr (GNU libc 2.34)|4|1.845|1.846|1.851|1.846|0.043|2.018|0.001
strrchr (Arm OR 23.01)|4|4.516|4.799|4.814|4.78|0.975|0.779|0.008
strrchr (LI-PaRAD)|5|1.962|1.962|2.113|1.968|0.913|2.366|0.021
strrchr (GNU libc 2.34)|5|1.845|1.845|1.851|1.846|0.046|2.523|0.001
strrchr (Arm OR 23.01)|5|4.655|4.799|4.831|4.777|0.997|0.975|0.01
strrchr (LI-PaRAD)|6|1.962|1.962|2.113|1.966|1.09|2.842|0.029
strrchr (GNU libc 2.34)|6|1.845|1.846|1.854|1.846|0.083|3.027|0.003
strrchr (Arm OR 23.01)|6|4.618|4.799|4.813|4.78|0.949|1.169|0.011
strrchr (LI-PaRAD)|7|1.962|1.962|2.113|1.967|1.105|3.314|0.034
strrchr (GNU libc 2.34)|7|1.845|1.846|1.866|1.846|0.123|3.531|0.004
strrchr (Arm OR 23.01)|7|4.524|4.799|4.815|4.778|1.066|1.365|0.015
strrchr (LI-PaRAD)|8|1.962|1.962|1.987|1.964|0.284|3.794|0.011
strrchr (GNU libc 2.34)|8|1.845|1.846|1.848|1.846|0.04|4.036|0.002
strrchr (Arm OR 23.01)|8|4.634|4.801|4.816|4.782|0.938|1.558|0.015
strrchr (LI-PaRAD)|9|1.962|1.962|1.988|1.963|0.227|4.269|0.01
strrchr (GNU libc 2.34)|9|1.845|1.846|1.85|1.846|0.049|4.54|0.002
strrchr (Arm OR 23.01)|9|4.516|4.8|4.818|4.773|1.096|1.756|0.02
strrchr (LI-PaRAD)|10|1.962|1.962|2.073|1.965|0.617|4.74|0.028
strrchr (GNU libc 2.34)|10|1.845|1.846|1.851|1.846|0.054|5.045|0.003
strrchr (Arm OR 23.01)|10|4.581|4.799|4.813|4.77|1.077|1.953|0.021
strrchr (LI-PaRAD)|11|1.962|1.962|1.988|1.965|0.323|5.215|0.017
strrchr (GNU libc 2.34)|11|1.845|1.846|1.85|1.846|0.049|5.55|0.003
strrchr (Arm OR 23.01)|11|4.616|4.797|4.819|4.772|1.055|2.147|0.023
strrchr (LI-PaRAD)|12|1.962|1.962|2.113|1.967|1.007|5.681|0.054
strrchr (GNU libc 2.34)|12|1.845|1.846|1.86|1.846|0.091|6.053|0.005
strrchr (Arm OR 23.01)|12|4.519|4.795|4.842|4.763|1.204|2.347|0.029
strrchr (LI-PaRAD)|13|1.962|1.962|1.987|1.964|0.281|6.165|0.017
strrchr (GNU libc 2.34)|13|1.845|1.846|1.868|1.846|0.136|6.557|0.009
