        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcmp (Arm OR 23.01) |          64 |          5.100 |          5.104 |          5.125 |          5.105 |          0.059 |         11.677 |          0.007 |
             memcmp (LI-PaRAD) |          64 |          4.332 |          4.458 |          4.651 |          4.446 |          2.015 |         13.413 |          0.268 |     +14.82%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcmp (Arm OR 23.01) |         128 |          8.858 |          8.860 |          9.323 |          8.897 |          1.195 |         13.401 |          0.155 |
             memcmp (LI-PaRAD) |         128 |          7.704 |          8.159 |          8.860 |          8.139 |          2.917 |         14.659 |          0.426 |      +9.31%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcmp (Arm OR 23.01) |         256 |         17.721 |         17.953 |         18.234 |         17.944 |          0.599 |         13.287 |          0.080 |
             memcmp (LI-PaRAD) |         256 |         13.673 |         13.916 |         14.258 |         13.919 |          0.980 |         17.130 |          0.167 |     +28.92%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcmp (Arm OR 23.01) |         512 |         33.870 |         33.901 |         34.175 |         33.904 |          0.099 |         14.064 |          0.014 |
             memcmp (LI-PaRAD) |         512 |         26.048 |         26.649 |         26.997 |         26.553 |          1.062 |         17.960 |          0.192 |     +27.68%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcmp (Arm OR 23.01) |        1024 |         65.950 |         66.007 |         66.116 |         66.005 |          0.040 |         14.448 |          0.006 |
             memcmp (LI-PaRAD) |        1024 |         51.736 |         51.874 |         55.610 |         51.955 |          0.770 |         18.357 |          0.134 |     +27.04%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcmp (Arm OR 23.01) |        2048 |        129.401 |        129.443 |        129.841 |        129.472 |          0.063 |         14.732 |          0.009 |
             memcmp (LI-PaRAD) |        2048 |        102.104 |        102.585 |        103.302 |        102.618 |          0.322 |         18.587 |          0.060 |     +26.17%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcmp (Arm OR 23.01) |        4096 |        257.695 |        258.467 |        259.104 |        258.387 |          0.148 |         14.764 |          0.022 |
             memcmp (LI-PaRAD) |        4096 |        202.058 |        202.861 |        203.763 |        202.843 |          0.198 |         18.806 |          0.037 |     +27.38%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcmp (Arm OR 23.01) |        8192 |        514.370 |        514.639 |        515.179 |        514.673 |          0.041 |         14.824 |          0.006 |
             memcmp (LI-PaRAD) |        8192 |        403.165 |        405.622 |        406.988 |        405.636 |          0.111 |         18.808 |          0.021 |     +26.88%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcmp (Arm OR 23.01) |       16384 |       1031.454 |       1041.166 |       1049.789 |       1040.497 |          0.376 |         14.665 |          0.055 |
             memcmp (LI-PaRAD) |       16384 |        811.366 |        811.508 |        812.169 |        811.522 |          0.018 |         18.803 |          0.003 |     +28.22%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcmp (Arm OR 23.01) |       32768 |       2060.494 |       2064.520 |       2071.873 |       2064.808 |          0.088 |         14.780 |          0.013 |
             memcmp (LI-PaRAD) |       32768 |       1621.198 |       1623.781 |       1627.175 |       1623.904 |          0.100 |         18.793 |          0.019 |     +27.15%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcmp (Arm OR 23.01) |       65536 |       4298.061 |       4299.813 |       4401.286 |       4301.114 |          0.237 |         14.191 |          0.033 |
             memcmp (LI-PaRAD) |       65536 |       3240.680 |       3243.961 |       3273.579 |       3244.050 |          0.109 |         18.815 |          0.020 |     +32.58%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcmp (Arm OR 23.01) |      131072 |       8997.106 |       9178.155 |       9455.823 |       9180.261 |          1.263 |         13.299 |          0.167 |
             memcmp (LI-PaRAD) |      131072 |       6477.887 |       6484.520 |       6490.987 |       6483.175 |          0.045 |         18.829 |          0.008 |     +41.60%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcmp (Arm OR 23.01) |      262144 |      16703.990 |      17148.310 |      18023.180 |      17109.214 |          2.028 |         14.275 |          0.284 |
             memcmp (LI-PaRAD) |      262144 |      12885.290 |      12947.000 |      13086.220 |      12951.734 |          0.322 |         18.850 |          0.061 |     +32.10%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcmp (Arm OR 23.01) |      524288 |      34239.120 |      34942.940 |      35689.610 |      34915.463 |          1.110 |         13.986 |          0.155 |
             memcmp (LI-PaRAD) |      524288 |      25854.120 |      25956.120 |      26062.760 |      25937.696 |          0.176 |         18.825 |          0.033 |     +34.61%
