        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |          64 |          3.303 |          3.311 |          3.324 |          3.311 |          0.106 |         18.002 |          0.019 |
             memcmp (LI-PaRAD) |          64 |          4.332 |          4.377 |          4.817 |          4.415 |          2.206 |         13.508 |          0.289 |     -25.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |         128 |          6.159 |          6.163 |          6.171 |          6.164 |          0.030 |         19.341 |          0.006 |
             memcmp (LI-PaRAD) |         128 |          7.700 |          8.192 |          8.784 |          8.157 |          2.946 |         14.627 |          0.430 |     -24.44%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |         256 |          7.118 |          7.123 |          7.128 |          7.123 |          0.030 |         33.472 |          0.010 |
             memcmp (LI-PaRAD) |         256 |         13.675 |         14.001 |         14.257 |         13.984 |          0.979 |         17.051 |          0.167 |     -49.06%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |         512 |         14.341 |         14.986 |         15.053 |         14.864 |          1.514 |         32.088 |          0.495 |
             memcmp (LI-PaRAD) |         512 |         26.050 |         26.606 |         27.136 |         26.543 |          0.977 |         17.966 |          0.176 |     -44.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |        1024 |         28.383 |         28.436 |         28.488 |         28.437 |          0.083 |         33.536 |          0.028 |
             memcmp (LI-PaRAD) |        1024 |         51.735 |         51.932 |         52.809 |         51.985 |          0.441 |         18.346 |          0.080 |     -45.30%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |        2048 |         55.618 |         55.861 |         55.991 |         55.838 |          0.152 |         34.159 |          0.052 |
             memcmp (LI-PaRAD) |        2048 |        101.986 |        102.672 |        103.250 |        102.664 |          0.288 |         18.579 |          0.053 |     -45.61%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |        4096 |        107.745 |        108.021 |        108.413 |        107.991 |          0.170 |         35.324 |          0.060 |
             memcmp (LI-PaRAD) |        4096 |        202.311 |        202.915 |        204.243 |        202.982 |          0.222 |         18.793 |          0.042 |     -46.80%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |        8192 |        212.956 |        213.555 |        214.203 |        213.562 |          0.110 |         35.725 |          0.039 |
             memcmp (LI-PaRAD) |        8192 |        404.385 |        405.622 |        406.902 |        405.657 |          0.084 |         18.808 |          0.016 |     -47.35%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |       16384 |        425.763 |        426.753 |        430.515 |        426.862 |          0.154 |         35.747 |          0.055 |
             memcmp (LI-PaRAD) |       16384 |        811.319 |        811.472 |        812.079 |        811.482 |          0.015 |         18.804 |          0.003 |     -47.40%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |       32768 |        881.872 |        882.787 |        887.938 |        883.861 |          0.202 |         34.528 |          0.070 |
             memcmp (LI-PaRAD) |       32768 |       1621.201 |       1623.760 |       1626.690 |       1623.843 |          0.095 |         18.793 |          0.018 |     -45.57%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |       65536 |       1902.021 |       1905.918 |       1911.005 |       1906.027 |          0.088 |         32.022 |          0.028 |
             memcmp (LI-PaRAD) |       65536 |       3240.894 |       3243.961 |       3248.736 |       3243.689 |          0.058 |         18.817 |          0.011 |     -41.24%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |      131072 |       3686.733 |       3690.837 |       3699.800 |       3690.852 |          0.052 |         33.074 |          0.017 |
             memcmp (LI-PaRAD) |      131072 |       6480.375 |       6483.188 |       6486.824 |       6483.221 |          0.026 |         18.829 |          0.005 |     -43.07%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |      262144 |       8115.540 |       8156.070 |       8237.030 |       8157.417 |          0.317 |         29.929 |          0.095 |
             memcmp (LI-PaRAD) |      262144 |      12868.540 |      12936.270 |      12986.720 |      12934.966 |          0.184 |         18.875 |          0.035 |     -36.94%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |      524288 |      15864.850 |      16040.050 |      16457.890 |      16037.441 |          0.518 |         30.447 |          0.157 |
             memcmp (LI-PaRAD) |      524288 |      25884.320 |      25928.620 |      25996.480 |      25931.081 |          0.105 |         18.830 |          0.020 |     -38.15%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |     1048576 |      31076.820 |      31186.530 |      32112.110 |      31244.547 |          0.567 |         31.256 |          0.175 |
