ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
memcmp (LI-PaRAD)|64|4.332|4.438|4.684|4.428|1.865|13.466|0.248
memcmp (Arm OR 23.01)|64|5.101|5.105|5.263|5.106|0.313|11.673|0.036
memcmp (GNU libc 2.39)|64|3.302|3.311|3.482|3.312|0.527|17.996|0.091
memcmp (LI-PaRAD)|128|7.704|8.19|8.862|8.186|3.418|14.579|0.491
memcmp (Arm OR 23.01)|128|8.856|8.861|9.321|8.921|1.312|13.365|0.171
memcmp (GNU libc 2.39)|128|6.158|6.163|6.172|6.164|0.035|19.341|0.007
memcmp (LI-PaRAD)|256|13.671|13.9|14.255|13.892|0.883|17.164|0.151
memcmp (Arm OR 23.01)|256|17.716|17.792|18.05|17.811|0.442|13.386|0.059
memcmp (GNU libc 2.39)|256|7.116|7.122|7.128|7.121|0.033|33.479|0.011
memcmp (LI-PaRAD)|512|26.047|26.382|27.148|26.423|1.149|18.048|0.206
memcmp (Arm OR 23.01)|512|33.868|33.902|33.999|33.901|0.061|14.066|0.009
memcmp (GNU libc 2.39)|512|14.356|14.979|15.054|14.873|1.418|32.068|0.464
memcmp (LI-PaRAD)|1024|51.731|52.02|52.778|52.049|0.482|18.323|0.088
memcmp (Arm OR 23.01)|1024|65.968|65.999|66.057|66.002|0.029|14.449|0.004
memcmp (GNU libc 2.39)|1024|28.412|28.46|28.503|28.458|0.081|33.512|0.027
memcmp (LI-PaRAD)|2048|102.413|102.894|103.277|102.883|0.21|18.539|0.039
memcmp (Arm OR 23.01)|2048|129.403|129.563|130.279|129.59|0.147|14.718|0.022
memcmp (GNU libc 2.39)|2048|55.58|55.93|62.778|55.972|1.229|34.081|0.375
memcmp (LI-PaRAD)|4096|202.311|202.952|203.557|202.948|0.142|18.796|0.027
memcmp (Arm OR 23.01)|4096|257.902|258.289|258.662|258.252|0.081|14.771|0.012
memcmp (GNU libc 2.39)|4096|107.736|108.006|108.397|107.979|0.171|35.328|0.06
memcmp (LI-PaRAD)|8192|405.022|405.622|406.782|405.657|0.067|18.807|0.013
memcmp (Arm OR 23.01)|8192|514.355|515.559|516.711|515.519|0.09|14.799|0.013
memcmp (GNU libc 2.39)|8192|213.051|213.654|214.381|213.667|0.108|35.707|0.038
memcmp (LI-PaRAD)|16384|810.299|811.559|812.24|811.312|0.064|18.808|0.012
memcmp (Arm OR 23.01)|16384|1031.82|1043.985|1054.815|1043.659|0.458|14.621|0.067
memcmp (GNU libc 2.39)|16384|426.246|427.248|428.369|427.293|0.117|35.71|0.042
memcmp (LI-PaRAD)|32768|1621.202|1623.748|1627.279|1623.809|0.094|18.794|0.018
memcmp (Arm OR 23.01)|32768|2060.701|2064.064|2069.627|2064.435|0.091|14.783|0.013
memcmp (GNU libc 2.39)|32768|882.148|883.172|888.015|884.212|0.201|34.514|0.069
memcmp (LI-PaRAD)|65536|3240.626|3243.835|3247.005|3243.469|0.052|18.818|0.01
memcmp (Arm OR 23.01)|65536|4162.383|4311.832|4525.331|4331.841|1.68|14.094|0.232
memcmp (GNU libc 2.39)|65536|1900.804|1905.117|1909.13|1905.044|0.081|32.039|0.026
memcmp (LI-PaRAD)|131072|6479.5|6482.452|6489.838|6482.845|0.027|18.83|0.005
memcmp (Arm OR 23.01)|131072|8966.053|9180.556|9468.509|9182.993|1.319|13.295|0.175
memcmp (GNU libc 2.39)|131072|3686.024|3690.43|3697.373|3690.249|0.05|33.079|0.016
memcmp (LI-PaRAD)|262144|12902.52|12969.08|13004.08|12963.74|0.139|18.833|0.026
memcmp (Arm OR 23.01)|262144|16580.33|16871.78|18161.8|17123.342|2.854|14.269|0.395
memcmp (GNU libc 2.39)|262144|7556.68|7566.66|7651.31|7576.872|0.252|32.222|0.081
memcmp (LI-PaRAD)|524288|25891.19|25933.92|25998.5|25943.341|0.097|18.821|0.018
memcmp (Arm OR 23.01)|524288|33950.18|34663.67|36043.72|34784.206|1.642|14.041|0.228
memcmp (GNU libc 2.39)|524288|16947.36|17135.32|17353.78|17128.24|0.455|28.508|0.129
memcmp (LI-PaRAD)|1048576|51708.01|51820.16|51912.98|51822.341|0.07|18.844|0.013
memcmp (Arm OR 23.01)|1048576|68564.85|70252.8|71663.57|70204.395|1.107|13.912|0.154
memcmp (GNU libc 2.39)|1048576|31273.39|31692.86|37566.52|32202.185|4.313|30.377|1.194
memcmp (LI-PaRAD)|2097152|102761.1|103584.0|104224.9|103618.054|0.308|18.849|0.058
memcmp (Arm OR 23.01)|2097152|136126.3|140087.1|146812.1|139983.641|2.133|13.959|0.297
memcmp (GNU libc 2.39)|2097152|80254.9|80766.4|82711.7|80804.537|0.489|24.172|0.117
memcmp (LI-PaRAD)|4194304|206586.2|207535.1|208243.7|207486.423|0.154|18.827|0.029
memcmp (Arm OR 23.01)|4194304|272443.0|280330.0|295300.0|280547.526|1.835|13.928|0.254
memcmp (GNU libc 2.39)|4194304|163099.0|163920.4|171599.0|164026.744|0.591|23.816|0.136
memcmp (LI-PaRAD)|8388608|414900.0|415632.0|416903.6|415664.779|0.077|18.795|0.015
memcmp (Arm OR 23.01)|8388608|548880.7|561991.6|596930.9|562224.682|1.391|13.898|0.19
memcmp (GNU libc 2.39)|8388608|328461.1|329220.2|351012.9|329494.075|0.744|23.712|0.167
memcmp (LI-PaRAD)|16777216|831506.0|835768.0|839176.5|835505.144|0.205|18.701|0.038
memcmp (Arm OR 23.01)|16777216|1103873.0|1126290.0|1147521.0|1126264.327|0.886|13.874|0.123
memcmp (GNU libc 2.39)|16777216|695437.5|702080.0|755853.5|704163.881|1.253|22.193|0.268
memcmp (LI-PaRAD)|33554432|1725050.0|1730296.0|1734568.5|1729920.574|0.126|18.064|0.023
memcmp (Arm OR 23.01)|33554432|2209292.0|2248346.0|2279430.0|2246675.485|0.749|13.91|0.104
memcmp (GNU libc 2.39)|33554432|1602890.0|1613074.0|1642772.5|1613387.847|0.333|19.369|0.064
memcmp (LI-PaRAD)|67108864|3559665.0|3566805.5|3585406.0|3567149.97|0.102|17.521|0.018
memcmp (Arm OR 23.01)|67108864|4443931.5|4502230.5|4553553.0|4501295.064|0.552|13.885|0.077
memcmp (GNU libc 2.39)|67108864|3496358.5|3501446.0|3580435.5|3502522.856|0.256|17.844|0.045
memcmp (LI-PaRAD)|134217728|7371477.0|7379978.5|7404053.0|7380333.347|0.065|16.937|0.011
memcmp (Arm OR 23.01)|134217728|8867262.0|8978099.0|9089748.0|8981135.079|0.432|13.918|0.06
memcmp (GNU libc 2.39)|134217728|7350877.5|7356803.0|7500970.5|7359930.431|0.224|16.984|0.038
memcmp (LI-PaRAD)|268435456|15155680.5|15165201.5|15204675.0|15167067.282|0.048|16.483|0.008
memcmp (Arm OR 23.01)|268435456|17768814.5|17925294.5|18087622.5|17918761.163|0.297|13.952|0.041
memcmp (GNU libc 2.39)|268435456|15139736.0|15148014.5|15270813.0|15152736.248|0.123|16.499|0.02
memcmp (LI-PaRAD)|536870912|30740524.0|30753956.5|30804271.5|30756152.995|0.038|16.257|0.006
memcmp (Arm OR 23.01)|536870912|35608587.0|35786975.0|35893398.5|35781752.149|0.159|13.974|0.022
memcmp (GNU libc 2.39)|536870912|30621674.5|30692584.0|30776679.0|30675441.718|0.122|16.3|0.02
