        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |          64 |          2.308 |          2.311 |          2.319 |          2.312 |          0.089 |         25.785 |          0.023 |
             memcpy (LI-PaRAD) |          64 |          2.502 |          2.503 |          2.510 |          2.504 |          0.074 |         23.804 |          0.018 |      -7.68%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |         128 |          2.695 |          2.866 |          3.152 |          2.894 |          4.944 |         41.286 |          2.025 |
             memcpy (LI-PaRAD) |         128 |          3.849 |          3.852 |          3.859 |          3.852 |          0.037 |         30.945 |          0.012 |     -24.87%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |         256 |          3.648 |          3.963 |          4.181 |          3.958 |          1.988 |         60.265 |          1.220 |
             memcpy (LI-PaRAD) |         256 |          7.318 |          7.322 |          7.328 |          7.322 |          0.026 |         32.563 |          0.009 |     -45.95%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |         512 |          6.539 |          6.539 |          6.590 |          6.549 |          0.227 |         72.815 |          0.165 |
             memcpy (LI-PaRAD) |         512 |         13.847 |         13.871 |         13.910 |         13.870 |          0.135 |         34.379 |          0.046 |     -52.79%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |        1024 |         12.773 |         13.337 |         14.231 |         13.372 |          2.027 |         71.349 |          1.429 |
             memcpy (LI-PaRAD) |        1024 |         26.179 |         26.196 |         26.237 |         26.197 |          0.067 |         36.404 |          0.024 |     -48.96%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |        2048 |         25.415 |         26.213 |         26.524 |         26.185 |          0.796 |         72.846 |          0.586 |
