ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
memcpy (LI-PaRAD)|64|2.694|2.696|2.704|2.697|0.072|22.104|0.016
memcpy (Arm OR 23.01)|64|1.933|2.31|2.483|2.26|4.741|26.437|1.371
memcpy (GNU libc 2.39)|64|2.308|2.311|2.487|2.313|0.763|25.765|0.183
memcpy (LI-PaRAD)|128|3.849|3.853|3.865|3.853|0.052|30.943|0.016
memcpy (Arm OR 23.01)|128|2.695|2.836|3.081|2.857|4.41|41.807|1.829
memcpy (GNU libc 2.39)|128|2.642|2.698|3.135|2.768|4.69|43.158|1.942
memcpy (LI-PaRAD)|256|7.318|7.322|7.325|7.322|0.026|32.563|0.008
memcpy (Arm OR 23.01)|256|3.857|4.018|4.163|4.01|1.507|59.464|0.896
memcpy (GNU libc 2.39)|256|3.772|3.977|4.121|3.97|1.728|60.066|1.044
memcpy (LI-PaRAD)|512|13.847|13.871|13.909|13.869|0.128|34.381|0.044
memcpy (Arm OR 23.01)|512|6.539|6.539|6.702|6.551|0.341|72.793|0.245
memcpy (GNU libc 2.39)|512|6.539|6.539|6.595|6.549|0.235|72.812|0.171
memcpy (LI-PaRAD)|1024|26.178|26.197|32.76|26.419|4.334|36.153|1.283
memcpy (Arm OR 23.01)|1024|12.885|13.297|13.461|13.222|1.227|72.136|0.897
memcpy (GNU libc 2.39)|1024|12.693|13.306|14.011|13.269|1.682|71.895|1.212
memcpy (LI-PaRAD)|2048|50.823|50.85|50.927|50.852|0.042|37.508|0.016
memcpy (Arm OR 23.01)|2048|26.0|26.499|27.966|26.611|1.493|71.691|1.043
memcpy (GNU libc 2.39)|2048|25.887|26.457|29.482|26.469|1.765|72.08|1.168
memcpy (LI-PaRAD)|4096|100.006|100.241|100.626|100.167|0.177|38.084|0.067
memcpy (Arm OR 23.01)|4096|52.886|56.603|58.329|55.965|3.245|68.235|2.252
memcpy (GNU libc 2.39)|4096|52.469|57.789|58.544|57.067|2.378|66.885|1.654
memcpy (LI-PaRAD)|8192|198.47|198.751|199.291|198.791|0.099|38.379|0.038
memcpy (Arm OR 23.01)|8192|104.024|113.127|124.295|113.554|3.661|67.275|2.419
memcpy (GNU libc 2.39)|8192|103.196|113.317|114.484|111.62|2.917|68.411|2.078
memcpy (LI-PaRAD)|16384|402.479|402.61|402.902|402.608|0.027|37.9|0.01
memcpy (Arm OR 23.01)|16384|208.423|220.785|223.445|219.289|1.717|69.604|1.226
memcpy (GNU libc 2.39)|16384|207.762|218.295|224.103|217.466|1.942|70.193|1.38
memcpy (LI-PaRAD)|32768|795.88|795.886|806.237|797.209|0.239|38.281|0.091
memcpy (Arm OR 23.01)|32768|417.763|454.302|468.375|448.112|2.755|68.155|1.924
memcpy (GNU libc 2.39)|32768|437.64|454.398|463.125|451.019|1.529|67.679|1.041
memcpy (LI-PaRAD)|65536|1583.656|1586.203|1592.969|1586.508|0.127|38.471|0.049
memcpy (Arm OR 23.01)|65536|848.545|921.923|928.257|921.178|0.842|66.263|0.6
memcpy (GNU libc 2.39)|65536|905.653|909.313|916.388|909.263|0.284|67.127|0.191
memcpy (LI-PaRAD)|131072|3161.456|3164.729|3171.352|3164.34|0.062|38.577|0.024
memcpy (Arm OR 23.01)|131072|2233.378|2238.831|2245.613|2239.082|0.116|54.518|0.063
memcpy (GNU libc 2.39)|131072|2238.727|2242.609|2247.812|2243.04|0.077|54.422|0.042
memcpy (LI-PaRAD)|262144|6310.4|6310.42|6676.27|6324.046|0.615|38.607|0.227
memcpy (Arm OR 23.01)|262144|4409.41|4416.16|4476.68|4423.319|0.356|55.195|0.195
memcpy (GNU libc 2.39)|262144|4408.22|4413.29|4473.95|4421.496|0.377|55.218|0.207
memcpy (LI-PaRAD)|524288|14667.74|14945.99|15256.67|14949.39|0.794|32.664|0.259
memcpy (Arm OR 23.01)|524288|11166.45|11620.08|12515.87|11667.141|2.776|41.882|1.133
memcpy (GNU libc 2.39)|524288|11440.24|11758.57|12647.98|11821.56|2.015|41.32|0.805
memcpy (LI-PaRAD)|1048576|25355.65|25540.22|26233.74|25586.311|0.674|38.169|0.255
memcpy (Arm OR 23.01)|1048576|21627.9|21932.91|23366.77|22057.552|1.857|44.288|0.797
memcpy (GNU libc 2.39)|1048576|21770.63|22221.76|23327.42|22239.601|1.048|43.916|0.456
