        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         strchr (Arm OR 23.01) |          64 |         14.634 |         14.640 |         14.651 |         14.640 |          0.018 |          4.071 |          0.001 |
             strchr (LI-PaRAD) |          64 |          8.858 |          8.860 |          8.867 |          8.861 |          0.024 |          6.727 |          0.002 |     +65.22%
         strchr (Arm OR 23.01) |         128 |         22.994 |         23.051 |         23.070 |         23.049 |          0.069 |          5.172 |          0.004 |
             strchr (LI-PaRAD) |         128 |         13.607 |         13.613 |         13.645 |         13.613 |          0.028 |          8.757 |          0.002 |     +69.32%
         strchr (Arm OR 23.01) |         256 |         40.014 |         40.018 |         40.024 |         40.019 |          0.005 |          5.958 |          0.000 |
             strchr (LI-PaRAD) |         256 |         22.725 |         22.729 |         22.736 |         22.730 |          0.010 |         10.489 |          0.001 |     +76.06%
         strchr (Arm OR 23.01) |         512 |         73.876 |         73.921 |         73.941 |         73.918 |          0.024 |          6.451 |          0.002 |
             strchr (LI-PaRAD) |         512 |         41.205 |         41.222 |         41.264 |         41.223 |          0.035 |         11.567 |          0.004 |     +79.31%
         strchr (Arm OR 23.01) |        1024 |        141.680 |        141.726 |        142.039 |        141.727 |          0.025 |          6.729 |          0.002 |
             strchr (LI-PaRAD) |        1024 |         78.154 |         78.212 |         83.130 |         78.257 |          0.626 |         12.187 |          0.072 |     +81.10%
         strchr (Arm OR 23.01) |        2048 |        277.279 |        277.334 |        277.432 |        277.333 |          0.008 |          6.877 |          0.001 |
             strchr (LI-PaRAD) |        2048 |        152.130 |        152.184 |        152.343 |        152.182 |          0.017 |         12.533 |          0.002 |     +82.24%
         strchr (Arm OR 23.01) |        4096 |        548.180 |        548.618 |        548.953 |        548.592 |          0.037 |          6.954 |          0.003 |
             strchr (LI-PaRAD) |        4096 |        299.856 |        300.172 |        300.589 |        300.127 |          0.066 |         12.710 |          0.008 |     +82.79%
         strchr (Arm OR 23.01) |        8192 |       1090.562 |       1091.065 |       1094.193 |       1091.077 |          0.035 |          6.993 |          0.002 |
             strchr (LI-PaRAD) |        8192 |        595.650 |        596.056 |        596.449 |        596.024 |          0.025 |         12.800 |          0.003 |     +83.06%
         strchr (Arm OR 23.01) |       16384 |       2182.129 |       2182.860 |       2183.511 |       2182.851 |          0.011 |          6.990 |          0.001 |
             strchr (LI-PaRAD) |       16384 |       1196.789 |       1197.159 |       1197.622 |       1197.167 |          0.014 |         12.746 |          0.002 |     +82.33%
         strchr (Arm OR 23.01) |       32768 |       4350.118 |       4352.872 |       4358.348 |       4352.790 |          0.044 |          7.011 |          0.003 |
             strchr (LI-PaRAD) |       32768 |       2378.842 |       2379.893 |       2386.622 |       2380.827 |          0.082 |         12.818 |          0.010 |     +82.83%
         strchr (Arm OR 23.01) |       65536 |       8694.849 |       8697.949 |       8704.576 |       8698.212 |          0.024 |          7.017 |          0.002 |
             strchr (LI-PaRAD) |       65536 |       4752.634 |       4756.284 |       4761.493 |       4756.371 |          0.049 |         12.832 |          0.006 |     +82.87%
         strchr (Arm OR 23.01) |      131072 |      17365.689 |      17372.010 |      17403.531 |      17372.013 |          0.022 |          7.027 |          0.002 |
             strchr (LI-PaRAD) |      131072 |       9483.774 |       9488.547 |       9497.318 |       9488.565 |          0.025 |         12.865 |          0.003 |     +83.08%
         strchr (Arm OR 23.01) |      262144 |      34697.900 |      34733.450 |      34796.220 |      34735.871 |          0.059 |          7.028 |          0.004 |
             strchr (LI-PaRAD) |      262144 |      18925.800 |      18965.830 |      19043.000 |      18967.408 |          0.118 |         12.872 |          0.015 |     +83.13%
         strchr (Arm OR 23.01) |      524288 |      69417.220 |      69461.120 |      69539.960 |      69459.314 |          0.032 |          7.030 |          0.002 |
             strchr (LI-PaRAD) |      524288 |      37864.750 |      37931.300 |      38028.620 |      37930.401 |          0.069 |         12.873 |          0.009 |     +83.12%
         strchr (Arm OR 23.01) |     1048576 |     138819.840 |     138917.940 |     139117.610 |     138915.820 |          0.028 |          7.030 |          0.002 |
             strchr (LI-PaRAD) |     1048576 |      75878.070 |      76058.120 |      76169.580 |      76047.574 |          0.076 |         12.841 |          0.010 |     +82.67%
         strchr (Arm OR 23.01) |     2097152 |     277589.000 |     277899.500 |     278561.800 |     277871.648 |          0.086 |          7.029 |          0.006 |
             strchr (LI-PaRAD) |     2097152 |     151281.700 |     152081.300 |     153077.400 |     151979.898 |          0.331 |         12.851 |          0.043 |     +82.83%
         strchr (Arm OR 23.01) |     4194304 |     555227.200 |     555797.300 |     557621.500 |     555810.686 |          0.057 |          7.028 |          0.004 |
             strchr (LI-PaRAD) |     4194304 |     303057.200 |     305190.200 |     308347.400 |     305464.556 |          0.478 |         12.788 |          0.061 |     +81.96%
         strchr (Arm OR 23.01) |     8388608 |    1110958.100 |    1111539.000 |    1114466.600 |    1111629.020 |          0.047 |          7.028 |          0.003 |
             strchr (LI-PaRAD) |     8388608 |     609816.300 |     615531.000 |     621647.600 |     615394.356 |          0.452 |         12.695 |          0.057 |     +80.64%
         strchr (Arm OR 23.01) |    16777216 |    2221648.500 |    2223389.500 |    2230521.000 |    2223769.223 |          0.087 |          7.026 |          0.006 |
             strchr (LI-PaRAD) |    16777216 |    1213128.000 |    1247149.000 |    1299806.000 |    1245971.248 |          1.690 |         12.544 |          0.210 |     +78.48%
         strchr (Arm OR 23.01) |    33554432 |    4447204.000 |    4450131.500 |    4455126.000 |    4450216.233 |          0.035 |          7.022 |          0.002 |
             strchr (LI-PaRAD) |    33554432 |    2484191.500 |    2554873.500 |    2628159.000 |    2554971.401 |          1.349 |         12.233 |          0.165 |     +74.18%
         strchr (Arm OR 23.01) |    67108864 |    8892704.000 |    8896415.500 |    8903950.500 |    8896603.446 |          0.020 |          7.025 |          0.001 |
             strchr (LI-PaRAD) |    67108864 |    5097958.000 |    5172298.000 |    5238630.000 |    5169979.421 |          0.629 |         12.089 |          0.076 |     +72.08%
         strchr (Arm OR 23.01) |   134217728 |   17789290.500 |   17794681.500 |   17801231.000 |   17794837.282 |          0.013 |          7.025 |          0.001 |
             strchr (LI-PaRAD) |   134217728 |   10335074.000 |   10404330.000 |   10474267.500 |   10400660.678 |          0.335 |         12.019 |          0.040 |     +71.09%
         strchr (Arm OR 23.01) |   268435456 |   35575654.500 |   35581832.500 |   35595576.500 |   35581977.460 |          0.009 |          7.026 |          0.001 |
             strchr (LI-PaRAD) |   268435456 |   20790373.000 |   20901026.500 |   20958824.500 |   20895526.094 |          0.167 |         11.964 |          0.020 |     +70.29%
         strchr (Arm OR 23.01) |   536870912 |   71159279.000 |   71166293.000 |   71186637.000 |   71167346.010 |          0.007 |          7.026 |          0.000 |
             strchr (LI-PaRAD) |   536870912 |   41814987.500 |   41921068.500 |   41988419.500 |   41909078.213 |          0.107 |         11.931 |          0.013 |     +69.81%
