        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          64 |          4.521 |          4.527 |          4.541 |          4.527 |          0.074 |         13.166 |          0.010 |
             strchr (LI-PaRAD) |          64 |          9.044 |          9.172 |          9.377 |          9.189 |          0.815 |          6.487 |          0.053 |     -50.73%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |         128 |          6.921 |          6.935 |          6.944 |          6.935 |          0.080 |         17.190 |          0.014 |
             strchr (LI-PaRAD) |         128 |         13.478 |         13.483 |         13.515 |         13.484 |          0.030 |          8.841 |          0.003 |     -48.57%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |         256 |         12.052 |         12.056 |         12.064 |         12.056 |          0.024 |         19.775 |          0.005 |
             strchr (LI-PaRAD) |         256 |         22.723 |         22.728 |         22.738 |         22.729 |          0.012 |         10.490 |          0.001 |     -46.96%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |         512 |         22.433 |         22.481 |         22.536 |         22.478 |          0.098 |         21.213 |          0.021 |
             strchr (LI-PaRAD) |         512 |         41.199 |         41.219 |         41.263 |         41.219 |          0.031 |         11.568 |          0.004 |     -45.47%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |        1024 |         43.908 |         44.008 |         44.100 |         44.008 |          0.087 |         21.670 |          0.019 |
             strchr (LI-PaRAD) |        1024 |         78.154 |         78.199 |         80.092 |         78.222 |          0.241 |         12.192 |          0.029 |     -43.74%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |        2048 |         86.820 |         86.887 |         87.003 |         86.888 |          0.037 |         21.952 |          0.008 |
             strchr (LI-PaRAD) |        2048 |        152.120 |        152.170 |        152.386 |        152.170 |          0.023 |         12.534 |          0.003 |     -42.90%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |        4096 |        171.192 |        174.099 |        174.564 |        174.031 |          0.286 |         21.920 |          0.063 |
             strchr (LI-PaRAD) |        4096 |        299.856 |        300.152 |        300.536 |        300.097 |          0.065 |         12.712 |          0.008 |     -42.01%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |        8192 |        371.841 |        373.055 |        374.404 |        373.074 |          0.098 |         20.450 |          0.020 |
             strchr (LI-PaRAD) |        8192 |        595.552 |        595.960 |        596.927 |        595.952 |          0.032 |         12.802 |          0.004 |     -37.40%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |       16384 |        738.054 |        742.289 |        746.837 |        742.197 |          0.259 |         20.559 |          0.053 |
             strchr (LI-PaRAD) |       16384 |       1196.550 |       1196.968 |       1197.808 |       1196.978 |          0.016 |         12.748 |          0.002 |     -37.99%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |       32768 |       1474.716 |       1487.341 |       1498.771 |       1486.982 |          0.384 |         20.523 |          0.079 |
