ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strchr (LI-PaRAD)|64|8.856|8.86|8.867|8.861|0.025|6.727|0.002
strchr (GNU libc 2.39)|64|4.554|4.558|4.57|4.558|0.059|13.077|0.008
strchr (Arm OR 23.01)|64|14.634|14.64|14.651|14.64|0.018|4.071|0.001
strchr (LI-PaRAD)|128|13.607|13.613|13.621|13.612|0.018|8.757|0.002
strchr (GNU libc 2.39)|128|7.259|7.265|7.269|7.264|0.028|16.41|0.005
strchr (Arm OR 23.01)|128|22.994|23.051|23.07|23.049|0.069|5.172|0.004
strchr (LI-PaRAD)|256|22.725|22.73|22.762|22.73|0.02|10.489|0.002
strchr (GNU libc 2.39)|256|12.22|12.223|12.228|12.223|0.014|19.505|0.003
strchr (Arm OR 23.01)|256|40.014|40.018|40.024|40.019|0.005|5.958|0.0
strchr (LI-PaRAD)|512|41.204|41.225|41.334|41.222|0.045|11.567|0.005
strchr (GNU libc 2.39)|512|22.696|22.737|33.568|23.067|7.634|20.757|1.126
strchr (Arm OR 23.01)|512|73.876|73.921|73.941|73.918|0.024|6.451|0.002
strchr (LI-PaRAD)|1024|78.149|78.207|78.278|78.207|0.021|12.194|0.003
strchr (GNU libc 2.39)|1024|43.964|44.009|44.271|44.015|0.081|21.667|0.018
strchr (Arm OR 23.01)|1024|141.68|141.726|142.039|141.727|0.025|6.729|0.002
strchr (LI-PaRAD)|2048|152.123|152.175|152.246|152.172|0.014|12.534|0.002
strchr (GNU libc 2.39)|2048|86.532|86.816|87.987|86.829|0.15|21.967|0.033
strchr (Arm OR 23.01)|2048|277.279|277.334|277.432|277.333|0.008|6.877|0.001
strchr (LI-PaRAD)|4096|299.831|300.155|301.106|300.13|0.078|12.71|0.01
strchr (GNU libc 2.39)|4096|171.981|173.067|174.465|173.093|0.36|22.039|0.079
strchr (Arm OR 23.01)|4096|548.18|548.618|548.953|548.592|0.037|6.954|0.003
strchr (LI-PaRAD)|8192|595.666|595.981|596.253|595.968|0.025|12.802|0.003
strchr (GNU libc 2.39)|8192|359.059|360.806|379.998|361.626|1.016|21.1|0.206
strchr (Arm OR 23.01)|8192|1090.562|1091.065|1094.193|1091.077|0.035|6.993|0.002
strchr (LI-PaRAD)|16384|1196.367|1196.971|1200.048|1197.007|0.03|12.747|0.004
strchr (GNU libc 2.39)|16384|751.832|753.908|758.95|753.969|0.176|20.238|0.036
strchr (Arm OR 23.01)|16384|2182.129|2182.86|2183.511|2182.851|0.011|6.99|0.001
strchr (LI-PaRAD)|32768|2378.727|2379.886|2386.678|2380.606|0.079|12.819|0.01
strchr (GNU libc 2.39)|32768|1462.161|1478.113|1490.933|1477.617|0.376|20.654|0.078
strchr (Arm OR 23.01)|32768|4350.118|4352.872|4358.348|4352.79|0.044|7.011|0.003
strchr (LI-PaRAD)|65536|4751.606|4754.925|4760.209|4755.135|0.049|12.836|0.006
strchr (GNU libc 2.39)|65536|3037.69|3055.891|3100.491|3062.114|0.62|19.933|0.123
strchr (Arm OR 23.01)|65536|8694.849|8697.949|8704.576|8698.212|0.024|7.017|0.002
strchr (LI-PaRAD)|131072|9483.131|9488.017|9495.246|9487.759|0.024|12.866|0.003
strchr (GNU libc 2.39)|131072|6270.623|6282.004|6293.223|6282.027|0.074|19.432|0.014
strchr (Arm OR 23.01)|131072|17365.689|17372.01|17403.531|17372.013|0.022|7.027|0.002
strchr (LI-PaRAD)|262144|18926.03|18963.12|19004.11|18965.727|0.083|12.873|0.011
strchr (GNU libc 2.39)|262144|12562.73|12609.9|12668.46|12612.736|0.178|19.357|0.034
strchr (Arm OR 23.01)|262144|34697.9|34733.45|34796.22|34735.871|0.059|7.028|0.004
strchr (LI-PaRAD)|524288|37872.28|37935.36|38033.56|37935.8|0.074|12.871|0.01
strchr (GNU libc 2.39)|524288|24859.05|25143.04|25219.04|25109.754|0.333|19.446|0.065
strchr (Arm OR 23.01)|524288|69417.22|69461.12|69539.96|69459.314|0.032|7.03|0.002
strchr (LI-PaRAD)|1048576|75844.44|75960.68|76089.02|75951.991|0.059|12.858|0.008
strchr (GNU libc 2.39)|1048576|49321.88|49676.12|50102.71|49657.163|0.274|19.666|0.054
strchr (Arm OR 23.01)|1048576|138819.84|138917.94|139117.61|138915.82|0.028|7.03|0.002
strchr (LI-PaRAD)|2097152|151313.2|152212.8|153194.4|152137.746|0.38|12.838|0.049
strchr (GNU libc 2.39)|2097152|99667.4|100900.9|101608.3|101027.601|0.311|19.333|0.06
strchr (Arm OR 23.01)|2097152|277589.0|277899.5|278561.8|277871.648|0.086|7.029|0.006
strchr (LI-PaRAD)|4194304|302921.4|305082.4|307207.9|305089.715|0.37|12.804|0.047
strchr (GNU libc 2.39)|4194304|199664.4|202022.7|202429.7|201827.409|0.244|19.355|0.048
strchr (Arm OR 23.01)|4194304|555227.2|555797.3|557621.5|555810.686|0.057|7.028|0.004
strchr (LI-PaRAD)|8388608|610352.2|614752.5|621085.9|614949.077|0.373|12.704|0.047
strchr (GNU libc 2.39)|8388608|397315.0|404052.9|416485.8|403794.696|0.513|19.348|0.098
strchr (Arm OR 23.01)|8388608|1110958.1|1111539.0|1114466.6|1111629.02|0.047|7.028|0.003
strchr (LI-PaRAD)|16777216|1213391.5|1242575.0|1280489.5|1245605.97|1.361|12.546|0.17
strchr (GNU libc 2.39)|16777216|795746.0|804358.5|830099.5|805360.97|0.782|19.402|0.15
strchr (Arm OR 23.01)|16777216|2221648.5|2223389.5|2230521.0|2223769.223|0.087|7.026|0.006
strchr (LI-PaRAD)|33554432|2490658.5|2554401.0|2611716.5|2554098.535|1.127|12.237|0.138
strchr (GNU libc 2.39)|33554432|1572556.5|1586035.0|1602296.5|1586205.252|0.252|19.701|0.05
strchr (Arm OR 23.01)|33554432|4447204.0|4450131.5|4455126.0|4450216.233|0.035|7.022|0.002
strchr (LI-PaRAD)|67108864|5123747.5|5169565.5|5215549.5|5170471.406|0.471|12.088|0.057
strchr (GNU libc 2.39)|67108864|3174026.5|3183686.5|3201920.0|3183920.317|0.143|19.63|0.028
strchr (Arm OR 23.01)|67108864|8892704.0|8896415.5|8903950.5|8896603.446|0.02|7.025|0.001
strchr (LI-PaRAD)|134217728|10336302.0|10403415.0|10456973.5|10400768.401|0.321|12.018|0.039
strchr (GNU libc 2.39)|134217728|6411721.5|6428345.5|6447338.5|6428318.743|0.1|19.445|0.019
strchr (Arm OR 23.01)|134217728|17789290.5|17794681.5|17801231.0|17794837.282|0.013|7.025|0.001
strchr (LI-PaRAD)|268435456|20823051.5|20909157.0|20986436.5|20903050.812|0.16|11.96|0.019
strchr (GNU libc 2.39)|268435456|12884098.0|12945731.0|12976892.5|12934256.465|0.189|19.329|0.037
strchr (Arm OR 23.01)|268435456|35575654.5|35581832.5|35595576.5|35581977.46|0.009|7.026|0.001
strchr (LI-PaRAD)|536870912|41774679.5|41878685.5|41982516.0|41879645.351|0.091|11.939|0.011
strchr (GNU libc 2.39)|536870912|25816066.0|25903290.0|25942476.5|25881274.574|0.144|19.319|0.028
strchr (Arm OR 23.01)|536870912|71159279.0|71166293.0|71186637.0|71167346.01|0.007|7.026|0.0
