        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strcmp (GNU libc 2.39) |          64 |          8.056 |          8.079 |          8.127 |          8.080 |          0.087 |          7.377 |          0.006 |
             strcmp (LI-PaRAD) |          64 |          7.959 |          7.962 |          7.967 |          7.962 |          0.016 |          7.486 |          0.001 |      +1.48%
        strcmp (GNU libc 2.39) |         128 |         15.187 |         15.513 |         15.611 |         15.487 |          0.455 |          7.698 |          0.035 |
             strcmp (LI-PaRAD) |         128 |         13.093 |         13.099 |         13.129 |         13.099 |          0.033 |          9.101 |          0.003 |     +18.23%
        strcmp (GNU libc 2.39) |         256 |         29.103 |         29.159 |         29.306 |         29.169 |          0.197 |          8.174 |          0.016 |
             strcmp (LI-PaRAD) |         256 |         21.823 |         21.830 |         21.839 |         21.830 |          0.016 |         10.922 |          0.002 |     +33.62%
        strcmp (GNU libc 2.39) |         512 |         56.152 |         56.392 |         56.983 |         56.393 |          0.138 |          8.456 |          0.012 |
             strcmp (LI-PaRAD) |         512 |         40.297 |         40.322 |         40.357 |         40.323 |          0.034 |         11.825 |          0.004 |     +39.85%
        strcmp (GNU libc 2.39) |        1024 |        111.225 |        111.698 |        112.041 |        111.664 |          0.166 |          8.541 |          0.014 |
             strcmp (LI-PaRAD) |        1024 |         77.255 |         77.311 |         83.982 |         77.374 |          0.859 |         12.326 |          0.098 |     +44.32%
        strcmp (GNU libc 2.39) |        2048 |        222.022 |        223.112 |        224.246 |        223.081 |          0.171 |          8.550 |          0.015 |
             strcmp (LI-PaRAD) |        2048 |        151.198 |        151.273 |        151.344 |        151.270 |          0.016 |         12.609 |          0.002 |     +47.47%
        strcmp (GNU libc 2.39) |        4096 |        413.369 |        429.296 |        446.798 |        429.526 |          0.976 |          8.882 |          0.087 |
             strcmp (LI-PaRAD) |        4096 |        298.721 |        299.252 |        299.703 |        299.227 |          0.084 |         12.749 |          0.011 |     +43.54%
        strcmp (GNU libc 2.39) |        8192 |        829.667 |        853.782 |        875.867 |        853.570 |          0.824 |          8.939 |          0.074 |
             strcmp (LI-PaRAD) |        8192 |        594.683 |        595.218 |        595.847 |        595.152 |          0.048 |         12.819 |          0.006 |     +43.42%
        strcmp (GNU libc 2.39) |       16384 |       1684.904 |       1705.965 |       1730.674 |       1705.789 |          0.304 |          8.945 |          0.027 |
             strcmp (LI-PaRAD) |       16384 |       1196.518 |       1197.088 |       1200.043 |       1197.121 |          0.034 |         12.746 |          0.004 |     +42.49%
        strcmp (GNU libc 2.39) |       32768 |       3374.605 |       3417.348 |       3641.349 |       3413.650 |          0.826 |          8.940 |          0.071 |
             strcmp (LI-PaRAD) |       32768 |       2385.838 |       2390.212 |       2394.838 |       2389.823 |          0.118 |         12.770 |          0.015 |     +42.84%
        strcmp (GNU libc 2.39) |       65536 |       6663.146 |       6727.849 |       6757.689 |       6722.065 |          0.302 |          9.080 |          0.027 |
             strcmp (LI-PaRAD) |       65536 |       4748.611 |       4752.309 |       4762.972 |       4752.583 |          0.050 |         12.843 |          0.006 |     +41.44%
        strcmp (GNU libc 2.39) |      131072 |      12229.391 |      12296.324 |      12496.789 |      12295.645 |          0.300 |          9.928 |          0.030 |
             strcmp (LI-PaRAD) |      131072 |       9486.820 |       9490.815 |       9500.247 |       9491.052 |          0.031 |         12.862 |          0.004 |     +29.55%
        strcmp (GNU libc 2.39) |      262144 |      26614.560 |      26731.400 |      26860.410 |      26724.106 |          0.202 |          9.136 |          0.018 |
             strcmp (LI-PaRAD) |      262144 |      18927.800 |      18964.720 |      19034.300 |      18968.469 |          0.183 |         12.871 |          0.024 |     +40.89%
        strcmp (GNU libc 2.39) |      524288 |      53348.510 |      53721.490 |      54638.950 |      53783.970 |          0.493 |          9.079 |          0.045 |
             strcmp (LI-PaRAD) |      524288 |      37920.190 |      37994.520 |      38076.840 |      37990.232 |          0.075 |         12.853 |          0.010 |     +41.57%
        strcmp (GNU libc 2.39) |     1048576 |     106363.680 |     107344.160 |     108740.960 |     107332.989 |          0.357 |          9.099 |          0.032 |
             strcmp (LI-PaRAD) |     1048576 |      75834.620 |      75925.090 |      76066.540 |      75927.209 |          0.059 |         12.862 |          0.008 |     +41.36%
        strcmp (GNU libc 2.39) |     2097152 |     211859.900 |     214217.300 |     224510.800 |     215043.650 |          1.159 |          9.084 |          0.103 |
             strcmp (LI-PaRAD) |     2097152 |     151346.000 |     151682.900 |     153721.900 |     151855.823 |          0.418 |         12.862 |          0.054 |     +41.61%
        strcmp (GNU libc 2.39) |     4194304 |     424540.700 |     429831.800 |     454442.200 |     431323.464 |          1.125 |          9.058 |          0.100 |
             strcmp (LI-PaRAD) |     4194304 |     302577.800 |     304297.400 |     308067.200 |     304442.893 |          0.441 |         12.831 |          0.056 |     +41.68%
        strcmp (GNU libc 2.39) |     8388608 |     850766.800 |     861734.200 |    1306492.700 |     867265.313 |          5.200 |          9.025 |          0.321 |
             strcmp (LI-PaRAD) |     8388608 |     607403.100 |     612167.400 |     620192.500 |     611981.495 |          0.474 |         12.766 |          0.060 |     +41.71%
        strcmp (GNU libc 2.39) |    16777216 |    1684604.000 |    1692786.500 |    1832772.500 |    1702000.886 |          1.450 |          9.182 |          0.126 |
             strcmp (LI-PaRAD) |    16777216 |    1213278.000 |    1223373.000 |    1331651.000 |    1233935.663 |          1.731 |         12.666 |          0.214 |     +37.93%
        strcmp (GNU libc 2.39) |    33554432 |    3370690.000 |    3381035.500 |    3613453.500 |    3393645.980 |          0.918 |          9.209 |          0.082 |
             strcmp (LI-PaRAD) |    33554432 |    2434009.000 |    2469552.500 |    2639444.500 |    2484532.470 |          1.683 |         12.581 |          0.208 |     +36.59%
        strcmp (GNU libc 2.39) |    67108864 |    6744577.000 |    6755898.500 |    6863918.000 |    6765861.589 |          0.347 |          9.238 |          0.032 |
             strcmp (LI-PaRAD) |    67108864 |    4867679.000 |    5027622.500 |    5223548.500 |    5016260.990 |          1.794 |         12.463 |          0.223 |     +34.88%
        strcmp (GNU libc 2.39) |   134217728 |   13487700.500 |   13505726.000 |   14966157.000 |   13538143.599 |          1.104 |          9.234 |          0.093 |
             strcmp (LI-PaRAD) |   134217728 |    9837065.500 |   10123742.000 |   10361947.000 |   10118219.040 |          1.100 |         12.355 |          0.136 |     +33.80%
        strcmp (GNU libc 2.39) |   268435456 |   26973691.500 |   27032084.000 |   27344176.000 |   27041945.371 |          0.226 |          9.245 |          0.021 |
             strcmp (LI-PaRAD) |   268435456 |   19818930.000 |   20254862.500 |   20679792.500 |   20246735.337 |          0.876 |         12.349 |          0.108 |     +33.56%
        strcmp (GNU libc 2.39) |   536870912 |   53929196.000 |   54040148.500 |   54571980.500 |   54072750.243 |          0.217 |          9.247 |          0.020 |
             strcmp (LI-PaRAD) |   536870912 |   39795745.000 |   40611296.500 |   43345439.500 |   40611882.178 |          0.969 |         12.313 |          0.116 |     +33.15%
