ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strcmp (LI-PaRAD)|64|7.958|7.961|7.965|7.961|0.014|7.487|0.001
strcmp (Arm OR 23.01)|64|13.975|14.2|14.454|14.186|0.7|4.202|0.029
strcmp (GNU libc 2.39)|64|7.938|7.961|8.155|7.964|0.279|7.485|0.021
strcmp (LI-PaRAD)|128|13.093|13.098|13.103|13.098|0.017|9.102|0.002
strcmp (Arm OR 23.01)|128|21.92|22.419|22.886|22.42|0.843|5.317|0.045
strcmp (GNU libc 2.39)|128|15.519|15.544|15.581|15.544|0.053|7.669|0.004
strcmp (LI-PaRAD)|256|21.823|21.829|21.835|21.829|0.01|10.922|0.001
strcmp (Arm OR 23.01)|256|38.908|39.089|39.265|39.079|0.188|6.101|0.011
strcmp (GNU libc 2.39)|256|29.3|29.339|29.42|29.338|0.092|8.127|0.007
strcmp (LI-PaRAD)|512|40.301|40.32|40.369|40.32|0.029|11.826|0.003
strcmp (Arm OR 23.01)|512|72.704|72.98|73.239|72.983|0.167|6.534|0.011
strcmp (GNU libc 2.39)|512|56.723|56.828|57.397|56.855|0.177|8.387|0.015
strcmp (LI-PaRAD)|1024|77.252|77.302|77.342|77.301|0.021|12.337|0.003
strcmp (Arm OR 23.01)|1024|140.528|140.798|141.041|140.794|0.069|6.774|0.005
strcmp (GNU libc 2.39)|1024|111.969|112.876|113.937|112.901|0.322|8.447|0.027
strcmp (LI-PaRAD)|2048|151.21|151.264|151.305|151.26|0.014|12.61|0.002
strcmp (Arm OR 23.01)|2048|276.172|276.381|276.599|276.377|0.026|6.901|0.002
strcmp (GNU libc 2.39)|2048|224.838|226.027|228.456|226.035|0.239|8.438|0.02
strcmp (LI-PaRAD)|4096|298.927|299.241|299.622|299.199|0.065|12.75|0.008
strcmp (Arm OR 23.01)|4096|546.957|547.593|548.054|547.571|0.04|6.967|0.003
strcmp (GNU libc 2.39)|4096|421.644|429.301|441.705|429.271|0.726|8.887|0.064
strcmp (LI-PaRAD)|8192|594.632|595.049|595.395|595.037|0.028|12.822|0.004
strcmp (Arm OR 23.01)|8192|1089.484|1089.984|1090.589|1089.975|0.024|7.0|0.002
strcmp (GNU libc 2.39)|8192|854.216|858.418|862.316|858.415|0.172|8.888|0.015
strcmp (LI-PaRAD)|16384|1196.501|1196.917|1197.719|1196.904|0.017|12.749|0.002
strcmp (Arm OR 23.01)|16384|2177.238|2178.741|2181.484|2178.743|0.037|7.003|0.003
strcmp (GNU libc 2.39)|16384|1684.128|1689.844|1703.591|1690.186|0.174|9.028|0.016
strcmp (LI-PaRAD)|32768|2380.372|2381.552|2387.222|2382.099|0.071|12.811|0.009
strcmp (Arm OR 23.01)|32768|4341.712|4344.611|4349.526|4344.892|0.037|7.024|0.003
strcmp (GNU libc 2.39)|32768|3372.037|3376.794|3405.224|3376.949|0.105|9.037|0.009
strcmp (LI-PaRAD)|65536|4746.727|4749.388|4754.326|4749.78|0.044|12.85|0.006
strcmp (Arm OR 23.01)|65536|8680.56|8683.682|8691.985|8684.106|0.027|7.028|0.002
strcmp (GNU libc 2.39)|65536|6670.798|6675.605|6718.44|6675.908|0.074|9.143|0.007
strcmp (LI-PaRAD)|131072|9482.519|9486.548|9533.468|9487.331|0.055|12.867|0.007
strcmp (Arm OR 23.01)|131072|17357.665|17363.183|17371.927|17363.154|0.014|7.03|0.001
strcmp (GNU libc 2.39)|131072|12191.475|12203.011|12337.84|12204.473|0.117|10.002|0.012
strcmp (LI-PaRAD)|262144|18928.9|18965.23|19084.4|18965.161|0.11|12.873|0.014
strcmp (Arm OR 23.01)|262144|34685.7|34724.49|35005.35|34724.682|0.102|7.031|0.007
strcmp (GNU libc 2.39)|262144|26570.29|26631.55|26982.23|26642.297|0.218|9.164|0.02
strcmp (LI-PaRAD)|524288|37870.05|37928.76|38015.86|37927.91|0.067|12.874|0.009
strcmp (Arm OR 23.01)|524288|69414.93|69465.63|69568.44|69466.147|0.041|7.029|0.003
strcmp (GNU libc 2.39)|524288|53341.16|53591.97|54268.22|53591.787|0.271|9.111|0.025
strcmp (LI-PaRAD)|1048576|75774.99|75862.49|75980.78|75864.051|0.06|12.873|0.008
strcmp (Arm OR 23.01)|1048576|138857.11|138913.86|139015.85|138917.664|0.022|7.03|0.002
strcmp (GNU libc 2.39)|1048576|106553.4|107240.67|108240.55|107181.7|0.254|9.111|0.023
strcmp (LI-PaRAD)|2097152|151318.4|151679.2|154184.6|151863.655|0.343|12.861|0.044
strcmp (Arm OR 23.01)|2097152|277643.0|277880.5|279301.4|277922.258|0.103|7.028|0.007
strcmp (GNU libc 2.39)|2097152|211980.9|217586.6|226189.7|217263.821|0.857|8.99|0.077
strcmp (LI-PaRAD)|4194304|302908.7|304008.7|307466.4|304135.257|0.341|12.844|0.044
strcmp (Arm OR 23.01)|4194304|555391.5|556061.5|558611.7|556097.099|0.092|7.024|0.006
strcmp (GNU libc 2.39)|4194304|423756.3|433807.5|460580.0|434015.996|1.229|9.002|0.108
strcmp (LI-PaRAD)|8388608|605891.9|610617.2|622379.4|611088.686|0.602|12.785|0.077
strcmp (Arm OR 23.01)|8388608|1111402.9|1112132.7|1120041.9|1112332.134|0.106|7.024|0.007
strcmp (GNU libc 2.39)|8388608|850239.0|863842.8|920602.7|865360.805|1.138|9.029|0.1
strcmp (LI-PaRAD)|16777216|1216062.0|1221863.0|1298753.5|1232510.342|1.599|12.681|0.199
strcmp (Arm OR 23.01)|16777216|2223796.0|2225530.0|2236865.5|2226007.371|0.088|7.019|0.006
strcmp (GNU libc 2.39)|16777216|1688637.5|1733135.5|1843771.5|1751150.045|2.673|8.929|0.236
strcmp (LI-PaRAD)|33554432|2433605.5|2507262.0|2620457.0|2508616.505|1.885|12.461|0.234
strcmp (Arm OR 23.01)|33554432|4449360.5|4452103.5|4461670.5|4452630.797|0.041|7.018|0.003
strcmp (GNU libc 2.39)|33554432|3374820.0|3420807.5|3562787.0|3432303.05|1.48|9.107|0.133
strcmp (LI-PaRAD)|67108864|4866795.0|5030898.5|5254023.5|5029557.564|1.614|12.43|0.201
strcmp (Arm OR 23.01)|67108864|8898355.0|8903406.0|8979018.5|8904465.455|0.091|7.019|0.006
strcmp (GNU libc 2.39)|67108864|6751475.5|6821602.0|6985857.0|6828168.693|0.798|9.154|0.073
strcmp (LI-PaRAD)|134217728|9804676.0|10097260.0|10452684.0|10097178.668|1.258|12.382|0.155
strcmp (Arm OR 23.01)|134217728|17799175.5|17802909.5|17812771.0|17803156.866|0.015|7.021|0.001
strcmp (GNU libc 2.39)|134217728|13488548.0|13550377.0|13738959.0|13563222.297|0.385|9.216|0.035
strcmp (LI-PaRAD)|268435456|19834634.5|20214331.0|20538594.5|20198019.05|0.737|12.378|0.091
strcmp (Arm OR 23.01)|268435456|35594611.5|35604297.5|35622978.5|35604077.832|0.013|7.022|0.001
strcmp (GNU libc 2.39)|268435456|26964209.0|27065861.5|27363027.5|27073652.49|0.249|9.234|0.023
strcmp (LI-PaRAD)|536870912|39769381.0|40450920.5|41063756.5|40444064.446|0.675|12.363|0.083
strcmp (Arm OR 23.01)|536870912|71187846.0|71200686.5|71233644.0|71202281.896|0.014|7.022|0.001
strcmp (GNU libc 2.39)|536870912|53930907.5|54036997.0|54359959.5|54046957.045|0.144|9.251|0.013
