        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          64 |          9.653 |         10.338 |         10.561 |         10.277 |          1.823 |          5.802 |          0.108 |
             strcpy (LI-PaRAD) |          64 |          3.464 |          3.608 |          3.855 |          3.601 |          3.410 |         16.569 |          0.558 |    +185.37%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |         128 |         15.404 |         15.410 |         15.427 |         15.409 |          0.017 |          7.736 |          0.001 |
             strcpy (LI-PaRAD) |         128 |          4.620 |          4.622 |          4.809 |          4.625 |          0.403 |         25.777 |          0.100 |    +233.20%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |         256 |         24.747 |         24.751 |         24.758 |         24.751 |          0.010 |          9.633 |          0.001 |
             strcpy (LI-PaRAD) |         256 |          7.706 |          8.088 |          8.790 |          8.105 |          2.494 |         29.434 |          0.725 |    +205.38%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |         512 |         43.895 |         43.912 |         43.964 |         43.917 |          0.042 |         10.858 |          0.005 |
             strcpy (LI-PaRAD) |         512 |         13.846 |         14.107 |         17.177 |         14.997 |          8.379 |         32.007 |          2.537 |    +192.85%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |        1024 |         83.556 |         83.667 |         83.745 |         83.666 |          0.032 |         11.399 |          0.004 |
             strcpy (LI-PaRAD) |        1024 |         28.140 |         30.034 |         30.793 |         29.935 |          1.610 |         31.866 |          0.519 |    +179.49%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |        2048 |        161.000 |        161.030 |        161.131 |        161.031 |          0.011 |         11.845 |          0.001 |
             strcpy (LI-PaRAD) |        2048 |         54.460 |         57.101 |         57.429 |         56.872 |          1.272 |         33.543 |          0.439 |    +183.15%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |        4096 |        317.354 |        317.785 |        318.220 |        317.773 |          0.071 |         12.004 |          0.009 |
             strcpy (LI-PaRAD) |        4096 |        101.926 |        102.426 |        103.440 |        102.448 |          0.223 |         37.236 |          0.083 |    +210.18%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
