ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strcpy (LI-PaRAD)|64|3.605|3.639|4.574|3.648|2.583|16.349|0.34
strcpy (GNU libc 2.39)|64|4.625|4.655|4.664|4.654|0.168|12.808|0.022
strcpy (Arm OR 23.01)|64|9.781|10.315|11.149|10.336|2.75|5.771|0.158
strcpy (LI-PaRAD)|128|4.968|5.052|5.124|5.052|0.585|23.596|0.138
strcpy (GNU libc 2.39)|128|7.209|7.215|7.222|7.215|0.029|16.523|0.005
strcpy (Arm OR 23.01)|128|15.211|15.217|15.224|15.216|0.014|7.834|0.001
strcpy (LI-PaRAD)|256|7.912|8.485|8.783|8.436|2.51|28.281|0.719
strcpy (GNU libc 2.39)|256|12.485|12.493|12.53|12.494|0.044|19.083|0.008
strcpy (Arm OR 23.01)|256|24.65|24.654|24.661|24.655|0.01|9.67|0.001
strcpy (LI-PaRAD)|512|13.847|13.877|15.32|13.888|1.046|34.337|0.326
strcpy (GNU libc 2.39)|512|23.03|23.073|23.178|23.079|0.159|20.661|0.033
strcpy (Arm OR 23.01)|512|43.897|43.919|43.962|43.919|0.04|10.857|0.004
strcpy (LI-PaRAD)|1024|27.399|28.934|29.818|28.977|2.043|32.925|0.682
strcpy (GNU libc 2.39)|1024|44.354|44.495|44.84|44.539|0.285|21.413|0.061
strcpy (Arm OR 23.01)|1024|83.444|83.555|83.615|83.56|0.025|11.413|0.003
strcpy (LI-PaRAD)|2048|50.822|50.869|51.138|50.874|0.103|37.492|0.039
strcpy (GNU libc 2.39)|2048|87.067|87.788|89.064|87.795|0.41|21.725|0.089
strcpy (Arm OR 23.01)|2048|161.001|161.025|161.078|161.029|0.01|11.845|0.001
strcpy (LI-PaRAD)|4096|100.004|100.298|100.805|100.288|0.208|38.038|0.079
strcpy (GNU libc 2.39)|4096|174.716|177.483|178.905|177.442|0.35|21.499|0.075
strcpy (Arm OR 23.01)|4096|317.345|317.723|318.145|317.684|0.062|12.008|0.007
strcpy (LI-PaRAD)|8192|198.465|201.881|203.643|201.489|0.538|37.866|0.206
strcpy (GNU libc 2.39)|8192|352.017|372.835|389.871|373.562|2.574|20.437|0.531
strcpy (Arm OR 23.01)|8192|629.16|629.443|632.416|629.461|0.054|12.121|0.006
strcpy (LI-PaRAD)|16384|405.538|406.283|409.406|406.96|0.282|37.495|0.106
strcpy (GNU libc 2.39)|16384|769.212|779.634|783.132|778.601|0.406|19.598|0.08
strcpy (Arm OR 23.01)|16384|1262.14|1262.428|1263.072|1262.481|0.017|12.086|0.002
strcpy (LI-PaRAD)|32768|799.264|799.271|805.691|800.6|0.227|38.119|0.086
