        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strlen (GNU libc 2.39) |          64 |          3.975 |          3.996 |          4.002 |          3.995 |          0.112 |         14.921 |          0.017 |
             strlen (LI-PaRAD) |          64 |          3.464 |          3.747 |          3.822 |          3.705 |          2.641 |         16.098 |          0.435 |      +7.81%
        strlen (GNU libc 2.39) |         128 |          5.065 |          5.072 |          5.081 |          5.072 |          0.061 |         23.506 |          0.014 |
             strlen (LI-PaRAD) |         128 |          5.107 |          5.425 |          5.716 |          5.435 |          2.713 |         21.950 |          0.596 |      -6.69%
        strlen (GNU libc 2.39) |         256 |          7.946 |          7.949 |          7.959 |          7.949 |          0.022 |         29.993 |          0.007 |
             strlen (LI-PaRAD) |         256 |          8.012 |          8.482 |          9.205 |          8.504 |          4.262 |         28.085 |          1.188 |      -6.53%
        strlen (GNU libc 2.39) |         512 |         13.773 |         13.827 |         14.027 |         13.825 |          0.213 |         34.490 |          0.073 |
             strlen (LI-PaRAD) |         512 |         13.847 |         13.870 |         13.913 |         13.870 |          0.132 |         34.378 |          0.045 |      -0.32%
        strlen (GNU libc 2.39) |        1024 |         24.401 |         24.563 |         33.478 |         24.914 |          6.812 |         38.412 |          1.983 |
             strlen (LI-PaRAD) |        1024 |         27.329 |         27.359 |         27.405 |         27.354 |          0.078 |         34.865 |          0.027 |      -8.92%
        strlen (GNU libc 2.39) |        2048 |         46.060 |         46.594 |         47.013 |         46.566 |          0.507 |         40.962 |          0.208 |
             strlen (LI-PaRAD) |        2048 |         51.973 |         52.007 |         59.314 |         52.112 |          1.518 |         36.609 |          0.495 |     -10.64%
        strlen (GNU libc 2.39) |        4096 |         88.471 |         91.797 |         93.717 |         91.760 |          1.475 |         41.581 |          0.620 |
             strlen (LI-PaRAD) |        4096 |        101.156 |        101.372 |        102.514 |        101.327 |          0.210 |         37.648 |          0.079 |      -9.44%
        strlen (GNU libc 2.39) |        8192 |        177.323 |        182.907 |        188.578 |        182.710 |          1.120 |         41.762 |          0.470 |
             strlen (LI-PaRAD) |        8192 |        199.791 |        199.914 |        200.450 |        199.943 |          0.068 |         38.158 |          0.026 |      -8.62%
        strlen (GNU libc 2.39) |       16384 |        330.392 |        336.355 |        400.103 |        344.261 |          4.544 |         44.409 |          1.905 |
             strlen (LI-PaRAD) |       16384 |        404.385 |        404.548 |        404.995 |        404.569 |          0.035 |         37.716 |          0.013 |     -14.91%
        strlen (GNU libc 2.39) |       32768 |        648.271 |        665.108 |        801.134 |        683.295 |          5.824 |         44.802 |          2.430 |
             strlen (LI-PaRAD) |       32768 |        797.811 |        797.845 |        819.984 |        799.354 |          0.341 |         38.178 |          0.128 |     -14.52%
        strlen (GNU libc 2.39) |       65536 |       1328.154 |       1343.988 |       1570.080 |       1386.434 |          5.667 |         44.154 |          2.326 |
             strlen (LI-PaRAD) |       65536 |       1595.198 |       1597.761 |       1601.519 |       1598.017 |          0.110 |         38.194 |          0.042 |     -13.24%
        strlen (GNU libc 2.39) |      131072 |       2718.914 |       2926.782 |       3160.252 |       2913.765 |          4.270 |         41.969 |          1.775 |
             strlen (LI-PaRAD) |      131072 |       3170.784 |       3174.388 |       3187.915 |       3174.455 |          0.084 |         38.454 |          0.032 |      -8.21%
        strlen (GNU libc 2.39) |      262144 |       5452.690 |       5699.760 |       6344.250 |       5845.478 |          5.833 |         41.904 |          2.390 |
             strlen (LI-PaRAD) |      262144 |       6322.940 |       6323.220 |       6397.050 |       6335.234 |          0.317 |         38.537 |          0.122 |      -7.73%
        strlen (GNU libc 2.39) |      524288 |      10764.020 |      11186.640 |      12854.600 |      11650.935 |          6.657 |         42.090 |          2.738 |
             strlen (LI-PaRAD) |      524288 |      12667.570 |      12703.500 |      12736.180 |      12697.478 |          0.163 |         38.455 |          0.063 |      -8.24%
        strlen (GNU libc 2.39) |     1048576 |      22772.090 |      23761.390 |      25456.330 |      23888.875 |          3.339 |         40.924 |          1.346 |
             strlen (LI-PaRAD) |     1048576 |      25363.630 |      25411.870 |      25509.440 |      25417.527 |          0.126 |         38.421 |          0.049 |      -6.01%
        strlen (GNU libc 2.39) |     2097152 |      49163.000 |      50353.800 |      51336.300 |      50395.544 |          0.619 |         38.757 |          0.240 |
             strlen (LI-PaRAD) |     2097152 |      50478.200 |      50485.700 |      51593.400 |      50633.490 |          0.555 |         38.575 |          0.212 |      -0.47%
        strlen (GNU libc 2.39) |     4194304 |      97724.300 |     100787.400 |     107253.200 |     100843.426 |          0.966 |         38.739 |          0.362 |
             strlen (LI-PaRAD) |     4194304 |     100904.800 |     101326.700 |     102347.900 |     101269.449 |          0.392 |         38.573 |          0.151 |      -0.42%
        strlen (GNU libc 2.39) |     8388608 |     192799.300 |     201843.800 |     216144.000 |     201449.511 |          1.288 |         38.788 |          0.500 |
             strlen (LI-PaRAD) |     8388608 |     201831.500 |     202958.600 |     206376.400 |     203002.986 |          0.312 |         38.485 |          0.120 |      -0.77%
        strlen (GNU libc 2.39) |    16777216 |     381395.000 |     405379.000 |     471132.500 |     406719.520 |          3.692 |         38.467 |          1.365 |
             strlen (LI-PaRAD) |    16777216 |     403558.000 |     403652.500 |     420134.500 |     407625.371 |          1.325 |         38.338 |          0.502 |      -0.22%
        strlen (GNU libc 2.39) |    33554432 |     882493.500 |     923629.500 |    1029888.000 |     922917.114 |          2.198 |         33.876 |          0.715 |
