        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |          64 |         10.401 |         10.614 |         10.812 |         10.608 |          0.873 |          5.619 |          0.049 |
            strncmp (LI-PaRAD) |          64 |          7.123 |          7.128 |          7.130 |          7.127 |          0.026 |          8.363 |          0.002 |     +48.85%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |         128 |         21.267 |         21.487 |         21.704 |         21.476 |          0.425 |          5.551 |          0.024 |
            strncmp (LI-PaRAD) |         128 |         13.895 |         13.985 |         14.041 |         13.983 |          0.240 |          8.525 |          0.020 |     +53.58%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |         256 |         39.948 |         40.292 |         40.456 |         40.291 |          0.273 |          5.917 |          0.016 |
            strncmp (LI-PaRAD) |         256 |         25.889 |         26.015 |         26.143 |         26.017 |          0.198 |          9.164 |          0.018 |     +54.86%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |         512 |         75.653 |         76.980 |         78.207 |         76.938 |          0.801 |          6.198 |          0.050 |
            strncmp (LI-PaRAD) |         512 |         51.033 |         51.846 |         52.034 |         51.710 |          0.508 |          9.222 |          0.047 |     +48.79%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |        1024 |        147.021 |        150.168 |        153.692 |        150.072 |          0.855 |          6.355 |          0.054 |
            strncmp (LI-PaRAD) |        1024 |         99.787 |        101.475 |        102.651 |        101.438 |          0.624 |          9.402 |          0.059 |     +47.94%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |        2048 |        290.822 |        296.693 |        303.288 |        296.571 |          0.823 |          6.432 |          0.053 |
            strncmp (LI-PaRAD) |        2048 |        199.049 |        201.116 |        204.104 |        201.078 |          0.520 |          9.486 |          0.049 |     +47.49%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |        4096 |        571.692 |        592.628 |        606.746 |        590.455 |          1.735 |          6.463 |          0.113 |
            strncmp (LI-PaRAD) |        4096 |        395.512 |        403.382 |        411.805 |        403.582 |          1.325 |          9.454 |          0.125 |     +46.30%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |        8192 |       1138.634 |       1174.730 |       1200.131 |       1174.292 |          1.182 |          6.498 |          0.077 |
            strncmp (LI-PaRAD) |        8192 |        790.690 |        795.405 |        806.283 |        795.180 |          0.399 |          9.595 |          0.038 |     +47.68%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |       16384 |       2293.410 |       2346.595 |       2396.177 |       2345.707 |          0.901 |          6.506 |          0.059 |
            strncmp (LI-PaRAD) |       16384 |       1585.405 |       1591.392 |       1596.723 |       1591.201 |          0.157 |          9.590 |          0.015 |     +47.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |       32768 |       4550.613 |       4715.115 |       4846.659 |       4709.413 |          1.958 |          6.483 |          0.127 |
            strncmp (LI-PaRAD) |       32768 |       3159.621 |       3162.722 |       3175.605 |       3162.518 |          0.072 |          9.650 |          0.007 |     +48.91%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |       65536 |       9098.786 |       9385.470 |       9660.388 |       9373.400 |          1.217 |          6.512 |          0.079 |
            strncmp (LI-PaRAD) |       65536 |       6315.091 |       6349.985 |       6377.953 |       6346.672 |          0.244 |          9.617 |          0.023 |     +47.69%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |      131072 |      17424.603 |      17430.078 |      17456.050 |      17430.418 |          0.022 |          7.003 |          0.002 |
            strncmp (LI-PaRAD) |      131072 |      12629.153 |      12633.262 |      12638.174 |      12633.366 |          0.017 |          9.663 |          0.002 |     +37.97%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |      262144 |      36350.020 |      37626.490 |      38690.920 |      37556.116 |          1.972 |          6.503 |          0.128 |
            strncmp (LI-PaRAD) |      262144 |      25273.030 |      25380.420 |      25507.490 |      25379.957 |          0.237 |          9.619 |          0.023 |     +47.98%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |      524288 |      73031.600 |      75256.300 |      77433.520 |      75202.558 |          1.300 |          6.494 |          0.084 |
            strncmp (LI-PaRAD) |      524288 |      51098.380 |      51319.850 |      51617.440 |      51320.232 |          0.229 |          9.514 |          0.022 |     +46.54%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |     1048576 |     146838.870 |     150520.090 |     154700.910 |     150471.227 |          0.984 |          6.491 |          0.064 |
            strncmp (LI-PaRAD) |     1048576 |     101386.660 |     101923.430 |     102547.780 |     101960.425 |          0.268 |          9.578 |          0.026 |     +47.58%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |     2097152 |     291225.200 |     300591.400 |     309900.400 |     301227.300 |          2.187 |          6.487 |          0.142 |
            strncmp (LI-PaRAD) |     2097152 |     201719.300 |     204192.400 |     207542.100 |     204213.272 |          0.564 |          9.564 |          0.054 |     +47.51%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |     4194304 |     585804.500 |     604145.100 |     619134.600 |     603538.656 |          1.540 |          6.474 |          0.100 |
            strncmp (LI-PaRAD) |     4194304 |     404202.400 |     407554.500 |     413914.300 |     408041.876 |          0.503 |          9.573 |          0.048 |     +47.91%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |     8388608 |    1173796.800 |    1207834.200 |    1243798.100 |    1207451.966 |          1.053 |          6.471 |          0.068 |
            strncmp (LI-PaRAD) |     8388608 |     809124.300 |     814477.200 |     825196.700 |     814905.005 |          0.443 |          9.587 |          0.042 |     +48.17%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |    16777216 |    2344077.000 |    2414803.000 |    2479935.000 |    2411475.366 |          1.477 |          6.481 |          0.096 |
            strncmp (LI-PaRAD) |    16777216 |    1642354.000 |    1655127.000 |    1666986.000 |    1654097.886 |          0.330 |          9.446 |          0.031 |     +45.79%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |    33554432 |    4728801.500 |    4846670.500 |    4957222.500 |    4846839.272 |          1.055 |          6.448 |          0.068 |
            strncmp (LI-PaRAD) |    33554432 |    3272797.000 |    3294391.500 |    3318604.000 |    3295050.203 |          0.332 |          9.484 |          0.031 |     +47.09%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |    67108864 |    9362201.500 |    9620224.000 |    9854524.000 |    9613947.822 |          0.968 |          6.502 |          0.063 |
            strncmp (LI-PaRAD) |    67108864 |    6552621.000 |    6599407.000 |    6629589.500 |    6598813.530 |          0.194 |          9.471 |          0.018 |     +45.69%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |   134217728 |   18846097.000 |   19302934.500 |   19636164.500 |   19294094.767 |          0.787 |          6.479 |          0.051 |
            strncmp (LI-PaRAD) |   134217728 |   13071398.000 |   13195613.500 |   13233529.000 |   13179328.282 |          0.292 |          9.485 |          0.028 |     +46.40%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |   268435456 |   38169594.000 |   38639307.500 |   39012104.000 |   38602236.050 |          0.536 |          6.476 |          0.035 |
            strncmp (LI-PaRAD) |   268435456 |   26251037.000 |   26331622.500 |   26445678.000 |   26329651.173 |          0.120 |          9.495 |          0.011 |     +46.61%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |   536870912 |   76591702.500 |   77397489.000 |   78148201.500 |   77414343.144 |          0.321 |          6.459 |          0.021 |
            strncmp (LI-PaRAD) |   536870912 |   52350056.000 |   52631115.500 |   52791741.000 |   52597399.649 |          0.227 |          9.506 |          0.022 |     +47.18%
