        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
       strncmp (GNU libc 2.39) |          64 |         10.565 |         10.585 |         10.606 |         10.586 |          0.037 |          5.631 |          0.002 |
            strncmp (LI-PaRAD) |          64 |          7.212 |          7.320 |          7.326 |          7.312 |          0.257 |          8.152 |          0.021 |     +44.77%
       strncmp (GNU libc 2.39) |         128 |         19.720 |         19.754 |         19.798 |         19.757 |          0.072 |          6.034 |          0.004 |
            strncmp (LI-PaRAD) |         128 |         13.952 |         14.036 |         14.089 |         14.042 |          0.157 |          8.490 |          0.013 |     +40.70%
       strncmp (GNU libc 2.39) |         256 |         37.738 |         37.790 |         39.282 |         37.803 |          0.394 |          6.307 |          0.024 |
            strncmp (LI-PaRAD) |         256 |         25.901 |         25.908 |         25.939 |         25.908 |          0.016 |          9.203 |          0.001 |     +45.91%
       strncmp (GNU libc 2.39) |         512 |         74.099 |         74.178 |         74.225 |         74.175 |          0.032 |          6.429 |          0.002 |
            strncmp (LI-PaRAD) |         512 |         51.211 |         51.700 |         52.026 |         51.689 |          0.457 |          9.225 |          0.042 |     +43.50%
       strncmp (GNU libc 2.39) |        1024 |        146.778 |        146.949 |        147.343 |        146.960 |          0.043 |          6.489 |          0.003 |
            strncmp (LI-PaRAD) |        1024 |        100.619 |        100.643 |        100.761 |        100.647 |          0.020 |          9.475 |          0.002 |     +46.02%
       strncmp (GNU libc 2.39) |        2048 |        292.379 |        292.460 |        292.724 |        292.464 |          0.017 |          6.522 |          0.001 |
            strncmp (LI-PaRAD) |        2048 |        202.051 |        203.826 |        205.126 |        203.787 |          0.274 |          9.360 |          0.026 |     +43.51%
       strncmp (GNU libc 2.39) |        4096 |        588.374 |        591.874 |        603.184 |        591.927 |          0.297 |          6.445 |          0.019 |
            strncmp (LI-PaRAD) |        4096 |        399.378 |        399.593 |        400.375 |        399.619 |          0.037 |          9.546 |          0.004 |     +48.12%
       strncmp (GNU libc 2.39) |        8192 |       1172.672 |       1175.843 |       1179.938 |       1175.769 |          0.133 |          6.489 |          0.009 |
            strncmp (LI-PaRAD) |        8192 |        822.483 |        822.652 |        823.189 |        822.666 |          0.017 |          9.274 |          0.002 |     +42.92%
       strncmp (GNU libc 2.39) |       16384 |       2328.401 |       2335.484 |       2339.869 |       2335.106 |          0.108 |          6.535 |          0.007 |
            strncmp (LI-PaRAD) |       16384 |       1596.726 |       1597.226 |       1600.248 |       1597.300 |          0.027 |          9.553 |          0.003 |     +46.19%
       strncmp (GNU libc 2.39) |       32768 |       4689.222 |       4692.811 |       4698.870 |       4693.011 |          0.047 |          6.503 |          0.003 |
            strncmp (LI-PaRAD) |       32768 |       3186.151 |       3190.824 |       3195.205 |       3190.528 |          0.068 |          9.565 |          0.007 |     +47.09%
       strncmp (GNU libc 2.39) |       65536 |       9363.095 |       9367.116 |       9377.489 |       9367.460 |          0.027 |          6.516 |          0.002 |
            strncmp (LI-PaRAD) |       65536 |       6339.019 |       6342.772 |       6349.124 |       6342.842 |          0.031 |          9.623 |          0.003 |     +47.69%
       strncmp (GNU libc 2.39) |      131072 |      18371.735 |      18377.962 |      18406.879 |      18378.120 |          0.022 |          6.642 |          0.001 |
            strncmp (LI-PaRAD) |      131072 |      12635.022 |      12637.880 |      12642.677 |      12638.060 |          0.016 |          9.659 |          0.002 |     +45.42%
       strncmp (GNU libc 2.39) |      262144 |      37394.350 |      37460.420 |      37505.210 |      37457.620 |          0.055 |          6.518 |          0.004 |
            strncmp (LI-PaRAD) |      262144 |      25522.240 |      25637.560 |      25762.230 |      25634.244 |          0.216 |          9.524 |          0.021 |     +46.12%
       strncmp (GNU libc 2.39) |      524288 |      74800.060 |      74926.240 |      75257.120 |      74931.422 |          0.087 |          6.516 |          0.006 |
            strncmp (LI-PaRAD) |      524288 |      51127.790 |      51357.800 |      51639.850 |      51380.868 |          0.218 |          9.503 |          0.021 |     +45.84%
       strncmp (GNU libc 2.39) |     1048576 |     149845.540 |     149980.670 |     151521.650 |     150000.589 |          0.111 |          6.510 |          0.007 |
            strncmp (LI-PaRAD) |     1048576 |     101917.490 |     102378.450 |     102908.100 |     102361.563 |          0.199 |          9.540 |          0.019 |     +46.54%
       strncmp (GNU libc 2.39) |     2097152 |     299292.100 |     299695.400 |     303163.900 |     299717.788 |          0.159 |          6.517 |          0.010 |
            strncmp (LI-PaRAD) |     2097152 |     201750.700 |     204621.100 |     209969.500 |     204651.177 |          0.646 |          9.544 |          0.061 |     +46.45%
       strncmp (GNU libc 2.39) |     4194304 |     599482.600 |     599870.700 |     606906.100 |     600157.411 |          0.192 |          6.509 |          0.012 |
            strncmp (LI-PaRAD) |     4194304 |     409195.500 |     412598.200 |     416597.200 |     412641.751 |          0.401 |          9.467 |          0.038 |     +45.44%
       strncmp (GNU libc 2.39) |     8388608 |    1196497.200 |    1199296.900 |    1202245.800 |    1199162.369 |          0.127 |          6.515 |          0.008 |
            strncmp (LI-PaRAD) |     8388608 |     829252.000 |     833005.900 |     836438.300 |     832838.721 |          0.231 |          9.381 |          0.022 |     +43.98%
       strncmp (GNU libc 2.39) |    16777216 |    2392046.000 |    2399448.000 |    2410915.000 |    2400761.347 |          0.243 |          6.508 |          0.016 |
            strncmp (LI-PaRAD) |    16777216 |    1635251.500 |    1656103.500 |    1675077.500 |    1655475.446 |          0.423 |          9.439 |          0.040 |     +45.02%
       strncmp (GNU libc 2.39) |    33554432 |    4784191.000 |    4807822.500 |    4810493.000 |    4803485.337 |          0.181 |          6.506 |          0.012 |
            strncmp (LI-PaRAD) |    33554432 |    3297390.500 |    3310914.000 |    3326029.000 |    3311505.584 |          0.196 |          9.437 |          0.018 |     +45.05%
       strncmp (GNU libc 2.39) |    67108864 |    9566125.500 |    9605502.000 |    9615891.000 |    9593729.416 |          0.183 |          6.515 |          0.012 |
            strncmp (LI-PaRAD) |    67108864 |    6556145.500 |    6597288.000 |    6624288.500 |    6595621.173 |          0.191 |          9.476 |          0.018 |     +45.46%
       strncmp (GNU libc 2.39) |   134217728 |   19124646.000 |   19133120.000 |   19209089.000 |   19150467.653 |          0.164 |          6.527 |          0.011 |
            strncmp (LI-PaRAD) |   134217728 |   13135631.500 |   13173670.500 |   13215094.500 |   13173400.371 |          0.146 |          9.489 |          0.014 |     +45.37%
       strncmp (GNU libc 2.39) |   268435456 |   38254610.000 |   38282055.500 |   38408697.500 |   38295839.465 |          0.098 |          6.528 |          0.006 |
            strncmp (LI-PaRAD) |   268435456 |   26240765.000 |   26302662.000 |   26380970.000 |   26302751.302 |          0.113 |          9.505 |          0.011 |     +45.60%
       strncmp (GNU libc 2.39) |   536870912 |   76505191.500 |   76561301.500 |   76810441.500 |   76602503.158 |          0.116 |          6.527 |          0.008 |
            strncmp (LI-PaRAD) |   536870912 |   52511956.000 |   52676151.500 |   52792870.000 |   52677927.059 |          0.102 |          9.492 |          0.010 |     +45.42%
