ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strncmp (LI-PaRAD)|64|7.123|7.127|7.148|7.127|0.042|8.363|0.004
strncmp (Arm OR 23.01)|64|10.398|10.577|10.833|10.584|0.869|5.632|0.049
strncmp (GNU libc 2.39)|64|10.723|10.888|11.09|10.892|0.707|5.472|0.039
strncmp (LI-PaRAD)|128|13.897|13.994|14.062|13.993|0.252|8.519|0.022
strncmp (Arm OR 23.01)|128|21.222|21.496|21.703|21.482|0.447|5.549|0.025
strncmp (GNU libc 2.39)|128|19.688|19.902|20.013|19.893|0.351|5.993|0.021
strncmp (LI-PaRAD)|256|25.866|26.013|26.166|26.011|0.214|9.166|0.02
strncmp (Arm OR 23.01)|256|39.944|40.224|40.451|40.221|0.317|5.928|0.019
strncmp (GNU libc 2.39)|256|37.947|38.006|38.038|38.006|0.037|6.273|0.002
strncmp (LI-PaRAD)|512|50.822|51.277|52.013|51.295|0.633|9.296|0.059
strncmp (Arm OR 23.01)|512|75.037|76.939|78.215|76.869|0.965|6.204|0.06
strncmp (GNU libc 2.39)|512|73.968|74.357|74.671|74.36|0.132|6.413|0.008
strncmp (LI-PaRAD)|1024|100.317|101.676|103.241|101.586|0.66|9.388|0.062
strncmp (Arm OR 23.01)|1024|147.155|150.048|152.73|150.065|0.868|6.356|0.055
strncmp (GNU libc 2.39)|1024|147.041|147.144|147.588|147.155|0.056|6.481|0.004
strncmp (LI-PaRAD)|2048|198.796|200.112|203.158|200.467|0.559|9.515|0.053
strncmp (Arm OR 23.01)|2048|291.667|296.468|301.201|296.43|0.728|6.435|0.047
strncmp (GNU libc 2.39)|2048|292.277|292.648|293.184|292.662|0.044|6.517|0.003
strncmp (LI-PaRAD)|4096|395.428|404.512|411.281|403.892|1.155|9.446|0.109
strncmp (Arm OR 23.01)|4096|571.466|592.342|607.071|589.958|1.515|6.468|0.098
strncmp (GNU libc 2.39)|4096|586.649|590.499|593.442|590.43|0.201|6.461|0.013
strncmp (LI-PaRAD)|8192|794.418|809.858|822.587|809.563|0.857|9.425|0.081
strncmp (Arm OR 23.01)|8192|1147.778|1179.422|1210.9|1179.089|1.273|6.472|0.082
strncmp (GNU libc 2.39)|8192|1170.078|1172.803|1176.62|1172.851|0.105|6.505|0.007
strncmp (LI-PaRAD)|16384|1586.196|1599.411|1611.25|1599.266|0.366|9.541|0.035
strncmp (Arm OR 23.01)|16384|2276.477|2348.299|2411.11|2347.552|0.95|6.5|0.062
strncmp (GNU libc 2.39)|16384|2334.76|2338.19|2340.265|2338.079|0.045|6.526|0.003
strncmp (LI-PaRAD)|32768|3159.46|3164.018|3175.484|3164.29|0.086|9.644|0.008
strncmp (Arm OR 23.01)|32768|4552.024|4703.844|4846.024|4706.704|1.92|6.486|0.125
strncmp (GNU libc 2.39)|32768|4681.111|4694.963|4705.353|4693.956|0.1|6.501|0.007
strncmp (LI-PaRAD)|65536|6315.147|6362.156|6409.433|6363.365|0.366|9.592|0.035
strncmp (Arm OR 23.01)|65536|9156.186|9397.389|9673.139|9388.606|1.424|6.502|0.092
strncmp (GNU libc 2.39)|65536|9345.059|9363.808|9408.903|9364.113|0.06|6.518|0.004
strncmp (LI-PaRAD)|131072|12628.515|12632.645|12640.28|12633.24|0.021|9.663|0.002
strncmp (Arm OR 23.01)|131072|17405.604|17415.816|17426.687|17415.788|0.021|7.009|0.001
strncmp (GNU libc 2.39)|131072|18314.093|18372.003|18382.321|18370.276|0.06|6.645|0.004
strncmp (LI-PaRAD)|262144|25244.99|25373.53|25587.86|25381.183|0.384|9.619|0.037
strncmp (Arm OR 23.01)|262144|36321.13|37631.75|38691.02|37562.281|1.977|6.502|0.129
strncmp (GNU libc 2.39)|262144|37331.46|37547.11|37631.11|37523.707|0.186|6.506|0.012
strncmp (LI-PaRAD)|524288|50560.93|51038.24|51769.49|51066.019|0.484|9.562|0.046
strncmp (Arm OR 23.01)|524288|72859.52|75239.47|77419.93|75268.052|1.503|6.489|0.097
strncmp (GNU libc 2.39)|524288|74677.73|74778.59|74970.59|74778.621|0.061|6.53|0.004
strncmp (LI-PaRAD)|1048576|101359.25|101990.71|102599.37|101982.039|0.185|9.576|0.018
strncmp (Arm OR 23.01)|1048576|146403.34|150540.23|153962.54|150465.328|1.071|6.491|0.07
strncmp (GNU libc 2.39)|1048576|149339.59|150035.55|150291.58|149932.72|0.158|6.513|0.01
strncmp (LI-PaRAD)|2097152|201722.6|204044.6|207437.6|204048.613|0.583|9.572|0.056
strncmp (Arm OR 23.01)|2097152|292499.0|302505.2|310086.6|302595.38|1.911|6.457|0.124
strncmp (GNU libc 2.39)|2097152|298107.2|298725.7|301529.3|298819.804|0.176|6.536|0.011
strncmp (LI-PaRAD)|4194304|404176.5|409206.6|417306.7|409036.546|0.549|9.55|0.052
strncmp (Arm OR 23.01)|4194304|580670.7|603844.3|620519.1|602697.198|1.506|6.483|0.098
strncmp (GNU libc 2.39)|4194304|596439.0|597637.4|606779.4|598157.123|0.296|6.531|0.019
strncmp (LI-PaRAD)|8388608|808580.7|813659.5|825764.1|814120.492|0.41|9.596|0.039
strncmp (Arm OR 23.01)|8388608|1168670.1|1206852.1|1238419.0|1207323.542|1.173|6.472|0.076
strncmp (GNU libc 2.39)|8388608|1194163.5|1194867.7|1213518.2|1195633.279|0.237|6.534|0.015
strncmp (LI-PaRAD)|16777216|1644993.5|1661482.0|1671057.0|1660571.515|0.337|9.41|0.032
strncmp (Arm OR 23.01)|16777216|2327122.5|2409275.5|2484922.5|2410660.109|1.783|6.484|0.116
strncmp (GNU libc 2.39)|16777216|2392316.0|2402097.5|2411807.5|2401814.55|0.115|6.506|0.007
strncmp (LI-PaRAD)|33554432|3272091.5|3292112.0|3318083.5|3292554.817|0.325|9.491|0.031
strncmp (Arm OR 23.01)|33554432|4652772.5|4804577.0|4957158.0|4798031.767|1.481|6.515|0.097
strncmp (GNU libc 2.39)|33554432|4780145.5|4784863.0|4794780.0|4784823.817|0.051|6.531|0.003
strncmp (LI-PaRAD)|67108864|6572570.5|6600983.0|6625652.0|6600427.52|0.172|9.469|0.016
strncmp (Arm OR 23.01)|67108864|9348030.0|9642249.5|9842518.0|9628484.569|1.02|6.492|0.067
strncmp (GNU libc 2.39)|67108864|9560849.0|9566502.0|9612481.0|9573904.644|0.157|6.528|0.01
strncmp (LI-PaRAD)|134217728|13134006.5|13172451.5|13227850.5|13174505.965|0.139|9.488|0.013
strncmp (Arm OR 23.01)|134217728|18844065.0|19280810.5|19600360.5|19269467.47|0.767|6.487|0.05
strncmp (GNU libc 2.39)|134217728|19123560.5|19132185.0|19202421.5|19140954.703|0.116|6.531|0.008
strncmp (LI-PaRAD)|268435456|26232501.0|26338271.0|26410067.5|26337256.693|0.119|9.492|0.011
strncmp (Arm OR 23.01)|268435456|38042330.0|38488474.5|39082655.5|38488372.317|0.54|6.496|0.035
strncmp (GNU libc 2.39)|268435456|38260046.0|38296876.0|38397633.0|38308772.441|0.087|6.526|0.006
strncmp (LI-PaRAD)|536870912|52347642.0|52615207.0|52761451.5|52594337.401|0.184|9.507|0.018
strncmp (Arm OR 23.01)|536870912|76350777.0|77364233.5|77902201.5|77293306.015|0.414|6.469|0.027
strncmp (GNU libc 2.39)|536870912|76550792.0|76594467.5|76775854.5|76602991.084|0.049|6.527|0.003
