        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |          64 |          6.291 |          6.301 |          6.328 |          6.301 |          0.075 |          9.459 |          0.007 |
            strncpy (LI-PaRAD) |          64 |          4.391 |          4.430 |          4.484 |          4.431 |          0.432 |         13.453 |          0.058 |     +42.21%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |         128 |          9.104 |          9.142 |          9.148 |          9.141 |          0.068 |         13.042 |          0.009 |
            strncpy (LI-PaRAD) |         128 |          6.931 |          6.939 |          7.058 |          6.955 |          0.438 |         17.140 |          0.075 |     +31.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |         256 |         15.561 |         15.572 |         15.694 |         15.574 |          0.097 |         15.309 |          0.015 |
            strncpy (LI-PaRAD) |         256 |         13.864 |         13.869 |         13.873 |         13.868 |          0.014 |         17.191 |          0.002 |     +12.30%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |         512 |         29.644 |         29.814 |         30.091 |         29.810 |          0.204 |         15.996 |          0.032 |
            strncpy (LI-PaRAD) |         512 |         25.800 |         26.074 |         26.755 |         26.130 |          0.830 |         18.250 |          0.150 |     +14.08%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |        1024 |         61.758 |         61.893 |         61.987 |         61.889 |          0.072 |         15.409 |          0.011 |
            strncpy (LI-PaRAD) |        1024 |         52.361 |         52.399 |         52.466 |         52.396 |          0.041 |         18.201 |          0.007 |     +18.12%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |        2048 |        127.678 |        128.372 |        128.954 |        128.365 |          0.200 |         14.859 |          0.030 |
            strncpy (LI-PaRAD) |        2048 |        102.660 |        102.700 |        102.762 |        102.705 |          0.019 |         18.571 |          0.004 |     +24.98%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |        4096 |        256.748 |        259.425 |        260.515 |        259.318 |          0.252 |         14.711 |          0.037 |
            strncpy (LI-PaRAD) |        4096 |        203.592 |        203.905 |        204.505 |        203.955 |          0.096 |         18.704 |          0.018 |     +27.14%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |        8192 |        521.904 |        524.230 |        526.812 |        524.336 |          0.167 |         14.551 |          0.024 |
            strncpy (LI-PaRAD) |        8192 |        406.865 |        407.001 |        407.588 |        407.014 |          0.033 |         18.745 |          0.006 |     +28.82%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |       16384 |       1040.196 |       1058.986 |       1065.061 |       1058.117 |          0.456 |         14.421 |          0.066 |
            strncpy (LI-PaRAD) |       16384 |        809.641 |        809.758 |        810.445 |        809.777 |          0.019 |         18.843 |          0.004 |     +30.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
