        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strncpy (Arm OR 23.01) |          64 |          6.845 |          6.873 |          6.893 |          6.872 |          0.154 |          8.673 |          0.013 |
            strncpy (LI-PaRAD) |          64 |          4.455 |          4.458 |          4.488 |          4.461 |          0.212 |         13.361 |          0.028 |     +54.04%
        strncpy (Arm OR 23.01) |         128 |          9.870 |         10.092 |         10.344 |         10.089 |          1.001 |         11.817 |          0.118 |
            strncpy (LI-PaRAD) |         128 |          6.930 |          6.935 |          6.938 |          6.934 |          0.029 |         17.191 |          0.005 |     +45.49%
        strncpy (Arm OR 23.01) |         256 |         17.238 |         17.244 |         17.258 |         17.245 |          0.020 |         13.826 |          0.003 |
            strncpy (LI-PaRAD) |         256 |         13.863 |         13.869 |         13.875 |         13.868 |          0.014 |         17.191 |          0.002 |     +24.34%
        strncpy (Arm OR 23.01) |         512 |         33.875 |         34.200 |         34.831 |         34.235 |          0.468 |         13.929 |          0.065 |
            strncpy (LI-PaRAD) |         512 |         25.842 |         26.163 |         26.790 |         26.133 |          0.777 |         18.247 |          0.140 |     +31.00%
        strncpy (Arm OR 23.01) |        1024 |         66.448 |         68.058 |         68.816 |         67.962 |          0.637 |         14.033 |          0.090 |
            strncpy (LI-PaRAD) |        1024 |         52.356 |         52.394 |         52.743 |         52.396 |          0.078 |         18.201 |          0.014 |     +29.71%
        strncpy (Arm OR 23.01) |        2048 |        133.335 |        134.657 |        135.376 |        134.616 |          0.296 |         14.169 |          0.042 |
            strncpy (LI-PaRAD) |        2048 |        103.056 |        103.084 |        103.274 |        103.090 |          0.028 |         18.502 |          0.005 |     +30.58%
        strncpy (Arm OR 23.01) |        4096 |        266.326 |        267.388 |        268.664 |        267.388 |          0.172 |         14.267 |          0.025 |
            strncpy (LI-PaRAD) |        4096 |        204.820 |        204.921 |        205.393 |        204.947 |          0.065 |         18.613 |          0.012 |     +30.47%
        strncpy (Arm OR 23.01) |        8192 |        531.132 |        533.302 |        534.213 |        533.210 |          0.104 |         14.308 |          0.015 |
            strncpy (LI-PaRAD) |        8192 |        406.851 |        406.995 |        407.581 |        407.016 |          0.038 |         18.745 |          0.007 |     +31.00%
        strncpy (Arm OR 23.01) |       16384 |       1062.056 |       1066.558 |       1069.864 |       1066.441 |          0.158 |         14.308 |          0.023 |
            strncpy (LI-PaRAD) |       16384 |        809.592 |        809.800 |        810.479 |        809.804 |          0.018 |         18.843 |          0.003 |     +31.69%
        strncpy (Arm OR 23.01) |       32768 |       2088.643 |       2126.868 |       2135.454 |       2121.720 |          0.548 |         14.384 |          0.079 |
            strncpy (LI-PaRAD) |       32768 |       1610.415 |       1612.740 |       1616.848 |       1613.103 |          0.097 |         18.919 |          0.018 |     +31.53%
        strncpy (Arm OR 23.01) |       65536 |       4268.512 |       4271.460 |       4304.797 |       4271.827 |          0.093 |         14.288 |          0.013 |
            strncpy (LI-PaRAD) |       65536 |       3239.437 |       3244.049 |       3250.993 |       3244.129 |          0.074 |         18.814 |          0.014 |     +31.68%
        strncpy (Arm OR 23.01) |      131072 |       8564.089 |       8569.314 |       8577.388 |       8569.520 |          0.033 |         14.245 |          0.005 |
            strncpy (LI-PaRAD) |      131072 |       6442.533 |       6446.584 |       6454.337 |       6446.738 |          0.037 |         18.935 |          0.007 |     +32.93%
        strncpy (Arm OR 23.01) |      262144 |      17058.910 |      17100.810 |      17143.320 |      17100.287 |          0.110 |         14.277 |          0.016 |
            strncpy (LI-PaRAD) |      262144 |      12854.580 |      12890.380 |      13050.000 |      12888.954 |          0.223 |         18.942 |          0.042 |     +32.67%
        strncpy (Arm OR 23.01) |      524288 |      34656.630 |      34820.220 |      34964.500 |      34817.343 |          0.197 |         14.024 |          0.028 |
